 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 02, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Zirconium in Ca- P- O- F-Cl- O- H.txt

 Ion = Zirconium [40] , Mass = 89,9 amu

 Target Density =  3,1500E+00 g/cm3 = 7,9660E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    022,73    038,25   
      P     15    013,64    017,74   
      O      8    054,54    036,65   
      F      9    008,18    006,53   
     Cl     17    000,45    000,67   
      O      8    000,23    000,15   
      H      1    000,23    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   5,858E+01  1,475E+03      88 A        31 A        23 A   
  11,00 keV   6,144E+01  1,515E+03      93 A        32 A        24 A   
  12,00 keV   6,417E+01  1,551E+03      98 A        34 A        26 A   
  13,00 keV   6,679E+01  1,583E+03     103 A        35 A        27 A   
  14,00 keV   6,931E+01  1,613E+03     108 A        36 A        28 A   
  15,00 keV   7,175E+01  1,640E+03     113 A        38 A        29 A   
  16,00 keV   7,410E+01  1,666E+03     118 A        39 A        30 A   
  17,00 keV   7,638E+01  1,689E+03     123 A        41 A        31 A   
  18,00 keV   7,860E+01  1,711E+03     127 A        42 A        32 A   
  20,00 keV   8,285E+01  1,751E+03     137 A        44 A        34 A   
  22,50 keV   8,787E+01  1,793E+03     148 A        47 A        37 A   
  25,00 keV   9,263E+01  1,829E+03     159 A        51 A        39 A   
  27,50 keV   9,715E+01  1,861E+03     170 A        53 A        42 A   
  30,00 keV   1,015E+02  1,889E+03     180 A        56 A        44 A   
  32,50 keV   1,056E+02  1,913E+03     191 A        59 A        46 A   
  35,00 keV   1,096E+02  1,934E+03     201 A        62 A        48 A   
  37,50 keV   1,134E+02  1,953E+03     211 A        65 A        50 A   
