# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 6.951000e+01 1.216000e+03 1.024158e-02
1.100000e+01 7.290000e+01 1.242000e+03 1.084297e-02
1.200000e+01 7.615000e+01 1.264000e+03 1.150522e-02
1.300000e+01 7.925000e+01 1.284000e+03 1.214166e-02
1.400000e+01 8.225000e+01 1.303000e+03 1.271338e-02
1.500000e+01 8.513000e+01 1.319000e+03 1.334991e-02
1.600000e+01 8.793000e+01 1.334000e+03 1.401214e-02
1.700000e+01 9.063000e+01 1.347000e+03 1.455816e-02
1.800000e+01 9.326000e+01 1.359000e+03 1.516179e-02
2.000000e+01 9.830000e+01 1.381000e+03 1.637009e-02
2.250000e+01 1.043000e+02 1.403000e+03 1.776063e-02
2.500000e+01 1.099000e+02 1.421000e+03 1.915150e-02
2.750000e+01 1.153000e+02 1.435000e+03 2.063419e-02
3.000000e+01 1.204000e+02 1.447000e+03 2.202567e-02
3.250000e+01 1.253000e+02 1.457000e+03 2.332552e-02
3.500000e+01 1.300000e+02 1.464000e+03 2.471720e-02
3.750000e+01 1.346000e+02 1.470000e+03 2.610900e-02
4.000000e+01 1.390000e+02 1.475000e+03 2.750091e-02
4.500000e+01 1.475000e+02 1.481000e+03 3.016190e-02
5.000000e+01 1.554000e+02 1.484000e+03 3.292309e-02
5.500000e+01 1.630000e+02 1.485000e+03 3.558497e-02
6.000000e+01 1.703000e+02 1.483000e+03 3.822434e-02
6.500000e+01 1.772000e+02 1.480000e+03 4.091687e-02
7.000000e+01 1.839000e+02 1.475000e+03 4.364963e-02
8.000000e+01 1.966000e+02 1.464000e+03 4.893107e-02
9.000000e+01 2.085000e+02 1.450000e+03 5.432872e-02
1.000000e+02 2.198000e+02 1.434000e+03 5.982759e-02
1.100000e+02 2.305000e+02 1.418000e+03 6.520514e-02
1.200000e+02 2.408000e+02 1.401000e+03 7.067694e-02
1.300000e+02 2.522000e+02 1.383000e+03 7.621502e-02
1.400000e+02 2.672000e+02 1.366000e+03 8.168849e-02
1.500000e+02 2.800000e+02 1.349000e+03 8.727686e-02
1.600000e+02 2.914000e+02 1.331000e+03 9.284503e-02
1.700000e+02 3.019000e+02 1.314000e+03 9.848030e-02
1.800000e+02 3.119000e+02 1.298000e+03 1.040495e-01
2.000000e+02 3.315000e+02 1.266000e+03 1.154445e-01
2.250000e+02 3.561000e+02 1.227000e+03 1.297420e-01
2.500000e+02 3.813000e+02 1.191000e+03 1.443261e-01
2.750000e+02 4.069000e+02 1.157000e+03 1.589129e-01
3.000000e+02 4.327000e+02 1.125000e+03 1.736661e-01
3.250000e+02 4.585000e+02 1.095000e+03 1.884155e-01
3.500000e+02 4.841000e+02 1.067000e+03 2.032435e-01
3.750000e+02 5.096000e+02 1.040000e+03 2.181689e-01
4.000000e+02 5.348000e+02 1.015000e+03 2.330478e-01
4.500000e+02 5.842000e+02 9.687000e+02 2.629320e-01
5.000000e+02 6.320000e+02 9.271000e+02 2.927301e-01
5.500000e+02 6.784000e+02 8.896000e+02 3.224775e-01
6.000000e+02 7.231000e+02 8.554000e+02 3.521093e-01
6.500000e+02 7.664000e+02 8.242000e+02 3.815507e-01
7.000000e+02 8.082000e+02 7.956000e+02 4.107643e-01
8.000000e+02 8.883000e+02 7.449000e+02 4.687114e-01
9.000000e+02 9.641000e+02 7.012000e+02 5.256991e-01
1.000000e+03 1.037000e+03 6.632000e+02 5.817673e-01
1.100000e+03 1.106000e+03 6.297000e+02 6.367074e-01
1.200000e+03 1.174000e+03 5.999000e+02 6.906532e-01
1.300000e+03 1.240000e+03 5.733000e+02 7.435264e-01
1.400000e+03 1.304000e+03 5.492000e+02 7.954061e-01
1.500000e+03 1.367000e+03 5.274000e+02 8.461336e-01
1.600000e+03 1.430000e+03 5.076000e+02 8.958855e-01
1.700000e+03 1.491000e+03 4.893000e+02 9.446792e-01
1.800000e+03 1.552000e+03 4.726000e+02 9.923511e-01
2.000000e+03 1.673000e+03 4.428000e+02 1.085824e+00
2.250000e+03 1.821000e+03 4.110000e+02 1.196641e+00
2.500000e+03 1.967000e+03 3.841000e+02 1.297376e+00
2.750000e+03 2.111000e+03 3.609000e+02 1.397869e+00
3.000000e+03 2.254000e+03 3.407000e+02 1.498145e+00
3.250000e+03 2.394000e+03 3.230000e+02 1.588448e+00
3.500000e+03 2.533000e+03 3.072000e+02 1.678600e+00
3.750000e+03 2.669000e+03 2.930000e+02 1.758823e+00
4.000000e+03 2.803000e+03 2.803000e+02 1.838918e+00
4.500000e+03 3.065000e+03 2.582000e+02 1.989101e+00
5.000000e+03 3.317000e+03 2.398000e+02 2.129150e+00
5.500000e+03 3.560000e+03 2.240000e+02 2.269012e+00
6.000000e+03 3.792000e+03 2.104000e+02 2.388967e+00
6.500000e+03 4.015000e+03 1.986000e+02 2.508811e+00
7.000000e+03 4.229000e+03 1.881000e+02 2.628559e+00
8.000000e+03 4.628000e+03 1.705000e+02 2.838282e+00
9.000000e+03 4.993000e+03 1.562000e+02 3.037884e+00
1.000000e+04 5.327000e+03 1.443000e+02 3.227452e+00
1.100000e+04 5.632000e+03 1.342000e+02 3.397090e+00
1.200000e+04 5.911000e+03 1.256000e+02 3.566677e+00
1.300000e+04 6.167000e+03 1.181000e+02 3.726283e+00
1.400000e+04 6.403000e+03 1.116000e+02 3.885866e+00
1.500000e+04 6.620000e+03 1.058000e+02 4.035488e+00
1.600000e+04 6.821000e+03 1.006000e+02 4.175166e+00
1.700000e+04 7.008000e+03 9.595000e+01 4.314822e+00
1.800000e+04 7.182000e+03 9.175000e+01 4.454482e+00
2.000000e+04 7.498000e+03 8.445000e+01 4.723897e+00
2.250000e+04 7.842000e+03 7.694000e+01 5.043286e+00
2.500000e+04 8.142000e+03 7.074000e+01 5.352697e+00
2.750000e+04 8.408000e+03 6.555000e+01 5.652153e+00
3.000000e+04 8.645000e+03 6.112000e+01 5.941650e+00
3.250000e+04 8.859000e+03 5.729000e+01 6.221187e+00
3.500000e+04 9.053000e+03 5.396000e+01 6.500735e+00
3.750000e+04 9.229000e+03 5.102000e+01 6.770323e+00
4.000000e+04 9.390000e+03 4.840000e+01 7.039920e+00
4.500000e+04 9.672000e+03 4.396000e+01 7.559383e+00
5.000000e+04 9.910000e+03 4.031000e+01 8.058908e+00
5.500000e+04 1.011000e+04 3.726000e+01 8.558444e+00
6.000000e+04 1.028000e+04 3.467000e+01 9.048020e+00
6.500000e+04 1.043000e+04 3.245000e+01 9.527637e+00
7.000000e+04 1.056000e+04 3.051000e+01 9.997280e+00
8.000000e+04 1.075000e+04 2.729000e+01 1.093702e+01
9.000000e+04 1.089000e+04 2.472000e+01 1.185678e+01
1.000000e+05 1.098000e+04 2.262000e+01 1.276656e+01
1.100000e+05 1.104000e+04 2.087000e+01 1.367634e+01
1.200000e+05 1.107000e+04 1.939000e+01 1.457614e+01
1.300000e+05 1.108000e+04 1.812000e+01 1.547596e+01
