# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 5.865000e+01 1.470000e+03 9.609370e-03
1.100000e+01 6.151000e+01 1.510000e+03 1.014791e-02
1.200000e+01 6.424000e+01 1.546000e+03 1.069392e-02
1.300000e+01 6.687000e+01 1.578000e+03 1.130044e-02
1.400000e+01 6.939000e+01 1.608000e+03 1.175457e-02
1.500000e+01 7.183000e+01 1.635000e+03 1.226947e-02
1.600000e+01 7.418000e+01 1.661000e+03 1.278476e-02
1.700000e+01 7.646000e+01 1.684000e+03 1.333079e-02
1.800000e+01 7.868000e+01 1.706000e+03 1.384630e-02
2.000000e+01 8.294000e+01 1.745000e+03 1.481553e-02
2.250000e+01 8.797000e+01 1.788000e+03 1.599281e-02
2.500000e+01 9.273000e+01 1.824000e+03 1.714730e-02
2.750000e+01 9.725000e+01 1.856000e+03 1.832485e-02
3.000000e+01 1.016000e+02 1.883000e+03 1.938685e-02
3.250000e+01 1.057000e+02 1.908000e+03 2.054191e-02
3.500000e+01 1.097000e+02 1.929000e+03 2.159769e-02
3.750000e+01 1.136000e+02 1.948000e+03 2.275302e-02
4.000000e+01 1.173000e+02 1.964000e+03 2.381533e-02
4.500000e+01 1.244000e+02 1.992000e+03 2.591177e-02
5.000000e+01 1.311000e+02 2.015000e+03 2.800875e-02
5.500000e+01 1.375000e+02 2.032000e+03 3.010615e-02
6.000000e+01 1.437000e+02 2.046000e+03 3.211012e-02
6.500000e+01 1.495000e+02 2.057000e+03 3.420804e-02
7.000000e+01 1.552000e+02 2.066000e+03 3.621229e-02
8.000000e+01 1.659000e+02 2.076000e+03 4.031501e-02
9.000000e+01 1.759000e+02 2.081000e+03 4.430316e-02
1.000000e+02 1.855000e+02 2.081000e+03 4.835969e-02
1.100000e+02 1.945000e+02 2.078000e+03 5.234319e-02
1.200000e+02 2.032000e+02 2.073000e+03 5.642703e-02
1.300000e+02 2.115000e+02 2.065000e+03 6.039098e-02
1.400000e+02 2.194000e+02 2.056000e+03 6.435534e-02
1.500000e+02 2.271000e+02 2.045000e+03 6.841476e-02
1.600000e+02 2.346000e+02 2.034000e+03 7.247462e-02
1.700000e+02 2.418000e+02 2.022000e+03 7.655985e-02
1.800000e+02 2.493000e+02 2.010000e+03 8.062022e-02
2.000000e+02 2.979000e+02 1.984000e+03 8.871713e-02
2.250000e+02 3.322000e+02 1.950000e+03 9.880127e-02
2.500000e+02 3.520000e+02 1.916000e+03 1.089632e-01
2.750000e+02 3.656000e+02 1.882000e+03 1.192403e-01
3.000000e+02 3.775000e+02 1.849000e+03 1.295902e-01
3.250000e+02 3.895000e+02 1.816000e+03 1.400603e-01
3.500000e+02 4.025000e+02 1.784000e+03 1.505857e-01
3.750000e+02 4.167000e+02 1.754000e+03 1.613445e-01
4.000000e+02 4.323000e+02 1.724000e+03 1.720814e-01
4.500000e+02 4.669000e+02 1.667000e+03 1.938680e-01
5.000000e+02 5.054000e+02 1.614000e+03 2.159061e-01
5.500000e+02 5.463000e+02 1.565000e+03 2.380390e-01
6.000000e+02 5.886000e+02 1.519000e+03 2.602496e-01
6.500000e+02 6.313000e+02 1.476000e+03 2.825382e-01
7.000000e+02 6.738000e+02 1.435000e+03 3.049095e-01
8.000000e+02 7.564000e+02 1.362000e+03 3.495183e-01
9.000000e+02 8.341000e+02 1.296000e+03 3.939435e-01
1.000000e+03 9.061000e+02 1.238000e+03 4.382065e-01
1.100000e+03 9.726000e+02 1.186000e+03 4.822926e-01
1.200000e+03 1.034000e+03 1.138000e+03 5.261219e-01
1.300000e+03 1.091000e+03 1.095000e+03 5.696954e-01
1.400000e+03 1.143000e+03 1.056000e+03 6.131291e-01
1.500000e+03 1.193000e+03 1.019000e+03 6.563106e-01
1.600000e+03 1.239000e+03 9.860000e+02 6.993683e-01
1.700000e+03 1.284000e+03 9.550000e+02 7.420941e-01
1.800000e+03 1.326000e+03 9.263000e+02 7.846645e-01
2.000000e+03 1.407000e+03 8.745000e+02 8.692923e-01
2.250000e+03 1.502000e+03 8.185000e+02 9.736463e-01
2.500000e+03 1.595000e+03 7.703000e+02 1.073409e+00
2.750000e+03 1.688000e+03 7.283000e+02 1.174379e+00
3.000000e+03 1.782000e+03 6.912000e+02 1.275196e+00
3.250000e+03 1.876000e+03 6.583000e+02 1.375877e+00
3.500000e+03 1.973000e+03 6.288000e+02 1.466609e+00
3.750000e+03 2.071000e+03 6.022000e+02 1.557227e+00
4.000000e+03 2.171000e+03 5.780000e+02 1.647735e+00
4.500000e+03 2.376000e+03 5.359000e+02 1.818701e+00
5.000000e+03 2.584000e+03 5.001000e+02 1.979458e+00
5.500000e+03 2.795000e+03 4.695000e+02 2.139898e+00
6.000000e+03 3.006000e+03 4.428000e+02 2.280395e+00
6.500000e+03 3.215000e+03 4.193000e+02 2.420687e+00
7.000000e+03 3.421000e+03 3.985000e+02 2.550930e+00
8.000000e+03 3.822000e+03 3.632000e+02 2.791336e+00
9.000000e+03 4.201000e+03 3.342000e+02 3.021428e+00
1.000000e+04 4.558000e+03 3.100000e+02 3.231432e+00
1.100000e+04 4.890000e+03 2.894000e+02 3.421416e+00
1.200000e+04 5.198000e+03 2.717000e+02 3.611232e+00
1.300000e+04 5.483000e+03 2.562000e+02 3.791029e+00
1.400000e+04 5.747000e+03 2.426000e+02 3.950884e+00
1.500000e+04 5.992000e+03 2.305000e+02 4.120589e+00
1.600000e+04 6.218000e+03 2.196000e+02 4.270399e+00
1.700000e+04 6.428000e+03 2.099000e+02 4.420159e+00
1.800000e+04 6.624000e+03 2.010000e+02 4.569887e+00
2.000000e+04 6.978000e+03 1.856000e+02 4.859427e+00
2.250000e+04 7.362000e+03 1.696000e+02 5.188970e+00
2.500000e+04 7.697000e+03 1.564000e+02 5.518433e+00
2.750000e+04 7.997000e+03 1.453000e+02 5.827944e+00
3.000000e+04 8.271000e+03 1.357000e+02 6.127459e+00
3.250000e+04 8.524000e+03 1.275000e+02 6.417002e+00
3.500000e+04 8.761000e+03 1.203000e+02 6.696578e+00
3.750000e+04 8.987000e+03 1.139000e+02 6.976135e+00
4.000000e+04 9.203000e+03 1.082000e+02 7.245726e+00
4.500000e+04 9.610000e+03 9.851000e+01 7.775124e+00
5.000000e+04 9.990000e+03 9.053000e+01 8.274584e+00
5.500000e+04 1.035000e+04 8.385000e+01 8.764053e+00
6.000000e+04 1.069000e+04 7.815000e+01 9.233564e+00
6.500000e+04 1.100000e+04 7.324000e+01 9.683122e+00
7.000000e+04 1.131000e+04 6.895000e+01 1.013268e+01
8.000000e+04 1.186000e+04 6.182000e+01 1.099222e+01
9.000000e+04 1.235000e+04 5.611000e+01 1.181178e+01
1.000000e+05 1.279000e+04 5.144000e+01 1.260136e+01
1.100000e+05 1.317000e+04 4.754000e+01 1.336097e+01
1.200000e+05 1.351000e+04 4.422000e+01 1.411058e+01
1.300000e+05 1.381000e+04 4.137000e+01 1.484023e+01
1.400000e+05 1.408000e+04 3.888000e+01 1.554990e+01
1.500000e+05 1.431000e+04 3.670000e+01 1.625957e+01
1.600000e+05 1.451000e+04 3.476000e+01 1.694928e+01
1.700000e+05 1.468000e+04 3.304000e+01 1.762900e+01
1.800000e+05 1.483000e+04 3.148000e+01 1.830873e+01
2.000000e+05 1.512000e+04 2.880000e+01 1.963869e+01
2.250000e+05 1.522000e+04 2.607000e+01 2.127887e+01
2.500000e+05 1.530000e+04 2.383000e+01 2.291900e+01
2.750000e+05 1.531000e+04 2.198000e+01 2.454909e+01
3.000000e+05 1.528000e+04 2.040000e+01 2.617917e+01
3.250000e+05 1.522000e+04 1.905000e+01 2.781923e+01
3.500000e+05 1.514000e+04 1.788000e+01 2.945928e+01
3.750000e+05 1.503000e+04 1.685000e+01 3.111933e+01
4.000000e+05 1.491000e+04 1.594000e+01 3.277939e+01
4.500000e+05 1.463000e+04 1.440000e+01 3.615669e+01
5.000000e+05 1.433000e+04 1.315000e+01 3.959637e+01
5.500000e+05 1.402000e+04 1.210000e+01 4.312608e+01
6.000000e+05 1.371000e+04 1.122000e+01 4.672583e+01
6.500000e+05 1.339000e+04 1.047000e+01 5.041562e+01
7.000000e+05 1.308000e+04 9.815000e+00 5.418543e+01
8.000000e+05 1.249000e+04 8.736000e+00 6.200511e+01
9.000000e+05 1.192000e+04 7.881000e+00 7.019486e+01
1.000000e+00 1.140000e+04 7.186000e+00 7.877466e+01
