# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 1.200000e+02 1.801000e+03 8.263776e-03
1.100000e+01 1.259000e+02 1.855000e+03 8.687347e-03
1.200000e+01 1.315000e+02 1.903000e+03 9.204347e-03
1.300000e+01 1.368000e+02 1.948000e+03 9.628084e-03
1.400000e+01 1.420000e+02 1.989000e+03 1.005187e-02
1.500000e+01 1.470000e+02 2.027000e+03 1.045419e-02
1.600000e+01 1.518000e+02 2.062000e+03 1.087796e-02
1.700000e+01 1.565000e+02 2.095000e+03 1.130177e-02
1.800000e+01 1.611000e+02 2.126000e+03 1.163185e-02
2.000000e+01 1.698000e+02 2.183000e+03 1.245833e-02
2.250000e+01 1.801000e+02 2.244000e+03 1.340000e-02
2.500000e+01 1.898000e+02 2.298000e+03 1.434190e-02
2.750000e+01 1.991000e+02 2.345000e+03 1.518980e-02
3.000000e+01 2.079000e+02 2.387000e+03 1.611118e-02
3.250000e+01 2.164000e+02 2.424000e+03 1.695907e-02
3.500000e+01 2.246000e+02 2.458000e+03 1.778651e-02
3.750000e+01 2.325000e+02 2.488000e+03 1.863438e-02
4.000000e+01 2.401000e+02 2.516000e+03 1.946201e-02
4.500000e+01 2.546000e+02 2.563000e+03 2.111232e-02
5.000000e+01 2.684000e+02 2.602000e+03 2.269339e-02
5.500000e+01 2.815000e+02 2.635000e+03 2.434440e-02
6.000000e+01 2.940000e+02 2.662000e+03 2.590097e-02
6.500000e+01 3.060000e+02 2.685000e+03 2.738704e-02
7.000000e+01 3.176000e+02 2.705000e+03 2.892421e-02
8.000000e+01 3.395000e+02 2.735000e+03 3.192382e-02
9.000000e+01 3.600000e+02 2.756000e+03 3.494310e-02
1.000000e+02 3.794000e+02 2.770000e+03 3.794364e-02
1.100000e+02 3.981000e+02 2.779000e+03 4.083038e-02
1.200000e+02 4.158000e+02 2.783000e+03 4.373614e-02
1.300000e+02 4.328000e+02 2.784000e+03 4.664204e-02
1.400000e+02 4.491000e+02 2.782000e+03 4.952555e-02
1.500000e+02 4.648000e+02 2.778000e+03 5.241355e-02
1.600000e+02 4.801000e+02 2.773000e+03 5.529774e-02
1.700000e+02 4.950000e+02 2.765000e+03 5.809036e-02
1.800000e+02 5.093000e+02 2.757000e+03 6.097499e-02
2.000000e+02 5.368000e+02 2.737000e+03 6.665283e-02
2.250000e+02 5.600000e+02 2.708000e+03 7.387185e-02
2.500000e+02 5.756000e+02 2.677000e+03 8.105319e-02
2.750000e+02 5.953000e+02 2.644000e+03 8.825282e-02
3.000000e+02 6.178000e+02 2.611000e+03 9.557018e-02
3.250000e+02 6.419000e+02 2.577000e+03 1.028507e-01
3.500000e+02 6.667000e+02 2.543000e+03 1.102450e-01
3.750000e+02 6.915000e+02 2.509000e+03 1.175232e-01
4.000000e+02 7.164000e+02 2.476000e+03 1.249023e-01
4.500000e+02 7.650000e+02 2.411000e+03 1.397750e-01
5.000000e+02 8.105000e+02 2.349000e+03 1.548233e-01
5.500000e+02 8.527000e+02 2.290000e+03 1.698543e-01
6.000000e+02 8.915000e+02 2.233000e+03 1.849685e-01
6.500000e+02 9.272000e+02 2.180000e+03 2.002940e-01
7.000000e+02 9.595000e+02 2.129000e+03 2.156209e-01
8.000000e+02 1.016000e+03 2.035000e+03 2.467308e-01
9.000000e+02 1.064000e+03 1.950000e+03 2.782173e-01
1.000000e+03 1.105000e+03 1.873000e+03 3.101953e-01
1.100000e+03 1.140000e+03 1.802000e+03 3.425502e-01
1.200000e+03 1.172000e+03 1.737000e+03 3.753803e-01
1.300000e+03 1.201000e+03 1.678000e+03 4.085886e-01
1.400000e+03 1.228000e+03 1.623000e+03 4.420942e-01
1.500000e+03 1.253000e+03 1.573000e+03 4.759785e-01
1.600000e+03 1.277000e+03 1.526000e+03 5.102579e-01
1.700000e+03 1.301000e+03 1.482000e+03 5.447210e-01
1.800000e+03 1.325000e+03 1.441000e+03 5.794812e-01
2.000000e+03 1.371000e+03 1.366000e+03 6.496962e-01
2.250000e+03 1.430000e+03 1.285000e+03 7.383920e-01
2.500000e+03 1.493000e+03 1.214000e+03 8.277323e-01
2.750000e+03 1.559000e+03 1.153000e+03 9.172016e-01
3.000000e+03 1.628000e+03 1.097000e+03 1.006507e+00
3.250000e+03 1.702000e+03 1.048000e+03 1.097701e+00
3.500000e+03 1.780000e+03 1.004000e+03 1.178598e+00
3.750000e+03 1.862000e+03 9.632000e+02 1.269260e+00
4.000000e+03 1.947000e+03 9.268000e+02 1.359863e+00
4.500000e+03 2.127000e+03 8.622000e+02 1.521223e+00
5.000000e+03 2.318000e+03 8.071000e+02 1.682272e+00
5.500000e+03 2.518000e+03 7.599000e+02 1.833196e+00
6.000000e+03 2.725000e+03 7.184000e+02 1.983881e+00
6.500000e+03 2.938000e+03 6.817000e+02 2.114601e+00
7.000000e+03 3.153000e+03 6.490000e+02 2.245125e+00
8.000000e+03 3.590000e+03 5.936000e+02 2.495948e+00
9.000000e+03 4.032000e+03 5.477000e+02 2.716574e+00
1.000000e+04 4.467000e+03 5.093000e+02 2.926897e+00
1.100000e+04 4.896000e+03 4.763000e+02 3.117116e+00
1.200000e+04 5.314000e+03 4.481000e+02 3.297209e+00
1.300000e+04 5.719000e+03 4.233000e+02 3.457300e+00
1.400000e+04 6.110000e+03 4.012000e+02 3.617257e+00
1.500000e+04 6.487000e+03 3.818000e+02 3.767187e+00
1.600000e+04 6.847000e+03 3.641000e+02 3.907101e+00
1.700000e+04 7.194000e+03 3.485000e+02 4.037019e+00
1.800000e+04 7.527000e+03 3.341000e+02 4.166890e+00
2.000000e+04 8.153000e+03 3.090000e+02 4.406688e+00
2.250000e+04 8.857000e+03 2.829000e+02 4.686398e+00
2.500000e+04 9.489000e+03 2.613000e+02 4.956019e+00
2.750000e+04 1.006000e+04 2.430000e+02 5.195705e+00
3.000000e+04 1.057000e+04 2.274000e+02 5.435324e+00
3.250000e+04 1.104000e+04 2.138000e+02 5.664950e+00
