# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 8.360000e+01 5.943000e+02 1.447584e-02
1.100000e+01 8.768000e+01 5.950000e+02 1.567833e-02
1.200000e+01 9.159000e+01 5.950000e+02 1.683479e-02
1.300000e+01 9.533000e+01 5.940000e+02 1.803802e-02
1.400000e+01 9.894000e+01 5.929000e+02 1.915463e-02
1.500000e+01 1.024000e+02 5.912000e+02 2.039828e-02
1.600000e+01 1.058000e+02 5.889000e+02 2.160255e-02
1.700000e+01 1.090000e+02 5.868000e+02 2.269163e-02
1.800000e+01 1.122000e+02 5.841000e+02 2.389665e-02
2.000000e+01 1.182000e+02 5.787000e+02 2.625814e-02
2.250000e+01 1.254000e+02 5.708000e+02 2.921455e-02
2.500000e+01 1.322000e+02 5.630000e+02 3.217219e-02
2.750000e+01 1.386000e+02 5.549000e+02 3.525720e-02
3.000000e+01 1.448000e+02 5.467000e+02 3.830535e-02
3.250000e+01 1.508000e+02 5.385000e+02 4.129128e-02
3.500000e+01 1.564000e+02 5.307000e+02 4.443006e-02
3.750000e+01 1.619000e+02 5.226000e+02 4.748031e-02
4.000000e+01 1.672000e+02 5.151000e+02 5.053108e-02
4.500000e+01 1.774000e+02 5.001000e+02 5.681364e-02
5.000000e+01 1.870000e+02 4.862000e+02 6.318845e-02
5.500000e+01 1.964000e+02 4.729000e+02 6.953028e-02
6.000000e+01 2.069000e+02 4.603000e+02 7.599934e-02
6.500000e+01 2.172000e+02 4.484000e+02 8.243561e-02
7.000000e+01 2.272000e+02 4.376000e+02 8.895488e-02
8.000000e+01 2.461000e+02 4.168000e+02 1.019845e-01
9.000000e+01 2.635000e+02 3.985000e+02 1.151615e-01
1.000000e+02 2.797000e+02 3.818000e+02 1.284366e-01
1.100000e+02 2.951000e+02 3.668000e+02 1.416623e-01
1.200000e+02 3.097000e+02 3.532000e+02 1.549240e-01
1.300000e+02 3.237000e+02 3.407000e+02 1.682841e-01
1.400000e+02 3.372000e+02 3.291000e+02 1.815267e-01
1.500000e+02 3.505000e+02 3.185000e+02 1.948666e-01
1.600000e+02 3.631000e+02 3.086000e+02 2.081306e-01
1.700000e+02 3.760000e+02 2.995000e+02 2.213712e-01
1.800000e+02 3.883000e+02 2.909000e+02 2.345943e-01
2.000000e+02 4.127000e+02 2.755000e+02 2.609266e-01
2.250000e+02 4.427000e+02 2.587000e+02 2.933405e-01
2.500000e+02 4.726000e+02 2.441000e+02 3.253015e-01
2.750000e+02 5.018000e+02 2.313000e+02 3.566207e-01
3.000000e+02 5.314000e+02 2.200000e+02 3.873496e-01
3.250000e+02 5.606000e+02 2.099000e+02 4.173903e-01
3.500000e+02 5.899000e+02 2.009000e+02 4.467667e-01
3.750000e+02 6.191000e+02 1.926000e+02 4.754782e-01
4.000000e+02 6.480000e+02 1.852000e+02 5.035048e-01
4.500000e+02 7.058000e+02 1.721000e+02 5.576485e-01
5.000000e+02 7.626000e+02 1.610000e+02 6.093110e-01
5.500000e+02 8.187000e+02 1.514000e+02 6.586252e-01
6.000000e+02 8.738000e+02 1.430000e+02 7.058211e-01
6.500000e+02 9.278000e+02 1.356000e+02 7.510114e-01
7.000000e+02 9.809000e+02 1.290000e+02 7.944242e-01
8.000000e+02 1.084000e+03 1.179000e+02 8.764023e-01
9.000000e+02 1.183000e+03 1.087000e+02 9.526988e-01
1.000000e+03 1.278000e+03 1.009000e+02 1.024244e+00
1.100000e+03 1.370000e+03 9.438000e+01 1.087389e+00
1.200000e+03 1.458000e+03 8.870000e+01 1.157239e+00
1.300000e+03 1.544000e+03 8.374000e+01 1.217192e+00
1.400000e+03 1.626000e+03 7.935000e+01 1.277049e+00
1.500000e+03 1.706000e+03 7.548000e+01 1.327033e+00
1.600000e+03 1.784000e+03 7.198000e+01 1.386772e+00
1.700000e+03 1.859000e+03 6.881000e+01 1.436636e+00
1.800000e+03 1.933000e+03 6.596000e+01 1.486469e+00
2.000000e+03 2.074000e+03 6.099000e+01 1.576228e+00
2.250000e+03 2.240000e+03 5.579000e+01 1.685825e+00
2.500000e+03 2.396000e+03 5.151000e+01 1.795322e+00
2.750000e+03 2.543000e+03 4.790000e+01 1.885012e+00
3.000000e+03 2.683000e+03 4.478000e+01 1.984510e+00
3.250000e+03 2.814000e+03 4.209000e+01 2.064235e+00
3.500000e+03 2.938000e+03 3.974000e+01 2.153792e+00
3.750000e+03 3.055000e+03 3.767000e+01 2.233434e+00
4.000000e+03 3.166000e+03 3.580000e+01 2.313075e+00
4.500000e+03 3.368000e+03 3.263000e+01 2.462473e+00
5.000000e+03 3.546000e+03 3.001000e+01 2.601925e+00
5.500000e+03 3.706000e+03 2.781000e+01 2.741363e+00
6.000000e+03 3.842000e+03 2.594000e+01 2.870883e+00
6.500000e+03 3.964000e+03 2.433000e+01 2.990467e+00
7.000000e+03 4.073000e+03 2.291000e+01 3.119982e+00
8.000000e+03 4.246000e+03 2.056000e+01 3.359262e+00
9.000000e+03 4.382000e+03 1.868000e+01 3.588622e+00
1.000000e+04 4.488000e+03 1.714000e+01 3.808052e+00
1.100000e+04 4.566000e+03 1.584000e+01 4.027519e+00
1.200000e+04 4.627000e+03 1.475000e+01 4.247006e+00
1.300000e+04 4.671000e+03 1.380000e+01 4.456567e+00
1.400000e+04 4.705000e+03 1.298000e+01 4.666155e+00
1.500000e+04 4.726000e+03 1.225000e+01 4.875757e+00
1.600000e+04 4.739000e+03 1.161000e+01 5.085395e+00
1.700000e+04 4.750000e+03 1.104000e+01 5.295048e+00
1.800000e+04 4.750000e+03 1.052000e+01 5.504723e+00
2.000000e+04 4.743000e+03 9.632000e+00 5.924283e+00
2.250000e+04 4.712000e+03 8.724000e+00 6.453874e+00
2.500000e+04 4.671000e+03 7.980000e+00 6.983524e+00
2.750000e+04 4.624000e+03 7.361000e+00 7.523205e+00
3.000000e+04 4.569000e+03 6.837000e+00 8.062937e+00
3.250000e+04 4.515000e+03 6.385000e+00 8.612689e+00
3.500000e+04 4.457000e+03 5.994000e+00 9.172470e+00
3.750000e+04 4.399000e+03 5.651000e+00 9.732282e+00
4.000000e+04 4.342000e+03 5.348000e+00 1.030212e+01
4.500000e+04 4.226000e+03 4.835000e+00 1.147242e+01
5.000000e+04 4.117000e+03 4.413000e+00 1.266271e+01
5.500000e+04 4.015000e+03 4.066000e+00 1.389298e+01
6.000000e+04 3.930000e+03 3.770000e+00 1.515324e+01
6.500000e+04 3.818000e+03 3.519000e+00 1.644349e+01
7.000000e+04 3.719000e+03 3.300000e+00 1.776374e+01
8.000000e+04 3.543000e+03 2.939000e+00 2.051609e+01
9.000000e+04 3.384000e+03 2.652000e+00 2.340814e+01
1.000000e+05 3.241000e+03 2.419000e+00 2.642997e+01
