# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 1.354000e+02 8.911000e+02 1.109099e-02
1.100000e+01 1.420000e+02 9.000000e+02 1.187813e-02
1.200000e+01 1.483000e+02 9.071000e+02 1.266531e-02
1.300000e+01 1.544000e+02 9.129000e+02 1.350592e-02
1.400000e+01 1.602000e+02 9.173000e+02 1.429301e-02
1.500000e+01 1.658000e+02 9.210000e+02 1.504460e-02
1.600000e+01 1.712000e+02 9.238000e+02 1.580538e-02
1.700000e+01 1.765000e+02 9.258000e+02 1.655717e-02
1.800000e+01 1.816000e+02 9.272000e+02 1.730925e-02
2.000000e+01 1.914000e+02 9.289000e+02 1.891296e-02
2.250000e+01 2.030000e+02 9.285000e+02 2.078317e-02
2.500000e+01 2.140000e+02 9.261000e+02 2.271871e-02
2.750000e+01 2.245000e+02 9.227000e+02 2.453039e-02
3.000000e+01 2.345000e+02 9.183000e+02 2.646696e-02
3.250000e+01 2.440000e+02 9.129000e+02 2.831272e-02
3.500000e+01 2.533000e+02 9.074000e+02 3.021688e-02
3.750000e+01 2.621000e+02 9.010000e+02 3.203030e-02
4.000000e+01 2.707000e+02 8.949000e+02 3.396793e-02
4.500000e+01 2.872000e+02 8.813000e+02 3.771976e-02
5.000000e+01 3.027000e+02 8.673000e+02 4.141715e-02
5.500000e+01 3.174000e+02 8.534000e+02 4.523118e-02
6.000000e+01 3.316000e+02 8.398000e+02 4.896213e-02
6.500000e+01 3.451000e+02 8.258000e+02 5.277774e-02
7.000000e+01 3.580000e+02 8.126000e+02 5.657172e-02
8.000000e+01 3.828000e+02 7.867000e+02 6.415435e-02
9.000000e+01 4.161000e+02 7.626000e+02 7.174747e-02
1.000000e+02 4.447000e+02 7.398000e+02 7.939912e-02
1.100000e+02 4.692000e+02 7.184000e+02 8.693871e-02
1.200000e+02 4.906000e+02 6.983000e+02 9.457405e-02
1.300000e+02 5.093000e+02 6.793000e+02 1.021836e-01
1.400000e+02 5.260000e+02 6.616000e+02 1.097953e-01
1.500000e+02 5.413000e+02 6.450000e+02 1.173819e-01
1.600000e+02 5.555000e+02 6.290000e+02 1.250647e-01
1.700000e+02 5.688000e+02 6.144000e+02 1.327555e-01
1.800000e+02 5.814000e+02 6.001000e+02 1.405103e-01
2.000000e+02 6.052000e+02 5.742000e+02 1.560315e-01
2.250000e+02 6.327000e+02 5.453000e+02 1.755504e-01
2.500000e+02 6.589000e+02 5.195000e+02 1.951483e-01
2.750000e+02 6.844000e+02 4.964000e+02 2.146872e-01
3.000000e+02 7.096000e+02 4.756000e+02 2.342831e-01
3.250000e+02 7.344000e+02 4.569000e+02 2.537724e-01
3.500000e+02 7.595000e+02 4.399000e+02 2.732238e-01
3.750000e+02 7.847000e+02 4.243000e+02 2.926600e-01
4.000000e+02 8.095000e+02 4.097000e+02 3.118708e-01
4.500000e+02 8.598000e+02 3.842000e+02 3.499221e-01
5.000000e+02 9.102000e+02 3.621000e+02 3.872993e-01
5.500000e+02 9.601000e+02 3.427000e+02 4.238285e-01
6.000000e+02 1.010000e+03 3.255000e+02 4.596642e-01
6.500000e+02 1.059000e+03 3.103000e+02 4.946529e-01
7.000000e+02 1.107000e+03 2.966000e+02 5.288716e-01
8.000000e+02 1.201000e+03 2.731000e+02 5.950087e-01
