# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 7.837000e+01 1.488000e+03 8.939799e-03
1.100000e+01 8.218000e+01 1.522000e+03 9.485779e-03
1.200000e+01 8.585000e+01 1.553000e+03 1.000050e-02
1.300000e+01 8.935000e+01 1.581000e+03 1.054656e-02
1.400000e+01 9.272000e+01 1.605000e+03 1.106165e-02
1.500000e+01 9.598000e+01 1.628000e+03 1.148477e-02
1.600000e+01 9.911000e+01 1.649000e+03 1.203079e-02
1.700000e+01 1.022000e+02 1.668000e+03 1.254631e-02
1.800000e+01 1.051000e+02 1.685000e+03 1.306216e-02
2.000000e+01 1.108000e+02 1.716000e+03 1.405454e-02
2.250000e+01 1.175000e+02 1.749000e+03 1.520888e-02
2.500000e+01 1.239000e+02 1.775000e+03 1.636368e-02
2.750000e+01 1.299000e+02 1.798000e+03 1.754138e-02
3.000000e+01 1.357000e+02 1.817000e+03 1.869652e-02
3.250000e+01 1.413000e+02 1.833000e+03 1.985195e-02
3.500000e+01 1.466000e+02 1.846000e+03 2.093657e-02
3.750000e+01 1.517000e+02 1.857000e+03 2.209208e-02
4.000000e+01 1.567000e+02 1.867000e+03 2.321960e-02
4.500000e+01 1.662000e+02 1.882000e+03 2.534462e-02
5.000000e+01 1.752000e+02 1.891000e+03 2.755721e-02
5.500000e+01 1.838000e+02 1.897000e+03 2.977600e-02
6.000000e+01 1.919000e+02 1.901000e+03 3.196764e-02
6.500000e+01 1.998000e+02 1.902000e+03 3.406582e-02
7.000000e+01 2.073000e+02 1.901000e+03 3.625824e-02
8.000000e+01 2.216000e+02 1.894000e+03 4.054985e-02
9.000000e+01 2.351000e+02 1.884000e+03 4.484797e-02
1.000000e+02 2.478000e+02 1.871000e+03 4.914072e-02
1.100000e+02 2.599000e+02 1.855000e+03 5.340815e-02
1.200000e+02 2.714000e+02 1.839000e+03 5.777664e-02
1.300000e+02 2.825000e+02 1.822000e+03 6.207069e-02
1.400000e+02 2.932000e+02 1.804000e+03 6.644020e-02
1.500000e+02 3.037000e+02 1.786000e+03 7.090515e-02
1.600000e+02 3.284000e+02 1.767000e+03 7.526998e-02
1.700000e+02 3.485000e+02 1.749000e+03 7.964082e-02
1.800000e+02 3.651000e+02 1.730000e+03 8.410149e-02
2.000000e+02 3.913000e+02 1.694000e+03 9.291555e-02
2.250000e+02 4.168000e+02 1.650000e+03 1.040216e-01
2.500000e+02 4.386000e+02 1.608000e+03 1.153144e-01
2.750000e+02 4.593000e+02 1.568000e+03 1.267819e-01
3.000000e+02 4.797000e+02 1.529000e+03 1.382510e-01
3.250000e+02 5.005000e+02 1.493000e+03 1.498904e-01
3.500000e+02 5.219000e+02 1.459000e+03 1.616499e-01
3.750000e+02 5.436000e+02 1.426000e+03 1.735016e-01
4.000000e+02 5.654000e+02 1.394000e+03 1.854335e-01
4.500000e+02 6.096000e+02 1.336000e+03 2.094934e-01
5.000000e+02 6.541000e+02 1.283000e+03 2.336285e-01
5.500000e+02 6.980000e+02 1.236000e+03 2.579440e-01
6.000000e+02 7.408000e+02 1.192000e+03 2.823354e-01
6.500000e+02 7.827000e+02 1.151000e+03 3.067909e-01
7.000000e+02 8.231000e+02 1.113000e+03 3.312145e-01
8.000000e+02 9.013000e+02 1.047000e+03 3.799536e-01
9.000000e+02 9.751000e+02 9.890000e+02 4.284828e-01
1.000000e+03 1.045000e+03 9.380000e+02 4.766476e-01
1.100000e+03 1.112000e+03 8.928000e+02 5.244285e-01
1.200000e+03 1.177000e+03 8.527000e+02 5.717670e-01
1.300000e+03 1.239000e+03 8.163000e+02 6.185315e-01
1.400000e+03 1.300000e+03 7.837000e+02 6.647563e-01
1.500000e+03 1.360000e+03 7.538000e+02 7.103272e-01
1.600000e+03 1.419000e+03 7.266000e+02 7.553572e-01
1.700000e+03 1.477000e+03 7.014000e+02 7.997353e-01
1.800000e+03 1.534000e+03 6.783000e+02 8.435876e-01
2.000000e+03 1.648000e+03 6.368000e+02 9.292291e-01
2.250000e+03 1.789000e+03 5.926000e+02 1.030368e+00
2.500000e+03 1.930000e+03 5.549000e+02 1.131069e+00
2.750000e+03 2.070000e+03 5.226000e+02 1.231595e+00
3.000000e+03 2.210000e+03 4.940000e+02 1.322118e+00
3.250000e+03 2.350000e+03 4.688000e+02 1.402637e+00
3.500000e+03 2.489000e+03 4.464000e+02 1.492881e+00
3.750000e+03 2.628000e+03 4.263000e+02 1.573180e+00
4.000000e+03 2.766000e+03 4.083000e+02 1.653366e+00
4.500000e+03 3.040000e+03 3.770000e+02 1.803718e+00
5.000000e+03 3.308000e+03 3.505000e+02 1.934040e+00
5.500000e+03 3.570000e+03 3.279000e+02 2.064149e+00
