# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 1.114000e+02 1.310000e+02 3.364313e-02
1.100000e+01 1.168000e+02 1.277000e+02 3.672138e-02
1.200000e+01 1.220000e+02 1.246000e+02 3.984118e-02
1.300000e+01 1.270000e+02 1.217000e+02 4.295544e-02
1.400000e+01 1.318000e+02 1.189000e+02 4.604715e-02
1.500000e+01 1.364000e+02 1.163000e+02 4.908859e-02
1.600000e+01 1.409000e+02 1.137000e+02 5.217432e-02
1.700000e+01 1.452000e+02 1.113000e+02 5.530371e-02
1.800000e+01 1.495000e+02 1.091000e+02 5.827615e-02
2.000000e+01 1.576000e+02 1.048000e+02 6.442872e-02
2.250000e+01 1.674000e+02 1.000000e+02 7.195422e-02
2.500000e+01 1.789000e+02 9.571000e+01 7.933228e-02
2.750000e+01 1.906000e+02 9.183000e+01 8.656246e-02
3.000000e+01 2.021000e+02 8.830000e+01 9.367449e-02
3.250000e+01 2.131000e+02 8.507000e+01 1.006906e-01
3.500000e+01 2.235000e+02 8.211000e+01 1.075366e-01
3.750000e+01 2.333000e+02 7.939000e+01 1.142055e-01
4.000000e+01 2.425000e+02 7.687000e+01 1.208401e-01
4.500000e+01 2.593000e+02 7.238000e+01 1.337724e-01
5.000000e+01 2.741000e+02 6.847000e+01 1.462990e-01
5.500000e+01 2.873000e+02 6.501000e+01 1.586660e-01
6.000000e+01 2.991000e+02 6.195000e+01 1.706565e-01
6.500000e+01 3.098000e+02 5.919000e+01 1.826062e-01
7.000000e+01 3.196000e+02 5.671000e+01 1.942392e-01
8.000000e+01 3.372000e+02 5.243000e+01 2.172877e-01
9.000000e+01 3.529000e+02 4.882000e+01 2.397082e-01
1.000000e+02 3.675000e+02 4.573000e+01 2.617185e-01
1.100000e+02 3.811000e+02 4.308000e+01 2.832147e-01
1.200000e+02 3.947000e+02 4.076000e+01 3.042710e-01
1.300000e+02 4.080000e+02 3.869000e+01 3.249781e-01
1.400000e+02 4.209000e+02 3.685000e+01 3.451910e-01
1.500000e+02 4.338000e+02 3.522000e+01 3.650514e-01
1.600000e+02 4.467000e+02 3.374000e+01 3.844644e-01
1.700000e+02 4.597000e+02 3.239000e+01 4.035674e-01
1.800000e+02 4.726000e+02 3.116000e+01 4.221673e-01
2.000000e+02 4.984000e+02 2.898000e+01 4.584245e-01
2.250000e+02 5.307000e+02 2.671000e+01 5.016611e-01
2.500000e+02 5.627000e+02 2.480000e+01 5.428050e-01
2.750000e+02 5.943000e+02 2.318000e+01 5.821499e-01
3.000000e+02 6.256000e+02 2.177000e+01 6.197145e-01
3.250000e+02 6.562000e+02 2.055000e+01 6.557920e-01
3.500000e+02 6.861000e+02 1.947000e+01 6.903404e-01
3.750000e+02 7.150000e+02 1.851000e+01 7.236656e-01
4.000000e+02 7.436000e+02 1.765000e+01 7.557817e-01
4.500000e+02 7.980000e+02 1.617000e+01 8.170040e-01
5.000000e+02 8.493000e+02 1.494000e+01 8.746055e-01
5.500000e+02 8.972000e+02 1.390000e+01 9.292202e-01
