# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 1.080000e+02 9.642000e+02 1.058206e-02
1.100000e+01 1.133000e+02 9.751000e+02 1.136926e-02
1.200000e+01 1.183000e+02 9.843000e+02 1.215648e-02
1.300000e+01 1.231000e+02 9.918000e+02 1.290697e-02
1.400000e+01 1.277000e+02 9.979000e+02 1.365796e-02
1.500000e+01 1.322000e+02 1.003000e+03 1.444507e-02
1.600000e+01 1.366000e+02 1.007000e+03 1.516971e-02
1.700000e+01 1.408000e+02 1.010000e+03 1.586726e-02
1.800000e+01 1.449000e+02 1.013000e+03 1.661866e-02
2.000000e+01 1.527000e+02 1.017000e+03 1.804134e-02
2.250000e+01 1.620000e+02 1.019000e+03 1.985019e-02
2.500000e+01 1.707000e+02 1.019000e+03 2.169470e-02
2.750000e+01 1.790000e+02 1.017000e+03 2.341474e-02
3.000000e+01 1.870000e+02 1.014000e+03 2.525985e-02
3.250000e+01 1.946000e+02 1.009000e+03 2.707139e-02
3.500000e+01 2.020000e+02 1.005000e+03 2.882603e-02
3.750000e+01 2.091000e+02 9.996000e+02 3.063821e-02
4.000000e+01 2.159000e+02 9.938000e+02 3.248400e-02
4.500000e+01 2.291000e+02 9.816000e+02 3.599458e-02
5.000000e+01 2.414000e+02 9.683000e+02 3.965426e-02
5.500000e+01 2.532000e+02 9.550000e+02 4.325864e-02
6.000000e+01 2.645000e+02 9.414000e+02 4.691929e-02
6.500000e+01 2.753000e+02 9.278000e+02 5.052534e-02
7.000000e+01 2.857000e+02 9.142000e+02 5.422444e-02
8.000000e+01 3.054000e+02 8.884000e+02 6.155526e-02
9.000000e+01 3.247000e+02 8.632000e+02 6.905100e-02
1.000000e+02 3.454000e+02 8.394000e+02 7.657088e-02
1.100000e+02 3.662000e+02 8.170000e+02 8.406242e-02
1.200000e+02 3.869000e+02 7.956000e+02 9.162729e-02
1.300000e+02 4.070000e+02 7.755000e+02 9.928736e-02
1.400000e+02 4.267000e+02 7.568000e+02 1.068481e-01
1.500000e+02 4.457000e+02 7.388000e+02 1.144829e-01
1.600000e+02 4.644000e+02 7.218000e+02 1.220185e-01
1.700000e+02 4.821000e+02 7.055000e+02 1.296288e-01
1.800000e+02 4.994000e+02 6.902000e+02 1.372407e-01
2.000000e+02 5.328000e+02 6.620000e+02 1.525358e-01
2.250000e+02 5.715000e+02 6.300000e+02 1.715586e-01
2.500000e+02 6.076000e+02 6.014000e+02 1.905171e-01
2.750000e+02 6.419000e+02 5.759000e+02 2.093379e-01
3.000000e+02 6.745000e+02 5.528000e+02 2.281020e-01
3.250000e+02 7.062000e+02 5.317000e+02 2.468442e-01
3.500000e+02 7.368000e+02 5.127000e+02 2.653406e-01
