# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 7.405000e+01 1.811000e+03 8.544004e-03
1.100000e+01 7.765000e+01 1.866000e+03 8.967720e-03
1.200000e+01 8.112000e+01 1.916000e+03 9.419660e-03
1.300000e+01 8.442000e+01 1.962000e+03 9.936800e-03
1.400000e+01 8.762000e+01 2.005000e+03 1.036050e-02
1.500000e+01 9.071000e+01 2.044000e+03 1.078425e-02
1.600000e+01 9.367000e+01 2.081000e+03 1.120803e-02
1.700000e+01 9.656000e+01 2.115000e+03 1.161077e-02
1.800000e+01 9.935000e+01 2.147000e+03 1.203453e-02
2.000000e+01 1.047000e+02 2.206000e+03 1.276127e-02
2.250000e+01 1.111000e+02 2.270000e+03 1.370912e-02
2.500000e+01 1.171000e+02 2.327000e+03 1.465094e-02
2.750000e+01 1.228000e+02 2.376000e+03 1.559295e-02
3.000000e+01 1.283000e+02 2.420000e+03 1.653511e-02
3.250000e+01 1.335000e+02 2.460000e+03 1.736260e-02
3.500000e+01 1.385000e+02 2.496000e+03 1.830492e-02
3.750000e+01 1.434000e+02 2.528000e+03 1.910733e-02
4.000000e+01 1.481000e+02 2.557000e+03 1.995520e-02
4.500000e+01 1.571000e+02 2.608000e+03 2.163100e-02
5.000000e+01 1.656000e+02 2.651000e+03 2.328218e-02
5.500000e+01 1.737000e+02 2.687000e+03 2.486323e-02
6.000000e+01 1.814000e+02 2.717000e+03 2.651490e-02
6.500000e+01 1.888000e+02 2.743000e+03 2.805245e-02
7.000000e+01 1.959000e+02 2.765000e+03 2.963343e-02
8.000000e+01 2.095000e+02 2.800000e+03 3.272873e-02
9.000000e+01 2.222000e+02 2.825000e+03 3.574829e-02
1.000000e+02 2.342000e+02 2.843000e+03 3.877228e-02
1.100000e+02 2.456000e+02 2.855000e+03 4.177332e-02
1.200000e+02 2.565000e+02 2.862000e+03 4.475198e-02
1.300000e+02 2.670000e+02 2.866000e+03 4.773542e-02
1.400000e+02 2.771000e+02 2.867000e+03 5.073746e-02
1.500000e+02 2.868000e+02 2.866000e+03 5.364383e-02
1.600000e+02 2.962000e+02 2.862000e+03 5.664609e-02
1.700000e+02 3.053000e+02 2.857000e+03 5.960872e-02
1.800000e+02 3.142000e+02 2.850000e+03 6.251536e-02
2.000000e+02 3.312000e+02 2.834000e+03 6.848160e-02
2.250000e+02 3.512000e+02 2.809000e+03 7.581464e-02
2.500000e+02 3.787000e+02 2.781000e+03 8.322710e-02
2.750000e+02 4.022000e+02 2.751000e+03 9.073660e-02
3.000000e+02 4.223000e+02 2.720000e+03 9.815039e-02
3.250000e+02 4.410000e+02 2.687000e+03 1.057370e-01
3.500000e+02 4.586000e+02 2.655000e+03 1.132483e-01
3.750000e+02 4.760000e+02 2.622000e+03 1.208363e-01
4.000000e+02 4.933000e+02 2.590000e+03 1.284250e-01
4.500000e+02 5.283000e+02 2.527000e+03 1.439137e-01
5.000000e+02 5.637000e+02 2.466000e+03 1.594812e-01
5.500000e+02 5.994000e+02 2.407000e+03 1.751665e-01
6.000000e+02 6.344000e+02 2.351000e+03 1.910087e-01
6.500000e+02 6.691000e+02 2.298000e+03 2.069685e-01
7.000000e+02 7.031000e+02 2.247000e+03 2.230897e-01
8.000000e+02 7.684000e+02 2.151000e+03 2.555794e-01
9.000000e+02 8.303000e+02 2.065000e+03 2.884261e-01
1.000000e+03 8.884000e+02 1.986000e+03 3.215544e-01
1.100000e+03 9.438000e+02 1.914000e+03 3.549587e-01
1.200000e+03 9.962000e+02 1.848000e+03 3.885306e-01
1.300000e+03 1.046000e+03 1.787000e+03 4.223824e-01
1.400000e+03 1.094000e+03 1.730000e+03 4.563192e-01
1.500000e+03 1.141000e+03 1.678000e+03 4.903272e-01
1.600000e+03 1.187000e+03 1.629000e+03 5.244345e-01
1.700000e+03 1.230000e+03 1.583000e+03 5.585997e-01
1.800000e+03 1.274000e+03 1.540000e+03 5.928645e-01
2.000000e+03 1.359000e+03 1.463000e+03 6.613612e-01
2.250000e+03 1.462000e+03 1.378000e+03 7.466424e-01
2.500000e+03 1.564000e+03 1.303000e+03 8.313925e-01
2.750000e+03 1.666000e+03 1.238000e+03 9.152768e-01
3.000000e+03 1.767000e+03 1.180000e+03 9.981844e-01
3.250000e+03 1.869000e+03 1.128000e+03 1.078052e+00
3.500000e+03 1.972000e+03 1.081000e+03 1.158713e+00
3.750000e+03 2.075000e+03 1.038000e+03 1.239299e+00
4.000000e+03 2.179000e+03 9.992000e+02 1.319813e+00
4.500000e+03 2.389000e+03 9.306000e+02 1.470841e+00
5.000000e+03 2.600000e+03 8.721000e+02 1.611724e+00
5.500000e+03 2.811000e+03 8.214000e+02 1.742525e+00
6.000000e+03 3.022000e+03 7.772000e+02 1.882989e+00
6.500000e+03 3.232000e+03 7.381000e+02 2.003518e+00
7.000000e+03 3.441000e+03 7.031000e+02 2.123927e+00
8.000000e+03 3.845000e+03 6.436000e+02 2.354563e+00
9.000000e+03 4.243000e+03 5.943000e+02 2.565016e+00
1.000000e+04 4.620000e+03 5.528000e+02 2.765259e+00
1.100000e+04 4.984000e+03 5.175000e+02 2.945472e+00
1.200000e+04 5.331000e+03 4.869000e+02 3.115595e+00
1.300000e+04 5.664000e+03 4.603000e+02 3.285572e+00
1.400000e+04 5.980000e+03 4.365000e+02 3.445528e+00
1.500000e+04 6.280000e+03 4.155000e+02 3.595483e+00
1.600000e+04 6.569000e+03 3.964000e+02 3.735428e+00
1.700000e+04 6.841000e+03 3.794000e+02 3.875323e+00
