# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 1.509000e+02 8.184000e+02 1.143416e-02
1.100000e+01 1.582000e+02 8.248000e+02 1.222129e-02
1.200000e+01 1.653000e+02 8.296000e+02 1.309695e-02
1.300000e+01 1.720000e+02 8.333000e+02 1.384702e-02
1.400000e+01 1.785000e+02 8.360000e+02 1.472311e-02
1.500000e+01 1.848000e+02 8.381000e+02 1.559936e-02
1.600000e+01 1.908000e+02 8.394000e+02 1.635023e-02
1.700000e+01 1.967000e+02 8.401000e+02 1.713739e-02
1.800000e+01 2.024000e+02 8.401000e+02 1.801388e-02
2.000000e+01 2.134000e+02 8.394000e+02 1.961556e-02
2.250000e+01 2.263000e+02 8.364000e+02 2.157499e-02
2.500000e+01 2.386000e+02 8.323000e+02 2.362499e-02
2.750000e+01 2.502000e+02 8.269000e+02 2.559434e-02
3.000000e+01 2.613000e+02 8.211000e+02 2.752944e-02
3.250000e+01 2.720000e+02 8.146000e+02 2.958057e-02
3.500000e+01 2.823000e+02 8.078000e+02 3.151650e-02
3.750000e+01 2.922000e+02 8.007000e+02 3.351015e-02
4.000000e+01 3.018000e+02 7.935000e+02 3.544700e-02
4.500000e+01 3.201000e+02 7.789000e+02 3.943666e-02
5.000000e+01 3.374000e+02 7.643000e+02 4.337038e-02
5.500000e+01 3.539000e+02 7.500000e+02 4.739726e-02
6.000000e+01 3.696000e+02 7.357000e+02 5.133361e-02
6.500000e+01 3.845000e+02 7.221000e+02 5.536289e-02
7.000000e+01 3.995000e+02 7.089000e+02 5.926972e-02
8.000000e+01 4.641000e+02 6.837000e+02 6.720937e-02
9.000000e+01 5.059000e+02 6.603000e+02 7.478329e-02
1.000000e+02 5.331000e+02 6.385000e+02 8.243143e-02
1.100000e+02 5.508000e+02 6.184000e+02 9.006092e-02
1.200000e+02 5.623000e+02 5.994000e+02 9.780828e-02
1.300000e+02 5.705000e+02 5.821000e+02 1.056022e-01
1.400000e+02 5.763000e+02 5.657000e+02 1.133992e-01
1.500000e+02 5.807000e+02 5.504000e+02 1.214076e-01
1.600000e+02 5.844000e+02 5.358000e+02 1.295184e-01
1.700000e+02 5.882000e+02 5.222000e+02 1.376988e-01
1.800000e+02 5.916000e+02 5.096000e+02 1.459760e-01
2.000000e+02 5.997000e+02 4.862000e+02 1.626058e-01
2.250000e+02 6.116000e+02 4.603000e+02 1.839680e-01
2.500000e+02 6.266000e+02 4.376000e+02 2.055253e-01
2.750000e+02 6.443000e+02 4.172000e+02 2.273342e-01
3.000000e+02 6.647000e+02 3.988000e+02 2.491239e-01
3.250000e+02 6.871000e+02 3.825000e+02 2.708801e-01
3.500000e+02 7.116000e+02 3.675000e+02 2.925033e-01
3.750000e+02 7.374000e+02 3.539000e+02 3.139975e-01
4.000000e+02 7.643000e+02 3.413000e+02 3.352635e-01
4.500000e+02 8.214000e+02 3.194000e+02 3.769253e-01
5.000000e+02 8.809000e+02 3.004000e+02 4.172984e-01
5.500000e+02 9.418000e+02 2.838000e+02 4.564611e-01
6.000000e+02 1.003000e+03 2.692000e+02 4.941416e-01
6.500000e+02 1.064000e+03 2.563000e+02 5.306484e-01
7.000000e+02 1.125000e+03 2.447000e+02 5.658679e-01
8.000000e+02 1.244000e+03 2.248000e+02 6.328086e-01
9.000000e+02 1.359000e+03 2.083000e+02 6.956708e-01
1.000000e+03 1.469000e+03 1.943000e+02 7.548744e-01
1.100000e+03 1.574000e+03 1.823000e+02 8.109681e-01
1.200000e+03 1.675000e+03 1.719000e+02 8.643031e-01
1.300000e+03 1.771000e+03 1.627000e+02 9.152667e-01
1.400000e+03 1.863000e+03 1.546000e+02 9.641807e-01
1.500000e+03 1.952000e+03 1.474000e+02 1.011155e+00
1.600000e+03 2.037000e+03 1.408000e+02 1.059636e+00
1.700000e+03 2.118000e+03 1.349000e+02 1.099737e+00
1.800000e+03 2.197000e+03 1.295000e+02 1.139769e+00
2.000000e+03 2.348000e+03 1.201000e+02 1.219763e+00
2.250000e+03 2.523000e+03 1.103000e+02 1.319623e+00
2.500000e+03 2.687000e+03 1.021000e+02 1.409487e+00
2.750000e+03 2.842000e+03 9.513000e+01 1.499274e+00
3.000000e+03 2.989000e+03 8.918000e+01 1.579129e+00
3.250000e+03 3.130000e+03 8.398000e+01 1.658910e+00
3.500000e+03 3.264000e+03 7.942000e+01 1.728788e+00
3.750000e+03 3.393000e+03 7.538000e+01 1.798616e+00
4.000000e+03 3.515000e+03 7.174000e+01 1.868424e+00
4.500000e+03 3.750000e+03 6.555000e+01 2.008017e+00
5.000000e+03 3.968000e+03 6.042000e+01 2.127739e+00
5.500000e+03 4.168000e+03 5.613000e+01 2.247417e+00
6.000000e+03 4.355000e+03 5.243000e+01 2.367069e+00
6.500000e+03 4.525000e+03 4.923000e+01 2.476780e+00
7.000000e+03 4.685000e+03 4.644000e+01 2.586473e+00
8.000000e+03 4.964000e+03 4.178000e+01 2.786040e+00
9.000000e+03 5.205000e+03 3.801000e+01 2.975646e+00
1.000000e+04 5.406000e+03 3.495000e+01 3.165227e+00
1.100000e+04 5.576000e+03 3.235000e+01 3.344868e+00
1.200000e+04 5.722000e+03 3.015000e+01 3.524501e+00
1.300000e+04 5.844000e+03 2.825000e+01 3.694187e+00
1.400000e+04 5.953000e+03 2.659000e+01 3.863874e+00
1.500000e+04 6.042000e+03 2.513000e+01 4.023613e+00
1.600000e+04 6.120000e+03 2.384000e+01 4.183358e+00
1.700000e+04 6.184000e+03 2.268000e+01 4.353083e+00
1.800000e+04 6.239000e+03 2.163000e+01 4.512843e+00
2.000000e+04 6.327000e+03 1.983000e+01 4.822529e+00
2.250000e+04 6.399000e+03 1.798000e+01 5.212209e+00
2.500000e+04 6.443000e+03 1.647000e+01 5.601906e+00
2.750000e+04 6.463000e+03 1.521000e+01 5.991630e+00
3.000000e+04 6.467000e+03 1.414000e+01 6.371397e+00
3.250000e+04 6.460000e+03 1.322000e+01 6.761167e+00
3.500000e+04 6.443000e+03 1.242000e+01 7.140967e+00
3.750000e+04 6.422000e+03 1.172000e+01 7.530773e+00
4.000000e+04 6.392000e+03 1.109000e+01 7.920602e+00
4.500000e+04 6.324000e+03 1.004000e+01 8.710644e+00
5.000000e+04 6.246000e+03 9.176000e+00 9.500687e+00
5.500000e+04 6.161000e+03 8.459000e+00 1.030073e+01
6.000000e+04 6.072000e+03 7.854000e+00 1.112076e+01
6.500000e+04 5.984000e+03 7.334000e+00 1.195080e+01
7.000000e+04 5.899000e+03 6.881000e+00 1.279085e+01
8.000000e+04 5.749000e+03 6.133000e+00 1.450196e+01
9.000000e+04 5.555000e+03 5.542000e+00 1.627291e+01
1.000000e+05 5.385000e+03 5.059000e+00 1.810376e+01
