# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 7.106000e+01 1.285000e+03 9.484725e-03
1.100000e+01 7.453000e+01 1.309000e+03 1.005634e-02
1.200000e+01 7.786000e+01 1.330000e+03 1.069299e-02
1.300000e+01 8.102000e+01 1.349000e+03 1.132210e-02
1.400000e+01 8.408000e+01 1.365000e+03 1.186802e-02
1.500000e+01 8.704000e+01 1.380000e+03 1.250520e-02
1.600000e+01 8.989000e+01 1.393000e+03 1.307631e-02
1.700000e+01 9.265000e+01 1.405000e+03 1.368101e-02
1.800000e+01 9.533000e+01 1.415000e+03 1.422709e-02
2.000000e+01 1.005000e+02 1.434000e+03 1.540325e-02
2.250000e+01 1.066000e+02 1.452000e+03 1.679464e-02
2.500000e+01 1.124000e+02 1.466000e+03 1.818626e-02
2.750000e+01 1.178000e+02 1.477000e+03 1.957805e-02
3.000000e+01 1.231000e+02 1.485000e+03 2.094636e-02
3.250000e+01 1.281000e+02 1.491000e+03 2.224635e-02
3.500000e+01 1.330000e+02 1.495000e+03 2.360784e-02
3.750000e+01 1.376000e+02 1.498000e+03 2.500020e-02
4.000000e+01 1.421000e+02 1.499000e+03 2.639261e-02
4.500000e+01 1.508000e+02 1.500000e+03 2.903205e-02
5.000000e+01 1.589000e+02 1.497000e+03 3.167223e-02
5.500000e+01 1.667000e+02 1.493000e+03 3.442819e-02
6.000000e+01 1.741000e+02 1.486000e+03 3.706926e-02
6.500000e+01 1.812000e+02 1.478000e+03 3.980389e-02
7.000000e+01 1.880000e+02 1.470000e+03 4.247458e-02
8.000000e+01 2.010000e+02 1.450000e+03 4.794549e-02
9.000000e+01 2.132000e+02 1.430000e+03 5.341058e-02
1.000000e+02 2.247000e+02 1.408000e+03 5.888370e-02
1.100000e+02 2.357000e+02 1.386000e+03 6.445138e-02
1.200000e+02 2.515000e+02 1.365000e+03 7.001978e-02
1.300000e+02 2.795000e+02 1.343000e+03 7.565567e-02
1.400000e+02 2.987000e+02 1.322000e+03 8.122530e-02
1.500000e+02 3.121000e+02 1.301000e+03 8.686277e-02
1.600000e+02 3.215000e+02 1.281000e+03 9.259536e-02
1.700000e+02 3.284000e+02 1.262000e+03 9.823426e-02
1.800000e+02 3.339000e+02 1.243000e+03 1.040889e-01
2.000000e+02 3.427000e+02 1.206000e+03 1.157475e-01
2.250000e+02 3.532000e+02 1.163000e+03 1.308108e-01
2.500000e+02 3.651000e+02 1.124000e+03 1.461111e-01
2.750000e+02 3.794000e+02 1.088000e+03 1.617691e-01
3.000000e+02 3.957000e+02 1.054000e+03 1.776447e-01
3.250000e+02 4.141000e+02 1.022000e+03 1.936649e-01
3.500000e+02 4.331000e+02 9.928000e+02 2.099026e-01
3.750000e+02 4.535000e+02 9.656000e+02 2.261368e-01
4.000000e+02 4.743000e+02 9.397000e+02 2.425643e-01
4.500000e+02 5.171000e+02 8.928000e+02 2.755532e-01
5.000000e+02 5.596000e+02 8.510000e+02 3.086922e-01
5.500000e+02 6.018000e+02 8.136000e+02 3.418173e-01
6.000000e+02 6.426000e+02 7.799000e+02 3.747543e-01
6.500000e+02 6.824000e+02 7.493000e+02 4.076737e-01
7.000000e+02 7.204000e+02 7.215000e+02 4.403116e-01
8.000000e+02 7.935000e+02 6.725000e+02 5.050318e-01
9.000000e+02 8.626000e+02 6.307000e+02 5.689126e-01
1.000000e+03 9.282000e+02 5.946000e+02 6.316498e-01
1.100000e+03 9.918000e+02 5.630000e+02 6.932639e-01
1.200000e+03 1.054000e+03 5.351000e+02 7.536770e-01
1.300000e+03 1.115000e+03 5.100000e+02 8.129053e-01
1.400000e+03 1.175000e+03 4.879000e+02 8.708362e-01
1.500000e+03 1.236000e+03 4.675000e+02 9.275843e-01
1.600000e+03 1.296000e+03 4.491000e+02 9.830679e-01
1.700000e+03 1.357000e+03 4.325000e+02 1.034945e+00
1.800000e+03 1.419000e+03 4.172000e+02 1.085487e+00
2.000000e+03 1.543000e+03 3.896000e+02 1.196140e+00
2.250000e+03 1.702000e+03 3.607000e+02 1.316980e+00
2.500000e+03 1.864000e+03 3.365000e+02 1.427666e+00
2.750000e+03 2.029000e+03 3.155000e+02 1.528241e+00
3.000000e+03 2.196000e+03 2.974000e+02 1.628556e+00
3.250000e+03 2.365000e+03 2.814000e+02 1.728703e+00
3.500000e+03 2.534000e+03 2.673000e+02 1.818836e+00
3.750000e+03 2.702000e+03 2.547000e+02 1.899016e+00
4.000000e+03 2.870000e+03 2.433000e+02 1.979057e+00
4.500000e+03 3.202000e+03 2.237000e+02 2.129091e+00
5.000000e+03 3.526000e+03 2.074000e+02 2.268959e+00
5.500000e+03 3.835000e+03 1.935000e+02 2.388889e+00
6.000000e+03 4.134000e+03 1.815000e+02 2.508664e+00
6.500000e+03 4.420000e+03 1.710000e+02 2.618443e+00
7.000000e+03 4.695000e+03 1.619000e+02 2.728144e+00
8.000000e+03 5.198000e+03 1.465000e+02 2.917716e+00
9.000000e+03 5.651000e+03 1.340000e+02 3.097227e+00
1.000000e+04 6.055000e+03 1.236000e+02 3.256793e+00
1.100000e+04 6.412000e+03 1.148000e+02 3.416288e+00
1.200000e+04 6.735000e+03 1.074000e+02 3.565817e+00
1.300000e+04 7.021000e+03 1.009000e+02 3.705392e+00
1.400000e+04 7.279000e+03 9.523000e+01 3.844946e+00
1.500000e+04 7.507000e+03 9.020000e+01 3.974557e+00
1.600000e+04 7.718000e+03 8.575000e+01 4.104164e+00
1.700000e+04 7.905000e+03 8.173000e+01 4.233760e+00
1.800000e+04 8.078000e+03 7.810000e+01 4.353414e+00
2.000000e+04 8.377000e+03 7.181000e+01 4.592799e+00
2.250000e+04 8.694000e+03 6.535000e+01 4.882112e+00
2.500000e+04 8.959000e+03 6.004000e+01 5.161483e+00
