# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 6.990000e+01 1.901000e+03 8.516455e-03
1.100000e+01 7.330000e+01 1.963000e+03 9.013878e-03
1.200000e+01 7.657000e+01 2.021000e+03 9.464671e-03
1.300000e+01 7.969000e+01 2.074000e+03 9.861541e-03
1.400000e+01 8.272000e+01 2.123000e+03 1.028543e-02
1.500000e+01 8.561000e+01 2.169000e+03 1.070934e-02
1.600000e+01 8.843000e+01 2.212000e+03 1.111306e-02
1.700000e+01 9.115000e+01 2.252000e+03 1.144246e-02
1.800000e+01 9.377000e+01 2.290000e+03 1.186634e-02
2.000000e+01 9.887000e+01 2.360000e+03 1.259960e-02
2.250000e+01 1.049000e+02 2.437000e+03 1.354179e-02
2.500000e+01 1.105000e+02 2.505000e+03 1.446444e-02
2.750000e+01 1.159000e+02 2.566000e+03 1.528692e-02
3.000000e+01 1.211000e+02 2.620000e+03 1.613475e-02
3.250000e+01 1.260000e+02 2.670000e+03 1.696290e-02
3.500000e+01 1.308000e+02 2.715000e+03 1.779129e-02
3.750000e+01 1.354000e+02 2.756000e+03 1.861451e-02
4.000000e+01 1.398000e+02 2.794000e+03 1.934787e-02
4.500000e+01 1.483000e+02 2.860000e+03 2.090478e-02
5.000000e+01 1.563000e+02 2.917000e+03 2.246197e-02
5.500000e+01 1.639000e+02 2.967000e+03 2.390502e-02
6.000000e+01 1.712000e+02 3.010000e+03 2.536710e-02
6.500000e+01 1.782000e+02 3.047000e+03 2.681045e-02
7.000000e+01 1.850000e+02 3.080000e+03 2.825403e-02
8.000000e+01 1.977000e+02 3.135000e+03 3.104159e-02
9.000000e+01 2.097000e+02 3.178000e+03 3.385203e-02
1.000000e+02 2.211000e+02 3.212000e+03 3.652629e-02
1.100000e+02 2.318000e+02 3.238000e+03 3.931488e-02
1.200000e+02 2.421000e+02 3.259000e+03 4.198988e-02
1.300000e+02 2.520000e+02 3.275000e+03 4.456916e-02
1.400000e+02 2.616000e+02 3.287000e+03 4.724468e-02
1.500000e+02 2.707000e+02 3.296000e+03 4.982429e-02
1.600000e+02 2.796000e+02 3.302000e+03 5.250019e-02
1.700000e+02 2.882000e+02 3.306000e+03 5.508003e-02
1.800000e+02 2.966000e+02 3.307000e+03 5.773534e-02
2.000000e+02 3.126000e+02 3.305000e+03 6.289555e-02
2.250000e+02 3.316000e+02 3.296000e+03 6.936361e-02
2.500000e+02 3.495000e+02 3.281000e+03 7.585262e-02
2.750000e+02 3.662000e+02 3.262000e+03 8.240194e-02
3.000000e+02 3.845000e+02 3.240000e+03 8.889168e-02
3.250000e+02 4.046000e+02 3.216000e+03 9.544229e-02
3.500000e+02 4.250000e+02 3.190000e+03 1.020097e-01
3.750000e+02 4.454000e+02 3.163000e+03 1.084646e-01
4.000000e+02 4.651000e+02 3.136000e+03 1.151136e-01
4.500000e+02 5.025000e+02 3.080000e+03 1.283507e-01
5.000000e+02 5.372000e+02 3.024000e+03 1.416323e-01
5.500000e+02 5.691000e+02 2.968000e+03 1.550311e-01
6.000000e+02 5.991000e+02 2.913000e+03 1.685280e-01
6.500000e+02 6.269000e+02 2.860000e+03 1.821199e-01
7.000000e+02 6.535000e+02 2.808000e+03 1.958922e-01
8.000000e+02 7.034000e+02 2.710000e+03 2.236519e-01
9.000000e+02 7.504000e+02 2.618000e+03 2.518987e-01
1.000000e+03 7.956000e+02 2.533000e+03 2.805068e-01
1.100000e+03 8.401000e+02 2.453000e+03 3.095224e-01
1.200000e+03 8.840000e+02 2.380000e+03 3.388193e-01
1.300000e+03 9.282000e+02 2.310000e+03 3.683117e-01
1.400000e+03 9.720000e+02 2.246000e+03 3.980835e-01
1.500000e+03 1.016000e+03 2.185000e+03 4.281375e-01
1.600000e+03 1.060000e+03 2.128000e+03 4.582896e-01
1.700000e+03 1.104000e+03 2.075000e+03 4.885264e-01
1.800000e+03 1.147000e+03 2.025000e+03 5.188500e-01
2.000000e+03 1.235000e+03 1.932000e+03 5.797970e-01
2.250000e+03 1.343000e+03 1.829000e+03 6.561103e-01
2.500000e+03 1.451000e+03 1.739000e+03 7.321267e-01
2.750000e+03 1.556000e+03 1.658000e+03 8.077901e-01
3.000000e+03 1.660000e+03 1.586000e+03 8.828919e-01
3.250000e+03 1.762000e+03 1.521000e+03 9.571381e-01
3.500000e+03 1.862000e+03 1.462000e+03 1.026680e+00
3.750000e+03 1.961000e+03 1.408000e+03 1.107189e+00
4.000000e+03 2.058000e+03 1.358000e+03 1.177803e+00
4.500000e+03 2.246000e+03 1.271000e+03 1.318920e+00
5.000000e+03 2.429000e+03 1.195000e+03 1.449964e+00
5.500000e+03 2.606000e+03 1.129000e+03 1.580807e+00
6.000000e+03 2.779000e+03 1.071000e+03 1.711503e+00
6.500000e+03 2.948000e+03 1.020000e+03 1.842058e+00
7.000000e+03 3.114000e+03 9.737000e+02 1.962602e+00
8.000000e+03 3.437000e+03 8.945000e+02 2.193615e+00
9.000000e+03 3.750000e+03 8.286000e+02 2.414356e+00
1.000000e+04 4.056000e+03 7.731000e+02 2.624898e+00
1.100000e+04 4.352000e+03 7.255000e+02 2.825290e+00
1.200000e+04 4.644000e+03 6.841000e+02 3.015594e+00
1.300000e+04 4.930000e+03 6.473000e+02 3.195825e+00
1.400000e+04 5.212000e+03 6.150000e+02 3.366004e+00
1.500000e+04 5.484000e+03 5.861000e+02 3.526152e+00
1.600000e+04 5.753000e+03 5.603000e+02 3.686212e+00
1.700000e+04 6.011000e+03 5.368000e+02 3.846194e+00
1.800000e+04 6.266000e+03 5.154000e+02 3.996184e+00
2.000000e+04 6.756000e+03 4.780000e+02 4.276233e+00
2.250000e+04 7.334000e+03 4.389000e+02 4.606213e+00
2.500000e+04 7.871000e+03 4.063000e+02 4.916104e+00
2.750000e+04 8.367000e+03 3.787000e+02 5.205945e+00
3.000000e+04 8.833000e+03 3.549000e+02 5.485730e+00
3.250000e+04 9.265000e+03 3.342000e+02 5.745527e+00
3.500000e+04 9.666000e+03 3.160000e+02 6.005274e+00
3.750000e+04 1.004000e+04 2.999000e+02 6.245053e+00
4.000000e+04 1.039000e+04 2.855000e+02 6.484802e+00
4.500000e+04 1.104000e+04 2.609000e+02 6.934473e+00
5.000000e+04 1.161000e+04 2.405000e+02 7.364117e+00
5.500000e+04 1.214000e+04 2.233000e+02 7.773762e+00
6.000000e+04 1.262000e+04 2.086000e+02 8.173391e+00
6.500000e+04 1.306000e+04 1.959000e+02 8.553050e+00
7.000000e+04 1.347000e+04 1.848000e+02 8.922707e+00
8.000000e+04 1.422000e+04 1.662000e+02 9.632331e+00
9.000000e+04 1.489000e+04 1.513000e+02 1.031193e+01
1.000000e+05 1.549000e+04 1.390000e+02 1.096154e+01
