# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 8.265000e+01 1.244000e+03 9.544632e-03
1.100000e+01 8.666000e+01 1.266000e+03 1.018086e-02
1.200000e+01 9.054000e+01 1.286000e+03 1.080926e-02
1.300000e+01 9.421000e+01 1.303000e+03 1.135518e-02
1.400000e+01 9.778000e+01 1.318000e+03 1.199208e-02
1.500000e+01 1.012000e+02 1.331000e+03 1.265425e-02
1.600000e+01 1.045000e+02 1.343000e+03 1.320038e-02
1.700000e+01 1.077000e+02 1.354000e+03 1.380471e-02
1.800000e+01 1.109000e+02 1.363000e+03 1.437567e-02
2.000000e+01 1.169000e+02 1.379000e+03 1.552675e-02
2.250000e+01 1.240000e+02 1.394000e+03 1.706605e-02
2.500000e+01 1.307000e+02 1.406000e+03 1.845725e-02
2.750000e+01 1.370000e+02 1.415000e+03 1.984868e-02
3.000000e+01 1.431000e+02 1.421000e+03 2.124029e-02
3.250000e+01 1.490000e+02 1.425000e+03 2.260088e-02
3.500000e+01 1.546000e+02 1.428000e+03 2.406159e-02
3.750000e+01 1.600000e+02 1.430000e+03 2.545388e-02
4.000000e+01 1.653000e+02 1.430000e+03 2.684623e-02
4.500000e+01 1.753000e+02 1.428000e+03 2.963106e-02
5.000000e+01 1.848000e+02 1.424000e+03 3.236325e-02
5.500000e+01 1.938000e+02 1.417000e+03 3.511880e-02
6.000000e+01 2.024000e+02 1.409000e+03 3.788192e-02
6.500000e+01 2.107000e+02 1.400000e+03 4.061601e-02
7.000000e+01 2.186000e+02 1.391000e+03 4.337246e-02
8.000000e+01 2.337000e+02 1.369000e+03 4.896478e-02
9.000000e+01 2.479000e+02 1.347000e+03 5.455099e-02
1.000000e+02 2.613000e+02 1.325000e+03 6.023886e-02
1.100000e+02 2.741000e+02 1.303000e+03 6.601409e-02
1.200000e+02 3.055000e+02 1.280000e+03 7.167580e-02
1.300000e+02 3.330000e+02 1.258000e+03 7.743236e-02
1.400000e+02 3.539000e+02 1.237000e+03 8.308869e-02
1.500000e+02 3.696000e+02 1.216000e+03 8.884672e-02
1.600000e+02 3.821000e+02 1.196000e+03 9.457864e-02
1.700000e+02 3.920000e+02 1.177000e+03 1.004256e-01
1.800000e+02 4.005000e+02 1.158000e+03 1.062535e-01
2.000000e+02 4.138000e+02 1.122000e+03 1.181266e-01
2.250000e+02 4.277000e+02 1.081000e+03 1.332080e-01
2.500000e+02 4.406000e+02 1.042000e+03 1.485585e-01
2.750000e+02 4.539000e+02 1.007000e+03 1.642162e-01
3.000000e+02 4.678000e+02 9.744000e+02 1.801382e-01
3.250000e+02 4.824000e+02 9.442000e+02 1.963735e-01
3.500000e+02 4.981000e+02 9.159000e+02 2.127014e-01
3.750000e+02 5.141000e+02 8.898000e+02 2.292050e-01
4.000000e+02 5.307000e+02 8.653000e+02 2.458016e-01
4.500000e+02 5.657000e+02 8.207000e+02 2.792896e-01
