# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 7.184000e+01 1.828000e+03 8.450444e-03
1.100000e+01 7.534000e+01 1.884000e+03 8.967720e-03
1.200000e+01 7.871000e+01 1.935000e+03 9.391486e-03
1.300000e+01 8.190000e+01 1.982000e+03 9.815294e-03
1.400000e+01 8.500000e+01 2.026000e+03 1.023914e-02
1.500000e+01 8.799000e+01 2.066000e+03 1.066302e-02
1.600000e+01 9.088000e+01 2.104000e+03 1.106571e-02
1.700000e+01 9.367000e+01 2.139000e+03 1.148956e-02
1.800000e+01 9.639000e+01 2.172000e+03 1.191344e-02
2.000000e+01 1.016000e+02 2.232000e+03 1.274049e-02
2.250000e+01 1.078000e+02 2.298000e+03 1.368247e-02
2.500000e+01 1.136000e+02 2.355000e+03 1.462464e-02
2.750000e+01 1.191000e+02 2.406000e+03 1.547256e-02
3.000000e+01 1.244000e+02 2.452000e+03 1.639451e-02
3.250000e+01 1.295000e+02 2.493000e+03 1.724239e-02
3.500000e+01 1.344000e+02 2.530000e+03 1.809033e-02
3.750000e+01 1.391000e+02 2.563000e+03 1.901263e-02
4.000000e+01 1.437000e+02 2.593000e+03 1.986051e-02
4.500000e+01 1.524000e+02 2.646000e+03 2.151139e-02
5.000000e+01 1.606000e+02 2.690000e+03 2.309242e-02
5.500000e+01 1.685000e+02 2.727000e+03 2.462925e-02
6.000000e+01 1.760000e+02 2.759000e+03 2.630532e-02
6.500000e+01 1.832000e+02 2.787000e+03 2.786216e-02
7.000000e+01 1.901000e+02 2.810000e+03 2.941921e-02
8.000000e+01 2.032000e+02 2.847000e+03 3.241928e-02
9.000000e+01 2.156000e+02 2.874000e+03 3.544319e-02
1.000000e+02 2.272000e+02 2.894000e+03 3.844399e-02
1.100000e+02 2.383000e+02 2.907000e+03 4.134961e-02
1.200000e+02 2.489000e+02 2.916000e+03 4.432832e-02
1.300000e+02 2.591000e+02 2.921000e+03 4.721610e-02
1.400000e+02 2.688000e+02 2.923000e+03 5.012235e-02
1.500000e+02 2.783000e+02 2.923000e+03 5.312448e-02
1.600000e+02 2.874000e+02 2.920000e+03 5.600884e-02
1.700000e+02 2.962000e+02 2.916000e+03 5.889745e-02
1.800000e+02 3.048000e+02 2.910000e+03 6.178228e-02
2.000000e+02 3.213000e+02 2.895000e+03 6.757795e-02
2.250000e+02 3.407000e+02 2.872000e+03 7.487196e-02
