# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 1.232000e+02 9.214000e+02 1.082405e-02
1.100000e+01 1.292000e+02 9.309000e+02 1.161120e-02
1.200000e+01 1.350000e+02 9.391000e+02 1.236163e-02
1.300000e+01 1.405000e+02 9.452000e+02 1.323782e-02
1.400000e+01 1.458000e+02 9.506000e+02 1.398892e-02
1.500000e+01 1.509000e+02 9.547000e+02 1.474924e-02
1.600000e+01 1.559000e+02 9.581000e+02 1.550065e-02
1.700000e+01 1.607000e+02 9.605000e+02 1.628773e-02
1.800000e+01 1.653000e+02 9.625000e+02 1.694963e-02
2.000000e+01 1.743000e+02 9.646000e+02 1.846212e-02
2.250000e+01 1.849000e+02 9.649000e+02 2.030616e-02
2.500000e+01 1.948000e+02 9.635000e+02 2.215062e-02
2.750000e+01 2.044000e+02 9.605000e+02 2.407675e-02
3.000000e+01 2.134000e+02 9.567000e+02 2.592181e-02
3.250000e+01 2.221000e+02 9.516000e+02 2.773337e-02
3.500000e+01 2.305000e+02 9.465000e+02 2.957888e-02
3.750000e+01 2.386000e+02 9.404000e+02 3.136686e-02
4.000000e+01 2.465000e+02 9.343000e+02 3.321280e-02
4.500000e+01 2.614000e+02 9.210000e+02 3.687194e-02
5.000000e+01 2.756000e+02 9.074000e+02 4.059076e-02
5.500000e+01 2.890000e+02 8.938000e+02 4.431952e-02
6.000000e+01 3.019000e+02 8.799000e+02 4.804050e-02
6.500000e+01 3.142000e+02 8.663000e+02 5.177084e-02
7.000000e+01 3.261000e+02 8.527000e+02 5.549315e-02
8.000000e+01 3.526000e+02 8.265000e+02 6.300944e-02
9.000000e+01 3.883000e+02 8.020000e+02 7.047588e-02
1.000000e+02 4.168000e+02 7.786000e+02 7.796704e-02
1.100000e+02 4.410000e+02 7.568000e+02 8.543840e-02
1.200000e+02 4.617000e+02 7.361000e+02 9.299726e-02
1.300000e+02 4.804000e+02 7.167000e+02 1.004149e-01
1.400000e+02 4.971000e+02 6.983000e+02 1.079284e-01
1.500000e+02 5.127000e+02 6.813000e+02 1.155654e-01
1.600000e+02 5.277000e+02 6.650000e+02 1.231491e-01
1.700000e+02 5.419000e+02 6.494000e+02 1.307620e-01
1.800000e+02 5.555000e+02 6.351000e+02 1.383291e-01
2.000000e+02 5.817000e+02 6.079000e+02 1.536978e-01
2.250000e+02 6.130000e+02 5.776000e+02 1.728708e-01
2.500000e+02 6.429000e+02 5.508000e+02 1.920766e-01
2.750000e+02 6.718000e+02 5.270000e+02 2.113611e-01
3.000000e+02 7.004000e+02 5.052000e+02 2.304907e-01
3.250000e+02 7.286000e+02 4.855000e+02 2.496044e-01
3.500000e+02 7.561000e+02 4.675000e+02 2.686063e-01
3.750000e+02 7.833000e+02 4.512000e+02 2.874363e-01
4.000000e+02 8.105000e+02 4.359000e+02 3.062912e-01
4.500000e+02 8.639000e+02 4.090000e+02 3.432786e-01
5.000000e+02 9.166000e+02 3.855000e+02 3.795928e-01
5.500000e+02 9.686000e+02 3.651000e+02 4.152105e-01
6.000000e+02 1.020000e+03 3.471000e+02 4.499816e-01
6.500000e+02 1.071000e+03 3.311000e+02 4.840753e-01
7.000000e+02 1.121000e+03 3.167000e+02 5.173212e-01
8.000000e+02 1.219000e+03 2.917000e+02 5.817034e-01
9.000000e+02 1.314000e+03 2.709000e+02 6.431221e-01
1.000000e+03 1.408000e+03 2.532000e+02 7.019174e-01
1.100000e+03 1.499000e+03 2.380000e+02 7.583297e-01
1.200000e+03 1.588000e+03 2.247000e+02 8.123412e-01
1.300000e+03 1.675000e+03 2.130000e+02 8.642892e-01
1.400000e+03 1.760000e+03 2.027000e+02 9.142847e-01
1.500000e+03 1.843000e+03 1.934000e+02 9.625358e-01
1.600000e+03 1.925000e+03 1.850000e+02 1.009153e+00
1.700000e+03 2.004000e+03 1.774000e+02 1.050029e+00
1.800000e+03 2.082000e+03 1.705000e+02 1.099977e+00
2.000000e+03 2.233000e+03 1.583000e+02 1.180118e+00
2.250000e+03 2.414000e+03 1.456000e+02 1.280133e+00
2.500000e+03 2.587000e+03 1.349000e+02 1.370148e+00
2.750000e+03 2.752000e+03 1.259000e+02 1.460042e+00
3.000000e+03 2.910000e+03 1.181000e+02 1.539973e+00
3.250000e+03 3.062000e+03 1.114000e+02 1.619822e+00
3.500000e+03 3.207000e+03 1.054000e+02 1.699638e+00
3.750000e+03 3.347000e+03 1.001000e+02 1.769521e+00
4.000000e+03 3.481000e+03 9.537000e+01 1.839362e+00
4.500000e+03 3.736000e+03 8.724000e+01 1.969113e+00
5.000000e+03 3.971000e+03 8.051000e+01 2.098790e+00
5.500000e+03 4.189000e+03 7.483000e+01 2.218494e+00
6.000000e+03 4.393000e+03 6.997000e+01 2.328232e+00
6.500000e+03 4.580000e+03 6.575000e+01 2.437942e+00
7.000000e+03 4.753000e+03 6.205000e+01 2.547642e+00
8.000000e+03 5.066000e+03 5.589000e+01 2.747206e+00
9.000000e+03 5.334000e+03 5.090000e+01 2.926847e+00
1.000000e+04 5.566000e+03 4.682000e+01 3.116396e+00
1.100000e+04 5.766000e+03 4.338000e+01 3.286052e+00
1.200000e+04 5.943000e+03 4.046000e+01 3.455697e+00
1.300000e+04 6.099000e+03 3.794000e+01 3.615390e+00
1.400000e+04 6.235000e+03 3.573000e+01 3.775081e+00
1.500000e+04 6.358000e+03 3.377000e+01 3.934783e+00
1.600000e+04 6.463000e+03 3.205000e+01 4.094486e+00
1.700000e+04 6.562000e+03 3.050000e+01 4.244231e+00
1.800000e+04 6.647000e+03 2.911000e+01 4.393983e+00
2.000000e+04 6.793000e+03 2.670000e+01 4.683642e+00
2.250000e+04 6.939000e+03 2.422000e+01 5.053253e+00
2.500000e+04 7.051000e+03 2.220000e+01 5.402931e+00
2.750000e+04 7.133000e+03 2.051000e+01 5.752628e+00
3.000000e+04 7.198000e+03 1.908000e+01 6.102338e+00
3.250000e+04 7.245000e+03 1.784000e+01 6.452062e+00
3.500000e+04 7.279000e+03 1.677000e+01 6.791830e+00
3.750000e+04 7.300000e+03 1.583000e+01 7.131611e+00
4.000000e+04 7.313000e+03 1.499000e+01 7.471405e+00
4.500000e+04 7.317000e+03 1.357000e+01 8.151314e+00
5.000000e+04 7.300000e+03 1.241000e+01 8.841218e+00
5.500000e+04 7.266000e+03 1.145000e+01 9.521144e+00
6.000000e+04 7.218000e+03 1.063000e+01 1.021108e+01
6.500000e+04 7.164000e+03 9.931000e+00 1.090101e+01
7.000000e+04 7.102000e+03 9.323000e+00 1.160096e+01
8.000000e+04 6.983000e+03 8.313000e+00 1.302164e+01
9.000000e+04 6.847000e+03 7.514000e+00 1.446222e+01
1.000000e+05 6.667000e+03 6.861000e+00 1.594273e+01
