# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 1.169000e+02 1.571000e+03 8.646387e-03
1.100000e+01 1.226000e+02 1.610000e+03 9.100000e-03
1.200000e+01 1.280000e+02 1.645000e+03 9.615612e-03
1.300000e+01 1.332000e+02 1.677000e+03 1.013163e-02
1.400000e+01 1.382000e+02 1.706000e+03 1.058489e-02
1.500000e+01 1.431000e+02 1.733000e+03 1.110090e-02
1.600000e+01 1.478000e+02 1.757000e+03 1.152432e-02
1.700000e+01 1.523000e+02 1.780000e+03 1.204076e-02
1.800000e+01 1.568000e+02 1.800000e+03 1.246435e-02
2.000000e+01 1.652000e+02 1.837000e+03 1.340485e-02
2.250000e+01 1.753000e+02 1.877000e+03 1.446720e-02
2.500000e+01 1.848000e+02 1.910000e+03 1.552965e-02
2.750000e+01 1.938000e+02 1.939000e+03 1.656412e-02
3.000000e+01 2.024000e+02 1.964000e+03 1.764851e-02
3.250000e+01 2.107000e+02 1.985000e+03 1.868342e-02
3.500000e+01 2.186000e+02 2.003000e+03 1.972435e-02
3.750000e+01 2.263000e+02 2.019000e+03 2.066591e-02
4.000000e+01 2.337000e+02 2.033000e+03 2.172855e-02
4.500000e+01 2.479000e+02 2.055000e+03 2.370612e-02
5.000000e+01 2.613000e+02 2.072000e+03 2.561660e-02
5.500000e+01 2.740000e+02 2.084000e+03 2.757408e-02
6.000000e+01 2.862000e+02 2.093000e+03 2.948457e-02
6.500000e+01 2.979000e+02 2.099000e+03 3.144296e-02
7.000000e+01 3.092000e+02 2.103000e+03 3.332777e-02
8.000000e+01 3.305000e+02 2.105000e+03 3.708275e-02
9.000000e+01 3.505000e+02 2.101000e+03 4.083307e-02
1.000000e+02 3.696000e+02 2.094000e+03 4.456434e-02
1.100000e+02 3.876000e+02 2.083000e+03 4.831573e-02
1.200000e+02 4.049000e+02 2.071000e+03 5.195306e-02
1.300000e+02 4.212000e+02 2.058000e+03 5.568590e-02
1.400000e+02 4.372000e+02 2.043000e+03 5.941919e-02
1.500000e+02 4.525000e+02 2.027000e+03 6.317159e-02
1.600000e+02 4.675000e+02 2.011000e+03 6.690538e-02
1.700000e+02 4.688000e+02 1.994000e+03 7.071146e-02
1.800000e+02 4.314000e+02 1.978000e+03 7.444589e-02
2.000000e+02 3.876000e+02 1.944000e+03 8.229769e-02
2.250000e+02 3.702000e+02 1.902000e+03 9.242408e-02
2.500000e+02 3.764000e+02 1.861000e+03 1.028570e-01
2.750000e+02 3.947000e+02 1.821000e+03 1.133699e-01
3.000000e+02 4.195000e+02 1.782000e+03 1.239012e-01
3.250000e+02 4.464000e+02 1.745000e+03 1.346254e-01
3.500000e+02 4.739000e+02 1.709000e+03 1.453289e-01
3.750000e+02 5.011000e+02 1.675000e+03 1.561296e-01
4.000000e+02 5.270000e+02 1.642000e+03 1.669478e-01
4.500000e+02 5.746000e+02 1.580000e+03 1.887250e-01
5.000000e+02 6.167000e+02 1.523000e+03 2.107145e-01
5.500000e+02 6.541000e+02 1.471000e+03 2.328632e-01
6.000000e+02 6.878000e+02 1.423000e+03 2.552040e-01
6.500000e+02 7.191000e+02 1.379000e+03 2.776283e-01
7.000000e+02 7.483000e+02 1.337000e+03 3.003225e-01
8.000000e+02 8.034000e+02 1.262000e+03 3.461293e-01
9.000000e+02 8.568000e+02 1.197000e+03 3.923583e-01
