# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 6.579000e+01 1.921000e+03 8.590111e-03
1.100000e+01 6.898000e+01 1.985000e+03 9.013878e-03
1.200000e+01 7.204000e+01 2.044000e+03 9.437690e-03
1.300000e+01 7.500000e+01 2.099000e+03 9.955903e-03
1.400000e+01 7.782000e+01 2.150000e+03 1.028543e-02
1.500000e+01 8.058000e+01 2.197000e+03 1.068925e-02
1.600000e+01 8.320000e+01 2.242000e+03 1.111306e-02
1.700000e+01 8.578000e+01 2.284000e+03 1.153690e-02
1.800000e+01 8.826000e+01 2.323000e+03 1.196077e-02
2.000000e+01 9.302000e+01 2.396000e+03 1.266846e-02
2.250000e+01 9.867000e+01 2.476000e+03 1.351629e-02
2.500000e+01 1.040000e+02 2.548000e+03 1.443918e-02
2.750000e+01 1.091000e+02 2.612000e+03 1.528692e-02
3.000000e+01 1.139000e+02 2.669000e+03 1.611521e-02
3.250000e+01 1.186000e+02 2.721000e+03 1.693842e-02
3.500000e+01 1.231000e+02 2.769000e+03 1.776682e-02
3.750000e+01 1.274000e+02 2.813000e+03 1.850027e-02
4.000000e+01 1.315000e+02 2.853000e+03 1.932382e-02
4.500000e+01 1.395000e+02 2.924000e+03 2.076680e-02
5.000000e+01 1.471000e+02 2.985000e+03 2.232420e-02
5.500000e+01 1.543000e+02 3.038000e+03 2.376763e-02
6.000000e+01 1.611000e+02 3.084000e+03 2.522974e-02
6.500000e+01 1.677000e+02 3.126000e+03 2.667339e-02
7.000000e+01 1.740000e+02 3.162000e+03 2.802160e-02
8.000000e+01 1.860000e+02 3.222000e+03 3.080941e-02
9.000000e+01 1.973000e+02 3.270000e+03 3.348388e-02
1.000000e+02 2.080000e+02 3.309000e+03 3.617665e-02
1.100000e+02 2.182000e+02 3.340000e+03 3.885177e-02
1.200000e+02 2.279000e+02 3.365000e+03 4.143115e-02
1.300000e+02 2.372000e+02 3.384000e+03 4.401068e-02
1.400000e+02 2.461000e+02 3.400000e+03 4.656920e-02
1.500000e+02 2.548000e+02 3.410000e+03 4.914906e-02
1.600000e+02 2.631000e+02 3.420000e+03 5.172901e-02
1.700000e+02 2.712000e+02 3.427000e+03 5.419197e-02
1.800000e+02 2.791000e+02 3.430000e+03 5.677209e-02
2.000000e+02 2.942000e+02 3.434000e+03 6.181561e-02
2.250000e+02 3.120000e+02 3.430000e+03 6.817103e-02
2.500000e+02 3.289000e+02 3.420000e+03 7.443077e-02
2.750000e+02 3.451000e+02 3.403000e+03 8.070750e-02
3.000000e+02 3.760000e+02 3.385000e+03 8.706480e-02
3.250000e+02 4.039000e+02 3.363000e+03 9.332583e-02
3.500000e+02 4.274000e+02 3.340000e+03 9.956792e-02
3.750000e+02 4.481000e+02 3.315000e+03 1.059264e-01
4.000000e+02 4.661000e+02 3.290000e+03 1.121536e-01
4.500000e+02 4.981000e+02 3.237000e+03 1.248533e-01
5.000000e+02 5.263000e+02 3.183000e+03 1.376356e-01
5.500000e+02 5.525000e+02 3.129000e+03 1.505314e-01
6.000000e+02 5.780000e+02 3.076000e+03 1.634917e-01
6.500000e+02 6.025000e+02 3.023000e+03 1.766806e-01
7.000000e+02 6.273000e+02 2.972000e+03 1.898375e-01
8.000000e+02 6.759000e+02 2.874000e+03 2.165756e-01
9.000000e+02 7.242000e+02 2.782000e+03 2.437862e-01
1.000000e+03 7.728000e+02 2.696000e+03 2.712777e-01
1.100000e+03 8.207000e+02 2.615000e+03 2.990622e-01
1.200000e+03 8.683000e+02 2.539000e+03 3.271420e-01
1.300000e+03 9.159000e+02 2.469000e+03 3.554031e-01
1.400000e+03 9.625000e+02 2.402000e+03 3.839439e-01
1.500000e+03 1.009000e+03 2.340000e+03 4.125849e-01
1.600000e+03 1.055000e+03 2.281000e+03 4.414235e-01
1.700000e+03 1.100000e+03 2.226000e+03 4.704291e-01
1.800000e+03 1.144000e+03 2.174000e+03 4.994388e-01
2.000000e+03 1.231000e+03 2.077000e+03 5.577407e-01
2.250000e+03 1.337000e+03 1.970000e+03 6.309073e-01
2.500000e+03 1.438000e+03 1.875000e+03 7.039985e-01
2.750000e+03 1.538000e+03 1.790000e+03 7.769334e-01
3.000000e+03 1.634000e+03 1.714000e+03 8.496134e-01
3.250000e+03 1.728000e+03 1.645000e+03 9.218438e-01
3.500000e+03 1.820000e+03 1.583000e+03 9.935139e-01
