# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 7.099000e+01 5.249000e+02 1.574484e-02
1.100000e+01 7.446000e+01 5.243000e+02 1.714468e-02
1.200000e+01 7.776000e+01 5.229000e+02 1.838722e-02
1.300000e+01 8.095000e+01 5.212000e+02 1.974538e-02
1.400000e+01 8.401000e+01 5.192000e+02 2.107463e-02
1.500000e+01 8.694000e+01 5.164000e+02 2.243323e-02
1.600000e+01 8.979000e+01 5.137000e+02 2.376321e-02
1.700000e+01 9.255000e+01 5.110000e+02 2.512210e-02
1.800000e+01 9.523000e+01 5.079000e+02 2.645260e-02
2.000000e+01 1.004000e+02 5.015000e+02 2.914258e-02
2.250000e+01 1.065000e+02 4.930000e+02 3.255242e-02
2.500000e+01 1.122000e+02 4.848000e+02 3.599139e-02
2.750000e+01 1.177000e+02 4.763000e+02 3.944287e-02
3.000000e+01 1.229000e+02 4.682000e+02 4.294438e-02
3.250000e+01 1.280000e+02 4.600000e+02 4.647376e-02
3.500000e+01 1.328000e+02 4.522000e+02 4.997729e-02
3.750000e+01 1.375000e+02 4.444000e+02 5.359673e-02
4.000000e+01 1.420000e+02 4.369000e+02 5.719073e-02
4.500000e+01 1.506000e+02 4.229000e+02 6.449620e-02
5.000000e+01 1.641000e+02 4.097000e+02 7.191912e-02
5.500000e+01 1.819000e+02 3.974000e+02 7.919261e-02
6.000000e+01 1.958000e+02 3.859000e+02 8.654773e-02
6.500000e+01 2.071000e+02 3.750000e+02 9.384503e-02
7.000000e+01 2.163000e+02 3.648000e+02 1.011452e-01
8.000000e+01 2.309000e+02 3.464000e+02 1.159336e-01
9.000000e+01 2.427000e+02 3.302000e+02 1.309695e-01
1.000000e+02 2.531000e+02 3.155000e+02 1.461959e-01
1.100000e+02 2.630000e+02 3.023000e+02 1.615801e-01
1.200000e+02 2.727000e+02 2.904000e+02 1.770997e-01
1.300000e+02 2.826000e+02 2.795000e+02 1.925955e-01
1.400000e+02 2.926000e+02 2.695000e+02 2.083058e-01
1.500000e+02 3.028000e+02 2.604000e+02 2.240314e-01
1.600000e+02 3.133000e+02 2.520000e+02 2.396414e-01
1.700000e+02 3.241000e+02 2.441000e+02 2.553503e-01
1.800000e+02 3.351000e+02 2.369000e+02 2.708915e-01
2.000000e+02 3.577000e+02 2.237000e+02 3.018688e-01
2.250000e+02 3.872000e+02 2.096000e+02 3.398610e-01
2.500000e+02 4.178000e+02 1.973000e+02 3.769322e-01
2.750000e+02 4.488000e+02 1.867000e+02 4.130559e-01
3.000000e+02 4.804000e+02 1.772000e+02 4.481181e-01
3.250000e+02 5.120000e+02 1.689000e+02 4.820957e-01
3.500000e+02 5.440000e+02 1.614000e+02 5.150608e-01
3.750000e+02 5.759000e+02 1.546000e+02 5.469395e-01
4.000000e+02 6.076000e+02 1.484000e+02 5.778266e-01
4.500000e+02 6.711000e+02 1.377000e+02 6.368297e-01
5.000000e+02 7.337000e+02 1.286000e+02 6.922785e-01
5.500000e+02 7.952000e+02 1.207000e+02 7.445785e-01
6.000000e+02 8.558000e+02 1.139000e+02 7.941097e-01
6.500000e+02 9.153000e+02 1.079000e+02 8.412355e-01
7.000000e+02 9.734000e+02 1.026000e+02 8.859723e-01
8.000000e+02 1.087000e+03 9.353000e+01 9.697976e-01
9.000000e+02 1.195000e+03 8.612000e+01 1.051163e+00
1.000000e+03 1.300000e+03 7.990000e+01 1.121211e+00
1.100000e+03 1.401000e+03 7.463000e+01 1.181307e+00
1.200000e+03 1.498000e+03 7.007000e+01 1.250952e+00
1.300000e+03 1.592000e+03 6.609000e+01 1.310761e+00
1.400000e+03 1.683000e+03 6.259000e+01 1.360702e+00
1.500000e+03 1.770000e+03 5.946000e+01 1.420333e+00
1.600000e+03 1.855000e+03 5.668000e+01 1.470125e+00
1.700000e+03 1.937000e+03 5.419000e+01 1.519860e+00
1.800000e+03 2.017000e+03 5.192000e+01 1.569576e+00
2.000000e+03 2.169000e+03 4.794000e+01 1.659110e+00
2.250000e+03 2.346000e+03 4.382000e+01 1.768454e+00
2.500000e+03 2.511000e+03 4.042000e+01 1.867873e+00
2.750000e+03 2.663000e+03 3.753000e+01 1.957398e+00
3.000000e+03 2.805000e+03 3.509000e+01 2.046849e+00
3.250000e+03 2.936000e+03 3.297000e+01 2.126421e+00
3.500000e+03 3.057000e+03 3.110000e+01 2.215857e+00
3.750000e+03 3.169000e+03 2.946000e+01 2.285500e+00
4.000000e+03 3.273000e+03 2.799000e+01 2.365029e+00
4.500000e+03 3.458000e+03 2.549000e+01 2.514234e+00
5.000000e+03 3.614000e+03 2.343000e+01 2.653540e+00
5.500000e+03 3.747000e+03 2.170000e+01 2.782948e+00
6.000000e+03 3.859000e+03 2.023000e+01 2.912353e+00
6.500000e+03 3.951000e+03 1.896000e+01 3.041777e+00
7.000000e+03 4.032000e+03 1.786000e+01 3.161285e+00
8.000000e+03 4.155000e+03 1.601000e+01 3.400444e+00
9.000000e+03 4.243000e+03 1.454000e+01 3.639657e+00
