# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 7.776000e+01 1.209000e+03 9.725225e-03
1.100000e+01 8.153000e+01 1.230000e+03 1.038749e-02
1.200000e+01 8.517000e+01 1.248000e+03 1.102406e-02
1.300000e+01 8.864000e+01 1.263000e+03 1.168632e-02
1.400000e+01 9.200000e+01 1.277000e+03 1.232315e-02
1.500000e+01 9.523000e+01 1.290000e+03 1.289457e-02
1.600000e+01 9.836000e+01 1.300000e+03 1.353144e-02
1.700000e+01 1.014000e+02 1.310000e+03 1.416863e-02
1.800000e+01 1.043000e+02 1.318000e+03 1.470680e-02
2.000000e+01 1.100000e+02 1.333000e+03 1.598155e-02
2.250000e+01 1.166000e+02 1.347000e+03 1.748857e-02
2.500000e+01 1.229000e+02 1.357000e+03 1.887988e-02
2.750000e+01 1.289000e+02 1.364000e+03 2.039485e-02
3.000000e+01 1.347000e+02 1.369000e+03 2.187830e-02
3.250000e+01 1.402000e+02 1.372000e+03 2.327015e-02
3.500000e+01 1.454000e+02 1.374000e+03 2.475419e-02
3.750000e+01 1.506000e+02 1.375000e+03 2.623852e-02
4.000000e+01 1.555000e+02 1.374000e+03 2.763078e-02
4.500000e+01 1.649000e+02 1.371000e+03 3.050787e-02
5.000000e+01 1.739000e+02 1.365000e+03 3.338533e-02
5.500000e+01 1.823000e+02 1.357000e+03 3.633332e-02
6.000000e+01 1.905000e+02 1.348000e+03 3.918176e-02
6.500000e+01 1.982000e+02 1.339000e+03 4.206019e-02
7.000000e+01 2.057000e+02 1.328000e+03 4.500989e-02
8.000000e+01 2.199000e+02 1.307000e+03 5.081004e-02
9.000000e+01 2.333000e+02 1.284000e+03 5.670485e-02
1.000000e+02 2.459000e+02 1.261000e+03 6.269442e-02
1.100000e+02 2.581000e+02 1.238000e+03 6.868508e-02
1.200000e+02 2.868000e+02 1.216000e+03 7.477045e-02
1.300000e+02 3.096000e+02 1.194000e+03 8.076268e-02
1.400000e+02 3.280000e+02 1.173000e+03 8.682223e-02
1.500000e+02 3.434000e+02 1.152000e+03 9.288278e-02
1.600000e+02 3.563000e+02 1.133000e+03 9.906513e-02
1.700000e+02 3.679000e+02 1.113000e+03 1.051270e-01
1.800000e+02 3.784000e+02 1.095000e+03 1.113784e-01
2.000000e+02 3.971000e+02 1.059000e+03 1.238638e-01
2.250000e+02 4.185000e+02 1.019000e+03 1.396719e-01
2.500000e+02 4.393000e+02 9.819000e+02 1.557494e-01
