# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 7.167000e+01 1.707000e+03 8.594184e-03
1.100000e+01 7.517000e+01 1.754000e+03 9.047099e-03
1.200000e+01 7.850000e+01 1.797000e+03 9.563472e-03
1.300000e+01 8.170000e+01 1.836000e+03 9.986992e-03
1.400000e+01 8.479000e+01 1.872000e+03 1.050381e-02
1.500000e+01 8.779000e+01 1.906000e+03 1.092749e-02
1.600000e+01 9.064000e+01 1.936000e+03 1.135121e-02
1.700000e+01 9.343000e+01 1.965000e+03 1.180339e-02
1.800000e+01 9.615000e+01 1.992000e+03 1.222702e-02
2.000000e+01 1.014000e+02 2.040000e+03 1.307440e-02
2.250000e+01 1.075000e+02 2.092000e+03 1.410886e-02
2.500000e+01 1.133000e+02 2.137000e+03 1.514398e-02
2.750000e+01 1.189000e+02 2.177000e+03 1.609130e-02
3.000000e+01 1.241000e+02 2.211000e+03 1.712688e-02
3.250000e+01 1.292000e+02 2.242000e+03 1.806876e-02
3.500000e+01 1.341000e+02 2.268000e+03 1.903733e-02
3.750000e+01 1.388000e+02 2.293000e+03 1.997924e-02
4.000000e+01 1.433000e+02 2.314000e+03 2.090048e-02
4.500000e+01 1.520000e+02 2.350000e+03 2.269053e-02
5.000000e+01 1.602000e+02 2.380000e+03 2.446017e-02
5.500000e+01 1.681000e+02 2.404000e+03 2.632470e-02
6.000000e+01 1.755000e+02 2.423000e+03 2.802053e-02
6.500000e+01 1.827000e+02 2.439000e+03 2.979077e-02
7.000000e+01 1.896000e+02 2.451000e+03 3.156121e-02
8.000000e+01 2.027000e+02 2.469000e+03 3.498300e-02
9.000000e+01 2.150000e+02 2.479000e+03 3.842994e-02
1.000000e+02 2.266000e+02 2.484000e+03 4.185284e-02
1.100000e+02 2.377000e+02 2.484000e+03 4.527626e-02
1.200000e+02 2.483000e+02 2.480000e+03 4.858580e-02
1.300000e+02 2.584000e+02 2.474000e+03 5.201000e-02
1.400000e+02 2.682000e+02 2.467000e+03 5.543447e-02
1.500000e+02 2.776000e+02 2.457000e+03 5.874504e-02
1.600000e+02 2.867000e+02 2.447000e+03 6.216993e-02
1.700000e+02 2.955000e+02 2.435000e+03 6.557660e-02
1.800000e+02 3.041000e+02 2.422000e+03 6.900181e-02
2.000000e+02 3.313000e+02 2.395000e+03 7.581642e-02
2.250000e+02 3.940000e+02 2.360000e+03 8.430350e-02
2.500000e+02 4.321000e+02 2.323000e+03 9.275155e-02
2.750000e+02 4.569000e+02 2.286000e+03 1.012968e-01
3.000000e+02 4.743000e+02 2.249000e+03 1.098605e-01
3.250000e+02 4.886000e+02 2.213000e+03 1.185037e-01
3.500000e+02 5.015000e+02 2.177000e+03 1.272441e-01
3.750000e+02 5.144000e+02 2.142000e+03 1.360815e-01
4.000000e+02 5.280000e+02 2.109000e+03 1.449197e-01
4.500000e+02 5.576000e+02 2.044000e+03 1.629840e-01
5.000000e+02 5.906000e+02 1.982000e+03 1.812438e-01
5.500000e+02 6.263000e+02 1.925000e+03 1.996992e-01
6.000000e+02 6.640000e+02 1.871000e+03 2.183108e-01
6.500000e+02 7.028000e+02 1.821000e+03 2.370568e-01
7.000000e+02 7.419000e+02 1.773000e+03 2.558666e-01
8.000000e+02 8.197000e+02 1.686000e+03 2.937638e-01
9.000000e+02 8.955000e+02 1.609000e+03 3.318252e-01
1.000000e+03 9.683000e+02 1.539000e+03 3.698567e-01
1.100000e+03 1.037000e+03 1.476000e+03 4.079089e-01
1.200000e+03 1.102000e+03 1.419000e+03 4.458676e-01
1.300000e+03 1.164000e+03 1.367000e+03 4.837687e-01
1.400000e+03 1.223000e+03 1.319000e+03 5.215447e-01
1.500000e+03 1.279000e+03 1.275000e+03 5.591816e-01
1.600000e+03 1.333000e+03 1.234000e+03 5.966960e-01
1.700000e+03 1.385000e+03 1.196000e+03 6.340723e-01
1.800000e+03 1.435000e+03 1.161000e+03 6.712287e-01
2.000000e+03 1.531000e+03 1.098000e+03 7.449239e-01
2.250000e+03 1.646000e+03 1.029000e+03 8.359530e-01
2.500000e+03 1.758000e+03 9.697000e+02 9.254498e-01
2.750000e+03 1.867000e+03 9.176000e+02 1.013234e+00
3.000000e+03 1.976000e+03 8.717000e+02 1.098941e+00
3.250000e+03 2.084000e+03 8.309000e+02 1.179620e+00
3.500000e+03 2.194000e+03 7.946000e+02 1.270040e+00
3.750000e+03 2.304000e+03 7.612000e+02 1.350539e+00
4.000000e+03 2.415000e+03 7.313000e+02 1.421103e+00
4.500000e+03 2.638000e+03 6.786000e+02 1.571894e+00
5.000000e+03 2.865000e+03 6.341000e+02 1.722432e+00
5.500000e+03 3.094000e+03 5.957000e+02 1.852985e+00
6.000000e+03 3.323000e+03 5.620000e+02 1.983349e+00
6.500000e+03 3.549000e+03 5.328000e+02 2.103665e+00
7.000000e+03 3.777000e+03 5.066000e+02 2.223859e+00
8.000000e+03 4.223000e+03 4.620000e+02 2.444213e+00
9.000000e+03 4.654000e+03 4.257000e+02 2.644407e+00
1.000000e+04 5.066000e+03 3.951000e+02 2.834455e+00
1.100000e+04 5.460000e+03 3.689000e+02 3.004490e+00
1.200000e+04 5.834000e+03 3.464000e+02 3.174368e+00
1.300000e+04 6.184000e+03 3.270000e+02 3.324304e+00
1.400000e+04 6.518000e+03 3.098000e+02 3.474158e+00
1.500000e+04 6.834000e+03 2.944000e+02 3.614024e+00
1.600000e+04 7.130000e+03 2.807000e+02 3.753833e+00
1.700000e+04 7.408000e+03 2.683000e+02 3.883664e+00
1.800000e+04 7.670000e+03 2.570000e+02 4.013467e+00
2.000000e+04 8.153000e+03 2.374000e+02 4.253190e+00
2.250000e+04 8.687000e+03 2.171000e+02 4.542823e+00
2.500000e+04 9.156000e+03 2.003000e+02 4.812467e+00
2.750000e+04 9.574000e+03 1.861000e+02 5.072111e+00
3.000000e+04 9.952000e+03 1.740000e+02 5.321748e+00
3.250000e+04 1.029000e+04 1.634000e+02 5.561403e+00
3.500000e+04 1.061000e+04 1.542000e+02 5.801052e+00
3.750000e+04 1.090000e+04 1.461000e+02 6.030721e+00
4.000000e+04 1.118000e+04 1.389000e+02 6.250419e+00
4.500000e+04 1.168000e+04 1.265000e+02 6.679970e+00
5.000000e+04 1.214000e+04 1.163000e+02 7.099528e+00
5.500000e+04 1.256000e+04 1.077000e+02 7.499120e+00
6.000000e+04 1.294000e+04 1.004000e+02 7.878758e+00
6.500000e+04 1.329000e+04 9.414000e+01 8.258390e+00
7.000000e+04 1.363000e+04 8.864000e+01 8.628046e+00
8.000000e+04 1.422000e+04 7.952000e+01 9.337694e+00
9.000000e+04 1.475000e+04 7.221000e+01 1.002735e+01
1.000000e+05 1.521000e+04 6.620000e+01 1.068702e+01
