# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 1.266000e+02 2.268000e+02 2.415305e-02
1.100000e+01 1.328000e+02 2.231000e+02 2.633496e-02
1.200000e+01 1.387000e+02 2.195000e+02 2.847385e-02
1.300000e+01 1.444000e+02 2.159000e+02 3.061389e-02
1.400000e+01 1.499000e+02 2.124000e+02 3.275485e-02
1.500000e+01 1.551000e+02 2.090000e+02 3.489656e-02
1.600000e+01 1.602000e+02 2.056000e+02 3.703890e-02
1.700000e+01 1.651000e+02 2.024000e+02 3.926729e-02
1.800000e+01 1.699000e+02 1.993000e+02 4.136931e-02
2.000000e+01 1.791000e+02 1.933000e+02 4.570295e-02
2.250000e+01 1.900000e+02 1.864000e+02 5.099843e-02
2.500000e+01 2.003000e+02 1.800000e+02 5.634519e-02
2.750000e+01 2.100000e+02 1.740000e+02 6.169635e-02
3.000000e+01 2.227000e+02 1.685000e+02 6.692503e-02
3.250000e+01 2.355000e+02 1.635000e+02 7.209064e-02
3.500000e+01 2.474000e+02 1.587000e+02 7.717156e-02
3.750000e+01 2.584000e+02 1.543000e+02 8.221879e-02
4.000000e+01 2.684000e+02 1.501000e+02 8.726907e-02
4.500000e+01 2.863000e+02 1.426000e+02 9.716193e-02
5.000000e+01 3.018000e+02 1.359000e+02 1.069076e-01
5.500000e+01 3.153000e+02 1.299000e+02 1.164856e-01
6.000000e+01 3.273000e+02 1.245000e+02 1.259501e-01
6.500000e+01 3.381000e+02 1.196000e+02 1.354872e-01
7.000000e+01 3.481000e+02 1.151000e+02 1.447609e-01
8.000000e+01 3.658000e+02 1.073000e+02 1.633626e-01
9.000000e+01 3.815000e+02 1.006000e+02 1.817654e-01
1.000000e+02 3.964000e+02 9.482000e+01 1.999262e-01
1.100000e+02 4.104000e+02 8.976000e+01 2.179090e-01
1.200000e+02 4.243000e+02 8.530000e+01 2.355575e-01
1.300000e+02 4.379000e+02 8.133000e+01 2.530290e-01
1.400000e+02 4.518000e+02 7.776000e+01 2.702835e-01
1.500000e+02 4.658000e+02 7.453000e+01 2.871968e-01
1.600000e+02 4.797000e+02 7.160000e+01 3.038903e-01
1.700000e+02 4.940000e+02 6.895000e+01 3.202653e-01
1.800000e+02 5.083000e+02 6.647000e+01 3.363952e-01
2.000000e+02 5.372000e+02 6.212000e+01 3.676991e-01
2.250000e+02 5.739000e+02 5.753000e+01 4.053084e-01
2.500000e+02 6.113000e+02 5.365000e+01 4.411328e-01
2.750000e+02 6.487000e+02 5.028000e+01 4.753784e-01
3.000000e+02 6.861000e+02 4.739000e+01 5.081759e-01
3.250000e+02 7.232000e+02 4.488000e+01 5.395027e-01
3.500000e+02 7.599000e+02 4.260000e+01 5.695869e-01
3.750000e+02 7.963000e+02 4.059000e+01 5.984605e-01
4.000000e+02 8.316000e+02 3.879000e+01 6.262982e-01
4.500000e+02 9.010000e+02 3.566000e+01 6.790038e-01
5.000000e+02 9.673000e+02 3.306000e+01 7.283762e-01
5.500000e+02 1.031000e+03 3.084000e+01 7.750041e-01
6.000000e+02 1.090000e+03 2.894000e+01 8.191064e-01
6.500000e+02 1.147000e+03 2.727000e+01 8.611684e-01
7.000000e+02 1.202000e+03 2.581000e+01 9.014383e-01
8.000000e+02 1.302000e+03 2.335000e+01 9.774646e-01
9.000000e+02 1.392000e+03 2.136000e+01 1.047978e+00
1.000000e+03 1.473000e+03 1.971000e+01 1.117651e+00
1.100000e+03 1.546000e+03 1.832000e+01 1.177417e+00
1.200000e+03 1.612000e+03 1.712000e+01 1.237160e+00
1.300000e+03 1.672000e+03 1.609000e+01 1.296877e+00
1.400000e+03 1.727000e+03 1.518000e+01 1.356582e+00
1.500000e+03 1.777000e+03 1.438000e+01 1.416274e+00
1.600000e+03 1.822000e+03 1.367000e+01 1.466084e+00
1.700000e+03 1.864000e+03 1.303000e+01 1.515879e+00
1.800000e+03 1.902000e+03 1.246000e+01 1.575561e+00
2.000000e+03 1.970000e+03 1.145000e+01 1.675182e+00
2.250000e+03 2.039000e+03 1.042000e+01 1.794779e+00
2.500000e+03 2.095000e+03 9.578000e+00 1.914351e+00
2.750000e+03 2.140000e+03 8.867000e+00 2.033956e+00
3.000000e+03 2.177000e+03 8.262000e+00 2.143635e+00
3.250000e+03 2.206000e+03 7.738000e+00 2.263269e+00
3.500000e+03 2.229000e+03 7.286000e+00 2.372975e+00
3.750000e+03 2.248000e+03 6.885000e+00 2.482695e+00
4.000000e+03 2.262000e+03 6.528000e+00 2.592431e+00
4.500000e+03 2.281000e+03 5.923000e+00 2.812027e+00
5.000000e+03 2.290000e+03 5.430000e+00 3.021696e+00
5.500000e+03 2.293000e+03 5.015000e+00 3.241359e+00
6.000000e+03 2.290000e+03 4.665000e+00 3.461058e+00
6.500000e+03 2.284000e+03 4.362000e+00 3.680783e+00
7.000000e+03 2.275000e+03 4.100000e+00 3.900541e+00
8.000000e+03 2.252000e+03 3.665000e+00 4.340340e+00
9.000000e+03 2.223000e+03 3.318000e+00 4.780177e+00
1.000000e+04 2.191000e+03 3.035000e+00 5.230039e+00
1.100000e+04 2.158000e+03 2.799000e+00 5.689910e+00
1.200000e+04 2.123000e+03 2.599000e+00 6.159803e+00
1.300000e+04 2.089000e+03 2.427000e+00 6.629727e+00
1.400000e+04 2.054000e+03 2.278000e+00 7.109657e+00
1.500000e+04 2.020000e+03 2.148000e+00 7.599603e+00
1.600000e+04 1.987000e+03 2.032000e+00 8.099558e+00
1.700000e+04 1.954000e+03 1.929000e+00 8.609523e+00
1.800000e+04 1.922000e+03 1.836000e+00 9.119505e+00
2.000000e+04 1.860000e+03 1.677000e+00 1.018003e+01
2.250000e+04 1.787000e+03 1.515000e+00 1.155096e+01
2.500000e+04 1.719000e+03 1.383000e+00 1.297180e+01
2.750000e+04 1.655000e+03 1.273000e+00 1.445256e+01
3.000000e+04 1.603000e+03 1.180000e+00 1.599327e+01
3.250000e+04 1.547000e+03 1.101000e+00 1.757394e+01
3.500000e+04 1.490000e+03 1.032000e+00 1.922458e+01
3.750000e+04 1.439000e+03 9.714000e-01 2.092521e+01
4.000000e+04 1.392000e+03 9.180000e-01 2.269582e+01
4.500000e+04 1.307000e+03 8.282000e-01 2.639961e+01
5.000000e+04 1.232000e+03 7.548000e-01 3.032432e+01
5.500000e+04 1.165000e+03 6.943000e-01 3.449446e+01
6.000000e+04 1.106000e+03 6.429000e-01 3.889462e+01
6.500000e+04 1.053000e+03 5.991000e-01 4.352481e+01
7.000000e+04 1.005000e+03 5.613000e-01 4.838501e+01
8.000000e+04 9.207000e+02 4.988000e-01 5.877546e+01
9.000000e+04 8.507000e+02 4.495000e-01 7.007598e+01
1.000000e+05 7.908000e+02 4.093000e-01 8.226000e+01
