# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 8.952000e+01 4.042000e+02 1.819148e-02
1.100000e+01 9.391000e+01 4.019000e+02 1.976082e-02
1.200000e+01 9.809000e+01 3.988000e+02 2.136118e-02
1.300000e+01 1.021000e+02 3.957000e+02 2.293164e-02
1.400000e+01 1.059000e+02 3.923000e+02 2.450265e-02
1.500000e+01 1.096000e+02 3.889000e+02 2.607413e-02
1.600000e+01 1.133000e+02 3.855000e+02 2.771714e-02
1.700000e+01 1.167000e+02 3.821000e+02 2.937499e-02
1.800000e+01 1.201000e+02 3.787000e+02 3.094721e-02
2.000000e+01 1.266000e+02 3.716000e+02 3.413810e-02
2.250000e+01 1.343000e+02 3.628000e+02 3.827349e-02
2.500000e+01 1.416000e+02 3.546000e+02 4.238184e-02
2.750000e+01 1.485000e+02 3.464000e+02 4.645202e-02
3.000000e+01 1.551000e+02 3.387000e+02 5.063931e-02
3.250000e+01 1.614000e+02 3.313000e+02 5.480055e-02
3.500000e+01 1.675000e+02 3.241000e+02 5.896321e-02
3.750000e+01 1.734000e+02 3.174000e+02 6.324255e-02
4.000000e+01 1.791000e+02 3.109000e+02 6.740727e-02
4.500000e+01 2.106000e+02 2.988000e+02 7.578060e-02
5.000000e+01 2.350000e+02 2.877000e+02 8.390697e-02
5.500000e+01 2.542000e+02 2.776000e+02 9.185042e-02
6.000000e+01 2.695000e+02 2.682000e+02 9.979890e-02
6.500000e+01 2.821000e+02 2.596000e+02 1.076006e-01
7.000000e+01 2.927000e+02 2.516000e+02 1.154706e-01
8.000000e+01 3.100000e+02 2.372000e+02 1.311815e-01
9.000000e+01 3.242000e+02 2.247000e+02 1.469140e-01
1.000000e+02 3.367000e+02 2.136000e+02 1.627547e-01
1.100000e+02 3.485000e+02 2.037000e+02 1.785782e-01
1.200000e+02 3.597000e+02 1.949000e+02 1.944510e-01
1.300000e+02 3.713000e+02 1.869000e+02 2.102815e-01
1.400000e+02 3.828000e+02 1.797000e+02 2.260649e-01
1.500000e+02 3.944000e+02 1.730000e+02 2.418304e-01
1.600000e+02 4.066000e+02 1.670000e+02 2.574651e-01
1.700000e+02 4.189000e+02 1.614000e+02 2.729566e-01
1.800000e+02 4.314000e+02 1.562000e+02 2.883173e-01
2.000000e+02 4.576000e+02 1.469000e+02 3.186075e-01
2.250000e+02 4.913000e+02 1.370000e+02 3.553298e-01
2.500000e+02 5.260000e+02 1.285000e+02 3.908194e-01
2.750000e+02 5.617000e+02 1.212000e+02 4.250222e-01
3.000000e+02 5.977000e+02 1.147000e+02 4.578919e-01
3.250000e+02 6.337000e+02 1.090000e+02 4.895902e-01
3.500000e+02 6.698000e+02 1.039000e+02 5.200724e-01
3.750000e+02 7.058000e+02 9.935000e+01 5.494417e-01
4.000000e+02 7.412000e+02 9.523000e+01 5.778260e-01
4.500000e+02 8.112000e+02 8.802000e+01 6.317002e-01
5.000000e+02 8.792000e+02 8.194000e+01 6.822064e-01
5.500000e+02 9.452000e+02 7.677000e+01 7.297044e-01
6.000000e+02 1.008000e+03 7.228000e+01 7.747430e-01
