# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 1.196000e+02 2.844000e+02 2.154298e-02
1.100000e+01 1.254000e+02 2.809000e+02 2.338568e-02
1.200000e+01 1.310000e+02 2.773000e+02 2.532528e-02
1.300000e+01 1.363000e+02 2.736000e+02 2.722242e-02
1.400000e+01 1.415000e+02 2.700000e+02 2.912061e-02
1.500000e+01 1.465000e+02 2.663000e+02 3.105012e-02
1.600000e+01 1.513000e+02 2.628000e+02 3.294966e-02
1.700000e+01 1.559000e+02 2.593000e+02 3.484982e-02
1.800000e+01 1.604000e+02 2.559000e+02 3.675051e-02
2.000000e+01 1.691000e+02 2.493000e+02 4.063951e-02
2.250000e+01 1.794000e+02 2.415000e+02 4.539262e-02
2.500000e+01 1.891000e+02 2.342000e+02 5.020687e-02
2.750000e+01 1.983000e+02 2.273000e+02 5.505307e-02
3.000000e+01 2.071000e+02 2.209000e+02 5.974663e-02
3.250000e+01 2.160000e+02 2.149000e+02 6.453069e-02
3.500000e+01 2.257000e+02 2.092000e+02 6.931710e-02
3.750000e+01 2.345000e+02 2.039000e+02 7.406848e-02
4.000000e+01 2.427000e+02 1.989000e+02 7.882220e-02
4.500000e+01 2.573000e+02 1.896000e+02 8.823667e-02
5.000000e+01 2.703000e+02 1.814000e+02 9.757013e-02
5.500000e+01 2.823000e+02 1.740000e+02 1.069387e-01
6.000000e+01 2.935000e+02 1.672000e+02 1.161301e-01
6.500000e+01 3.042000e+02 1.611000e+02 1.254457e-01
7.000000e+01 3.145000e+02 1.554000e+02 1.346180e-01
8.000000e+01 3.338000e+02 1.454000e+02 1.528652e-01
9.000000e+01 3.519000e+02 1.368000e+02 1.708331e-01
1.000000e+02 3.692000e+02 1.293000e+02 1.886188e-01
1.100000e+02 3.859000e+02 1.228000e+02 2.061506e-01
1.200000e+02 4.015000e+02 1.169000e+02 2.234122e-01
1.300000e+02 4.168000e+02 1.117000e+02 2.404202e-01
1.400000e+02 4.318000e+02 1.070000e+02 2.571815e-01
