# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 6.892000e+01 1.746000e+03 8.501176e-03
1.100000e+01 7.228000e+01 1.796000e+03 9.017760e-03
1.200000e+01 7.548000e+01 1.841000e+03 9.470480e-03
1.300000e+01 7.857000e+01 1.883000e+03 9.986992e-03
1.400000e+01 8.153000e+01 1.921000e+03 1.041057e-02
1.500000e+01 8.439000e+01 1.956000e+03 1.083421e-02
1.600000e+01 8.717000e+01 1.989000e+03 1.125789e-02
1.700000e+01 8.986000e+01 2.019000e+03 1.165976e-02
1.800000e+01 9.244000e+01 2.048000e+03 1.208346e-02
2.000000e+01 9.744000e+01 2.099000e+03 1.293097e-02
2.250000e+01 1.034000e+02 2.156000e+03 1.396603e-02
2.500000e+01 1.090000e+02 2.204000e+03 1.493486e-02
2.750000e+01 1.143000e+02 2.247000e+03 1.597028e-02
3.000000e+01 1.193000e+02 2.284000e+03 1.689112e-02
3.250000e+01 1.242000e+02 2.318000e+03 1.773894e-02
3.500000e+01 1.289000e+02 2.347000e+03 1.868101e-02
3.750000e+01 1.334000e+02 2.374000e+03 1.962320e-02
4.000000e+01 1.378000e+02 2.398000e+03 2.054483e-02
4.500000e+01 1.462000e+02 2.439000e+03 2.233517e-02
5.000000e+01 1.541000e+02 2.472000e+03 2.401062e-02
5.500000e+01 1.616000e+02 2.500000e+03 2.578081e-02
6.000000e+01 1.688000e+02 2.522000e+03 2.745651e-02
6.500000e+01 1.757000e+02 2.541000e+03 2.922704e-02
7.000000e+01 1.823000e+02 2.557000e+03 3.087815e-02
8.000000e+01 1.949000e+02 2.580000e+03 3.420570e-02
9.000000e+01 2.067000e+02 2.594000e+03 3.743862e-02
1.000000e+02 2.179000e+02 2.602000e+03 4.074764e-02
1.100000e+02 2.285000e+02 2.606000e+03 4.398102e-02
1.200000e+02 2.387000e+02 2.606000e+03 4.729091e-02
1.300000e+02 2.485000e+02 2.603000e+03 5.052455e-02
1.400000e+02 2.578000e+02 2.597000e+03 5.381189e-02
1.500000e+02 2.669000e+02 2.590000e+03 5.702727e-02
1.600000e+02 2.756000e+02 2.581000e+03 6.026118e-02
1.700000e+02 2.841000e+02 2.571000e+03 6.354967e-02
1.800000e+02 2.924000e+02 2.560000e+03 6.676549e-02
2.000000e+02 3.082000e+02 2.536000e+03 7.338454e-02
2.250000e+02 3.777000e+02 2.504000e+03 8.152668e-02
2.500000e+02 4.260000e+02 2.469000e+03 8.956975e-02
2.750000e+02 4.552000e+02 2.434000e+03 9.773137e-02
3.000000e+02 4.739000e+02 2.398000e+03 1.058548e-01
3.250000e+02 4.872000e+02 2.362000e+03 1.139792e-01
3.500000e+02 4.984000e+02 2.327000e+03 1.223139e-01
3.750000e+02 5.090000e+02 2.293000e+03 1.306324e-01
4.000000e+02 5.198000e+02 2.259000e+03 1.390481e-01
4.500000e+02 5.443000e+02 2.194000e+03 1.561876e-01
5.000000e+02 5.732000e+02 2.132000e+03 1.735425e-01
5.500000e+02 6.059000e+02 2.074000e+03 1.911532e-01
6.000000e+02 6.416000e+02 2.019000e+03 2.088593e-01
6.500000e+02 6.790000e+02 1.967000e+03 2.267611e-01
7.000000e+02 7.174000e+02 1.918000e+03 2.447616e-01
8.000000e+02 7.956000e+02 1.828000e+03 2.809425e-01
9.000000e+02 8.728000e+02 1.747000e+03 3.172713e-01
1.000000e+03 9.469000e+02 1.674000e+03 3.536669e-01
1.100000e+03 1.017000e+03 1.608000e+03 3.901299e-01
1.200000e+03 1.084000e+03 1.547000e+03 4.265490e-01
1.300000e+03 1.147000e+03 1.492000e+03 4.628275e-01
1.400000e+03 1.206000e+03 1.442000e+03 4.990946e-01
1.500000e+03 1.263000e+03 1.395000e+03 5.352220e-01
1.600000e+03 1.316000e+03 1.351000e+03 5.713239e-01
1.700000e+03 1.368000e+03 1.311000e+03 6.073014e-01
1.800000e+03 1.417000e+03 1.274000e+03 6.430737e-01
2.000000e+03 1.510000e+03 1.206000e+03 7.143610e-01
2.250000e+03 1.620000e+03 1.131000e+03 8.026862e-01
2.500000e+03 1.725000e+03 1.068000e+03 8.898827e-01
2.750000e+03 1.828000e+03 1.011000e+03 9.757994e-01
3.000000e+03 1.929000e+03 9.618000e+02 1.058457e+00
3.250000e+03 2.030000e+03 9.176000e+02 1.139169e+00
3.500000e+03 2.132000e+03 8.779000e+02 1.229594e+00
3.750000e+03 2.234000e+03 8.418000e+02 1.300280e+00
4.000000e+03 2.338000e+03 8.092000e+02 1.380722e+00
4.500000e+03 2.548000e+03 7.517000e+02 1.531612e+00
5.000000e+03 2.763000e+03 7.028000e+02 1.682229e+00
5.500000e+03 2.982000e+03 6.609000e+02 1.812885e+00
6.000000e+03 3.202000e+03 6.242000e+02 1.943335e+00
6.500000e+03 3.424000e+03 5.919000e+02 2.073631e+00
7.000000e+03 3.645000e+03 5.630000e+02 2.193911e+00
8.000000e+03 4.087000e+03 5.141000e+02 2.414419e+00
9.000000e+03 4.515000e+03 4.739000e+02 2.624646e+00
1.000000e+04 4.930000e+03 4.403000e+02 2.814783e+00
1.100000e+04 5.328000e+03 4.114000e+02 2.984904e+00
1.200000e+04 5.705000e+03 3.866000e+02 3.154854e+00
1.300000e+04 6.065000e+03 3.651000e+02 3.314769e+00
1.400000e+04 6.405000e+03 3.458000e+02 3.464677e+00
1.500000e+04 6.725000e+03 3.289000e+02 3.604572e+00
1.600000e+04 7.031000e+03 3.136000e+02 3.744417e+00
1.700000e+04 7.317000e+03 2.999000e+02 3.874274e+00
1.800000e+04 7.589000e+03 2.874000e+02 4.004103e+00
2.000000e+04 8.088000e+03 2.656000e+02 4.243864e+00
2.250000e+04 8.639000e+03 2.430000e+02 4.533526e+00
2.500000e+04 9.122000e+03 2.243000e+02 4.803187e+00
2.750000e+04 9.554000e+03 2.085000e+02 5.062834e+00
3.000000e+04 9.941000e+03 1.950000e+02 5.312486e+00
3.250000e+04 1.029000e+04 1.833000e+02 5.562106e+00
3.500000e+04 1.062000e+04 1.730000e+02 5.791790e+00
3.750000e+04 1.092000e+04 1.639000e+02 6.021458e+00
4.000000e+04 1.121000e+04 1.558000e+02 6.241155e+00
4.500000e+04 1.173000e+04 1.419000e+02 6.670697e+00
5.000000e+04 1.220000e+04 1.306000e+02 7.080271e+00
5.500000e+04 1.263000e+04 1.210000e+02 7.479850e+00
6.000000e+04 1.304000e+04 1.128000e+02 7.859478e+00
