# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 1.304000e+02 7.558000e+02 1.199583e-02
1.100000e+01 1.367000e+02 7.606000e+02 1.298653e-02
1.200000e+01 1.428000e+02 7.640000e+02 1.386146e-02
1.300000e+01 1.486000e+02 7.663000e+02 1.473669e-02
1.400000e+01 1.542000e+02 7.677000e+02 1.561217e-02
1.500000e+01 1.597000e+02 7.684000e+02 1.651545e-02
1.600000e+01 1.649000e+02 7.687000e+02 1.747970e-02
1.700000e+01 1.700000e+02 7.684000e+02 1.835565e-02
1.800000e+01 1.749000e+02 7.674000e+02 1.923174e-02
2.000000e+01 1.843000e+02 7.650000e+02 2.098428e-02
2.250000e+01 1.955000e+02 7.606000e+02 2.315729e-02
2.500000e+01 2.061000e+02 7.548000e+02 2.542066e-02
2.750000e+01 2.162000e+02 7.483000e+02 2.763078e-02
3.000000e+01 2.258000e+02 7.415000e+02 2.976995e-02
3.250000e+01 2.350000e+02 7.344000e+02 3.194511e-02
3.500000e+01 2.439000e+02 7.269000e+02 3.421082e-02
3.750000e+01 2.524000e+02 7.194000e+02 3.638654e-02
4.000000e+01 2.607000e+02 7.116000e+02 3.865294e-02
4.500000e+01 2.765000e+02 6.966000e+02 4.303743e-02
5.000000e+01 2.915000e+02 6.817000e+02 4.753893e-02
5.500000e+01 3.057000e+02 6.674000e+02 5.192649e-02
6.000000e+01 3.193000e+02 6.535000e+02 5.643022e-02
6.500000e+01 3.324000e+02 6.402000e+02 6.097040e-02
7.000000e+01 3.451000e+02 6.273000e+02 6.545265e-02
8.000000e+01 3.679000e+02 6.028000e+02 7.447100e-02
9.000000e+01 3.876000e+02 5.807000e+02 8.365489e-02
1.000000e+02 4.049000e+02 5.600000e+02 9.281218e-02
1.100000e+02 4.206000e+02 5.413000e+02 1.020659e-01
1.200000e+02 4.355000e+02 5.236000e+02 1.112934e-01
1.300000e+02 4.495000e+02 5.076000e+02 1.206172e-01
1.400000e+02 4.631000e+02 4.923000e+02 1.300371e-01
1.500000e+02 4.760000e+02 4.784000e+02 1.395251e-01
1.600000e+02 4.889000e+02 4.651000e+02 1.488947e-01
1.700000e+02 5.015000e+02 4.529000e+02 1.583672e-01
1.800000e+02 5.141000e+02 4.413000e+02 1.678359e-01
2.000000e+02 5.389000e+02 4.202000e+02 1.868268e-01
2.250000e+02 5.691000e+02 3.968000e+02 2.105149e-01
2.500000e+02 5.997000e+02 3.764000e+02 2.340510e-01
2.750000e+02 6.300000e+02 3.583000e+02 2.574349e-01
3.000000e+02 6.606000e+02 3.420000e+02 2.804730e-01
3.250000e+02 6.912000e+02 3.275000e+02 3.033636e-01
3.500000e+02 7.218000e+02 3.143000e+02 3.257942e-01
3.750000e+02 7.527000e+02 3.023000e+02 3.479794e-01
4.000000e+02 7.833000e+02 2.914000e+02 3.697497e-01
4.500000e+02 8.445000e+02 2.720000e+02 4.122874e-01
5.000000e+02 9.054000e+02 2.554000e+02 4.532912e-01
5.500000e+02 9.652000e+02 2.410000e+02 4.929922e-01
6.000000e+02 1.024000e+03 2.283000e+02 5.311972e-01
6.500000e+02 1.083000e+03 2.171000e+02 5.681180e-01
7.000000e+02 1.140000e+03 2.071000e+02 6.037897e-01
8.000000e+02 1.251000e+03 1.900000e+02 6.718989e-01
9.000000e+02 1.358000e+03 1.757000e+02 7.360200e-01
1.000000e+03 1.460000e+03 1.637000e+02 7.965390e-01
1.100000e+03 1.559000e+03 1.535000e+02 8.539530e-01
1.200000e+03 1.653000e+03 1.446000e+02 9.087944e-01
1.300000e+03 1.744000e+03 1.367000e+02 9.610881e-01
1.400000e+03 1.833000e+03 1.298000e+02 1.011336e+00
1.500000e+03 1.918000e+03 1.237000e+02 1.060935e+00
1.600000e+03 2.001000e+03 1.181000e+02 1.110855e+00
1.700000e+03 2.081000e+03 1.131000e+02 1.150927e+00
1.800000e+03 2.159000e+03 1.085000e+02 1.190955e+00
2.000000e+03 2.309000e+03 1.005000e+02 1.280725e+00
2.250000e+03 2.487000e+03 9.224000e+01 1.380538e+00
2.500000e+03 2.656000e+03 8.530000e+01 1.470366e+00
2.750000e+03 2.816000e+03 7.946000e+01 1.550248e+00
3.000000e+03 2.970000e+03 7.442000e+01 1.639927e+00
3.250000e+03 3.116000e+03 7.004000e+01 1.719684e+00
3.500000e+03 3.257000e+03 6.620000e+01 1.789519e+00
3.750000e+03 3.392000e+03 6.280000e+01 1.859314e+00
4.000000e+03 3.522000e+03 5.977000e+01 1.929090e+00
4.500000e+03 3.764000e+03 5.457000e+01 2.068633e+00
5.000000e+03 3.988000e+03 5.028000e+01 2.188306e+00
5.500000e+03 4.195000e+03 4.665000e+01 2.307934e+00
6.000000e+03 4.382000e+03 4.355000e+01 2.427551e+00
6.500000e+03 4.552000e+03 4.090000e+01 2.537218e+00
7.000000e+03 4.709000e+03 3.855000e+01 2.646885e+00
8.000000e+03 4.981000e+03 3.464000e+01 2.846403e+00
9.000000e+03 5.205000e+03 3.153000e+01 3.035963e+00
1.000000e+04 5.392000e+03 2.896000e+01 3.225508e+00
1.100000e+04 5.549000e+03 2.680000e+01 3.405115e+00
