# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 6.881000e+01 1.855000e+03 8.544004e-03
1.100000e+01 7.218000e+01 1.913000e+03 8.967720e-03
1.200000e+01 7.541000e+01 1.967000e+03 9.391486e-03
1.300000e+01 7.847000e+01 2.016000e+03 9.909087e-03
1.400000e+01 8.143000e+01 2.061000e+03 1.031213e-02
1.500000e+01 8.428000e+01 2.103000e+03 1.073592e-02
1.600000e+01 8.707000e+01 2.143000e+03 1.106571e-02
1.700000e+01 8.976000e+01 2.180000e+03 1.148956e-02
1.800000e+01 9.234000e+01 2.214000e+03 1.191344e-02
2.000000e+01 9.734000e+01 2.278000e+03 1.264634e-02
2.250000e+01 1.033000e+02 2.348000e+03 1.358823e-02
2.500000e+01 1.088000e+02 2.409000e+03 1.453031e-02
2.750000e+01 1.141000e+02 2.463000e+03 1.545218e-02
3.000000e+01 1.192000e+02 2.512000e+03 1.630000e-02
3.250000e+01 1.241000e+02 2.556000e+03 1.712776e-02
3.500000e+01 1.288000e+02 2.595000e+03 1.804494e-02
3.750000e+01 1.333000e+02 2.632000e+03 1.887300e-02
4.000000e+01 1.377000e+02 2.664000e+03 1.972080e-02
4.500000e+01 1.460000e+02 2.722000e+03 2.127722e-02
5.000000e+01 1.539000e+02 2.770000e+03 2.285826e-02
5.500000e+01 1.614000e+02 2.812000e+03 2.439549e-02
6.000000e+01 1.686000e+02 2.847000e+03 2.595246e-02
6.500000e+01 1.755000e+02 2.878000e+03 2.750963e-02
7.000000e+01 1.821000e+02 2.905000e+03 2.895255e-02
8.000000e+01 1.947000e+02 2.948000e+03 3.195325e-02
9.000000e+01 2.065000e+02 2.980000e+03 3.485886e-02
1.000000e+02 2.177000e+02 3.004000e+03 3.776467e-02
1.100000e+02 2.283000e+02 3.023000e+03 4.067063e-02
1.200000e+02 2.384000e+02 3.035000e+03 4.344030e-02
1.300000e+02 2.482000e+02 3.044000e+03 4.634663e-02
