# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 7.483000e+01 1.518000e+03 8.915716e-03
1.100000e+01 7.847000e+01 1.554000e+03 9.430801e-03
1.200000e+01 8.197000e+01 1.587000e+03 1.000050e-02
1.300000e+01 8.534000e+01 1.616000e+03 1.051570e-02
1.400000e+01 8.853000e+01 1.643000e+03 1.103132e-02
1.500000e+01 9.166000e+01 1.667000e+03 1.157713e-02
1.600000e+01 9.465000e+01 1.689000e+03 1.200042e-02
1.700000e+01 9.758000e+01 1.710000e+03 1.251639e-02
1.800000e+01 1.004000e+02 1.729000e+03 1.296958e-02
2.000000e+01 1.058000e+02 1.762000e+03 1.400179e-02
2.250000e+01 1.122000e+02 1.798000e+03 1.515685e-02
2.500000e+01 1.183000e+02 1.827000e+03 1.633463e-02
2.750000e+01 1.241000e+02 1.852000e+03 1.739684e-02
3.000000e+01 1.296000e+02 1.874000e+03 1.855236e-02
3.250000e+01 1.349000e+02 1.892000e+03 1.967994e-02
3.500000e+01 1.400000e+02 1.907000e+03 2.076439e-02
3.750000e+01 1.449000e+02 1.921000e+03 2.182682e-02
4.000000e+01 1.497000e+02 1.932000e+03 2.295517e-02
4.500000e+01 1.587000e+02 1.950000e+03 2.508027e-02
5.000000e+01 1.673000e+02 1.962000e+03 2.717812e-02
5.500000e+01 1.755000e+02 1.971000e+03 2.937022e-02
6.000000e+01 1.833000e+02 1.977000e+03 3.146871e-02
6.500000e+01 1.908000e+02 1.980000e+03 3.356739e-02
7.000000e+01 1.980000e+02 1.981000e+03 3.564562e-02
8.000000e+01 2.116000e+02 1.978000e+03 3.972342e-02
9.000000e+01 2.245000e+02 1.971000e+03 4.390194e-02
1.000000e+02 2.366000e+02 1.960000e+03 4.807546e-02
1.100000e+02 2.482000e+02 1.947000e+03 5.225495e-02
1.200000e+02 2.592000e+02 1.933000e+03 5.640975e-02
1.300000e+02 2.698000e+02 1.917000e+03 6.066012e-02
1.400000e+02 2.800000e+02 1.900000e+03 6.484073e-02
1.500000e+02 2.898000e+02 1.883000e+03 6.911107e-02
1.600000e+02 2.996000e+02 1.866000e+03 7.336273e-02
1.700000e+02 3.251000e+02 1.848000e+03 7.761482e-02
1.800000e+02 3.458000e+02 1.831000e+03 8.186727e-02
2.000000e+02 3.764000e+02 1.795000e+03 9.037306e-02
