# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 6.858000e+01 1.839000e+03 8.544004e-03
1.100000e+01 7.194000e+01 1.896000e+03 8.967720e-03
1.200000e+01 7.514000e+01 1.948000e+03 9.485252e-03
1.300000e+01 7.820000e+01 1.996000e+03 9.909087e-03
1.400000e+01 8.116000e+01 2.041000e+03 1.033296e-02
1.500000e+01 8.401000e+01 2.082000e+03 1.073592e-02
1.600000e+01 8.677000e+01 2.121000e+03 1.115975e-02
1.700000e+01 8.942000e+01 2.157000e+03 1.158361e-02
1.800000e+01 9.200000e+01 2.191000e+03 1.200750e-02
2.000000e+01 9.700000e+01 2.253000e+03 1.274049e-02
2.250000e+01 1.029000e+02 2.321000e+03 1.368247e-02
2.500000e+01 1.085000e+02 2.381000e+03 1.462464e-02
2.750000e+01 1.137000e+02 2.435000e+03 1.554670e-02
3.000000e+01 1.188000e+02 2.482000e+03 1.639451e-02
3.250000e+01 1.237000e+02 2.524000e+03 1.733695e-02
3.500000e+01 1.283000e+02 2.563000e+03 1.816480e-02
3.750000e+01 1.328000e+02 2.598000e+03 1.901263e-02
4.000000e+01 1.372000e+02 2.630000e+03 1.981565e-02
4.500000e+01 1.455000e+02 2.685000e+03 2.149163e-02
5.000000e+01 1.534000e+02 2.732000e+03 2.304821e-02
5.500000e+01 1.608000e+02 2.772000e+03 2.460508e-02
6.000000e+01 1.680000e+02 2.807000e+03 2.616677e-02
6.500000e+01 1.749000e+02 2.836000e+03 2.772382e-02
7.000000e+01 1.815000e+02 2.861000e+03 2.928105e-02
8.000000e+01 1.940000e+02 2.902000e+03 3.228157e-02
9.000000e+01 2.058000e+02 2.933000e+03 3.528257e-02
1.000000e+02 2.169000e+02 2.955000e+03 3.818835e-02
1.100000e+02 2.275000e+02 2.972000e+03 4.109428e-02
1.200000e+02 2.376000e+02 2.983000e+03 4.395964e-02
1.300000e+02 2.473000e+02 2.991000e+03 4.686598e-02
1.400000e+02 2.566000e+02 2.995000e+03 4.977238e-02
1.500000e+02 2.656000e+02 2.996000e+03 5.263896e-02
1.600000e+02 2.743000e+02 2.996000e+03 5.544962e-02
1.700000e+02 2.828000e+02 2.993000e+03 5.831681e-02
1.800000e+02 2.910000e+02 2.989000e+03 6.120204e-02
2.000000e+02 3.067000e+02 2.977000e+03 6.686322e-02
2.250000e+02 3.253000e+02 2.956000e+03 7.406234e-02
2.500000e+02 3.566000e+02 2.932000e+03 8.118676e-02
2.750000e+02 3.957000e+02 2.905000e+03 8.829077e-02
3.000000e+02 4.240000e+02 2.876000e+03 9.545460e-02
3.250000e+02 4.450000e+02 2.846000e+03 1.026562e-01
3.500000e+02 4.624000e+02 2.815000e+03 1.097452e-01
3.750000e+02 4.773000e+02 2.784000e+03 1.170242e-01
4.000000e+02 4.909000e+02 2.753000e+03 1.243073e-01
4.500000e+02 5.175000e+02 2.691000e+03 1.389679e-01
5.000000e+02 5.443000e+02 2.631000e+03 1.538237e-01
5.500000e+02 5.729000e+02 2.573000e+03 1.688591e-01
6.000000e+02 6.025000e+02 2.517000e+03 1.839896e-01
6.500000e+02 6.327000e+02 2.463000e+03 1.993342e-01
7.000000e+02 6.640000e+02 2.412000e+03 2.147585e-01
8.000000e+02 7.272000e+02 2.315000e+03 2.458872e-01
9.000000e+02 7.898000e+02 2.227000e+03 2.775212e-01
1.000000e+03 8.507000e+02 2.146000e+03 3.093040e-01
1.100000e+03 9.095000e+02 2.071000e+03 3.413973e-01
1.200000e+03 9.663000e+02 2.002000e+03 3.736407e-01
1.300000e+03 1.020000e+03 1.938000e+03 4.059688e-01
1.400000e+03 1.072000e+03 1.879000e+03 4.384793e-01
1.500000e+03 1.123000e+03 1.824000e+03 4.710769e-01
1.600000e+03 1.171000e+03 1.773000e+03 5.037436e-01
1.700000e+03 1.217000e+03 1.724000e+03 5.364136e-01
1.800000e+03 1.262000e+03 1.680000e+03 5.691535e-01
2.000000e+03 1.349000e+03 1.597000e+03 6.347413e-01
2.250000e+03 1.451000e+03 1.506000e+03 7.165661e-01
2.500000e+03 1.550000e+03 1.428000e+03 7.980974e-01
2.750000e+03 1.645000e+03 1.358000e+03 8.790687e-01
3.000000e+03 1.739000e+03 1.295000e+03 9.593704e-01
3.250000e+03 1.832000e+03 1.239000e+03 1.037332e+00
3.500000e+03 1.925000e+03 1.189000e+03 1.117968e+00
3.750000e+03 2.017000e+03 1.142000e+03 1.198544e+00
4.000000e+03 2.110000e+03 1.101000e+03 1.269209e+00
4.500000e+03 2.296000e+03 1.026000e+03 1.420267e+00
5.000000e+03 2.485000e+03 9.629000e+02 1.561226e+00
5.500000e+03 2.674000e+03 9.078000e+02 1.701970e+00
6.000000e+03 2.866000e+03 8.595000e+02 1.832656e+00
6.500000e+03 3.058000e+03 8.170000e+02 1.963179e+00
7.000000e+03 3.250000e+03 7.789000e+02 2.093566e+00
8.000000e+03 3.631000e+03 7.136000e+02 2.324426e+00
