# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 6.154000e+01 1.856000e+03 8.731552e-03
1.100000e+01 6.456000e+01 1.916000e+03 9.155326e-03
1.200000e+01 6.742000e+01 1.971000e+03 9.579144e-03
1.300000e+01 7.017000e+01 2.021000e+03 1.000300e-02
1.400000e+01 7.283000e+01 2.068000e+03 1.050048e-02
1.500000e+01 7.538000e+01 2.111000e+03 1.092428e-02
1.600000e+01 7.786000e+01 2.152000e+03 1.134813e-02
1.700000e+01 8.027000e+01 2.190000e+03 1.167776e-02
1.800000e+01 8.258000e+01 2.226000e+03 1.208139e-02
2.000000e+01 8.704000e+01 2.292000e+03 1.290310e-02
2.250000e+01 9.234000e+01 2.364000e+03 1.384558e-02
2.500000e+01 9.734000e+01 2.428000e+03 1.467345e-02
2.750000e+01 1.021000e+02 2.485000e+03 1.561602e-02
3.000000e+01 1.066000e+02 2.536000e+03 1.644415e-02
3.250000e+01 1.110000e+02 2.583000e+03 1.738678e-02
3.500000e+01 1.152000e+02 2.624000e+03 1.821510e-02
3.750000e+01 1.192000e+02 2.662000e+03 1.906279e-02
4.000000e+01 1.231000e+02 2.697000e+03 1.986681e-02
4.500000e+01 1.306000e+02 2.758000e+03 2.144784e-02
5.000000e+01 1.376000e+02 2.811000e+03 2.310000e-02
5.500000e+01 1.444000e+02 2.856000e+03 2.456196e-02
6.000000e+01 1.508000e+02 2.894000e+03 2.610038e-02
6.500000e+01 1.569000e+02 2.928000e+03 2.765791e-02
7.000000e+01 1.629000e+02 2.957000e+03 2.910137e-02
8.000000e+01 1.741000e+02 3.006000e+03 3.210280e-02
9.000000e+01 1.847000e+02 3.043000e+03 3.500886e-02
1.000000e+02 1.946000e+02 3.071000e+03 3.779696e-02
1.100000e+02 2.042000e+02 3.093000e+03 4.068526e-02
1.200000e+02 2.132000e+02 3.110000e+03 4.347390e-02
1.300000e+02 2.219000e+02 3.122000e+03 4.624500e-02
1.400000e+02 2.303000e+02 3.130000e+03 4.903417e-02
1.500000e+02 2.384000e+02 3.136000e+03 5.182721e-02
1.600000e+02 2.462000e+02 3.139000e+03 5.459908e-02
1.700000e+02 2.538000e+02 3.140000e+03 5.738859e-02
1.800000e+02 2.611000e+02 3.139000e+03 6.016087e-02
2.000000e+02 2.753000e+02 3.133000e+03 6.570609e-02
2.250000e+02 2.920000e+02 3.118000e+03 7.261749e-02
2.500000e+02 3.078000e+02 3.099000e+03 7.949208e-02
2.750000e+02 3.549000e+02 3.077000e+03 8.636747e-02
3.000000e+02 4.046000e+02 3.052000e+03 9.324350e-02
3.250000e+02 4.389000e+02 3.025000e+03 1.000233e-01
3.500000e+02 4.627000e+02 2.997000e+03 1.069002e-01
3.750000e+02 4.801000e+02 2.969000e+03 1.137581e-01
4.000000e+02 4.933000e+02 2.940000e+03 1.206357e-01
4.500000e+02 5.137000e+02 2.882000e+03 1.344536e-01
5.000000e+02 5.311000e+02 2.824000e+03 1.485640e-01
5.500000e+02 5.494000e+02 2.768000e+03 1.627883e-01
6.000000e+02 5.695000e+02 2.713000e+03 1.772896e-01
6.500000e+02 5.912000e+02 2.660000e+03 1.917922e-01
7.000000e+02 6.154000e+02 2.608000e+03 2.066026e-01
8.000000e+02 6.681000e+02 2.512000e+03 2.364056e-01
9.000000e+02 7.249000e+02 2.422000e+03 2.666813e-01
1.000000e+03 7.833000e+02 2.339000e+03 2.972357e-01
1.100000e+03 8.425000e+02 2.262000e+03 3.280690e-01
1.200000e+03 9.013000e+02 2.191000e+03 3.591007e-01
1.300000e+03 9.584000e+02 2.125000e+03 3.902002e-01
1.400000e+03 1.015000e+03 2.063000e+03 4.213843e-01
