# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 9.085000e+01 1.080000e+03 1.024158e-02
1.100000e+01 9.527000e+01 1.095000e+03 1.090367e-02
1.200000e+01 9.952000e+01 1.108000e+03 1.169059e-02
1.300000e+01 1.036000e+02 1.120000e+03 1.232639e-02
1.400000e+01 1.075000e+02 1.129000e+03 1.307861e-02
1.500000e+01 1.112000e+02 1.138000e+03 1.371496e-02
1.600000e+01 1.149000e+02 1.145000e+03 1.437707e-02
1.700000e+01 1.184000e+02 1.151000e+03 1.503928e-02
1.800000e+01 1.219000e+02 1.156000e+03 1.576642e-02
2.000000e+01 1.284000e+02 1.164000e+03 1.706546e-02
2.250000e+01 1.362000e+02 1.172000e+03 1.869572e-02
2.500000e+01 1.436000e+02 1.176000e+03 2.039240e-02
2.750000e+01 1.506000e+02 1.178000e+03 2.202294e-02
3.000000e+01 1.573000e+02 1.179000e+03 2.362922e-02
3.250000e+01 1.637000e+02 1.178000e+03 2.525985e-02
3.500000e+01 1.699000e+02 1.176000e+03 2.692601e-02
3.750000e+01 1.759000e+02 1.173000e+03 2.855679e-02
4.000000e+01 1.817000e+02 1.169000e+03 3.016389e-02
4.500000e+01 1.927000e+02 1.161000e+03 3.337035e-02
5.000000e+01 2.031000e+02 1.151000e+03 3.664642e-02
5.500000e+01 2.130000e+02 1.139000e+03 3.994634e-02
6.000000e+01 2.225000e+02 1.127000e+03 4.322418e-02
6.500000e+01 2.316000e+02 1.115000e+03 4.652505e-02
7.000000e+01 2.403000e+02 1.103000e+03 4.980402e-02
8.000000e+01 2.569000e+02 1.078000e+03 5.647814e-02
9.000000e+01 2.725000e+02 1.053000e+03 6.321724e-02
1.000000e+02 2.988000e+02 1.029000e+03 6.996585e-02
1.100000e+02 3.380000e+02 1.006000e+03 7.667927e-02
1.200000e+02 3.726000e+02 9.836000e+02 8.332899e-02
1.300000e+02 4.032000e+02 9.625000e+02 8.999628e-02
1.400000e+02 4.308000e+02 9.418000e+02 9.661982e-02
1.500000e+02 4.556000e+02 9.224000e+02 1.031962e-01
1.600000e+02 4.780000e+02 9.037000e+02 1.097467e-01
1.700000e+02 4.988000e+02 8.860000e+02 1.163255e-01
1.800000e+02 5.181000e+02 8.687000e+02 1.228786e-01
2.000000e+02 5.525000e+02 8.367000e+02 1.359881e-01
2.250000e+02 5.902000e+02 8.003000e+02 1.524510e-01
2.500000e+02 6.232000e+02 7.677000e+02 1.689959e-01
2.750000e+02 6.524000e+02 7.378000e+02 1.855218e-01
3.000000e+02 6.793000e+02 7.106000e+02 2.021238e-01
3.250000e+02 7.041000e+02 6.854000e+02 2.187792e-01
3.500000e+02 7.272000e+02 6.626000e+02 2.354443e-01
3.750000e+02 7.490000e+02 6.412000e+02 2.521454e-01
4.000000e+02 7.701000e+02 6.215000e+02 2.688698e-01
4.500000e+02 8.102000e+02 5.861000e+02 3.023465e-01
5.000000e+02 8.490000e+02 5.552000e+02 3.357569e-01
5.500000e+02 8.864000e+02 5.280000e+02 3.691228e-01
6.000000e+02 9.238000e+02 5.035000e+02 4.022512e-01
6.500000e+02 9.605000e+02 4.818000e+02 4.351223e-01
7.000000e+02 9.975000e+02 4.620000e+02 4.676428e-01
8.000000e+02 1.072000e+03 4.277000e+02 5.317349e-01
9.000000e+02 1.147000e+03 3.988000e+02 5.940839e-01
1.000000e+03 1.222000e+03 3.740000e+02 6.547890e-01
1.100000e+03 1.298000e+03 3.526000e+02 7.136077e-01
1.200000e+03 1.375000e+03 3.339000e+02 7.705543e-01
1.300000e+03 1.451000e+03 3.173000e+02 8.257097e-01
1.400000e+03 1.527000e+03 3.025000e+02 8.790890e-01
1.500000e+03 1.603000e+03 2.891000e+02 9.308339e-01
1.600000e+03 1.680000e+03 2.771000e+02 9.809136e-01
1.700000e+03 1.755000e+03 2.661000e+02 1.030644e+00
1.800000e+03 1.830000e+03 2.561000e+02 1.080784e+00
2.000000e+03 1.978000e+03 2.385000e+02 1.171130e+00
2.250000e+03 2.159000e+03 2.199000e+02 1.271544e+00
2.500000e+03 2.335000e+03 2.043000e+02 1.371710e+00
2.750000e+03 2.505000e+03 1.911000e+02 1.461877e+00
3.000000e+03 2.670000e+03 1.796000e+02 1.551874e+00
3.250000e+03 2.830000e+03 1.696000e+02 1.631926e+00
3.500000e+03 2.984000e+03 1.607000e+02 1.711878e+00
3.750000e+03 3.133000e+03 1.529000e+02 1.791767e+00
4.000000e+03 3.277000e+03 1.458000e+02 1.861723e+00
4.500000e+03 3.549000e+03 1.337000e+02 2.001543e+00
5.000000e+03 3.804000e+03 1.236000e+02 2.131337e+00
5.500000e+03 4.046000e+03 1.150000e+02 2.251119e+00
6.000000e+03 4.270000e+03 1.077000e+02 2.370839e+00
6.500000e+03 4.478000e+03 1.013000e+02 2.480601e+00
7.000000e+03 4.675000e+03 9.574000e+01 2.580392e+00
8.000000e+03 5.035000e+03 8.636000e+01 2.789916e+00
9.000000e+03 5.351000e+03 7.881000e+01 2.969558e+00
1.000000e+04 5.634000e+03 7.259000e+01 3.149150e+00
1.100000e+04 5.885000e+03 6.735000e+01 3.318770e+00
1.200000e+04 6.110000e+03 6.286000e+01 3.488369e+00
1.300000e+04 6.310000e+03 5.899000e+01 3.648018e+00
1.400000e+04 6.490000e+03 5.559000e+01 3.797709e+00
1.500000e+04 6.657000e+03 5.263000e+01 3.947399e+00
1.600000e+04 6.807000e+03 4.994000e+01 4.097090e+00
1.700000e+04 6.946000e+03 4.756000e+01 4.236819e+00
1.800000e+04 7.072000e+03 4.542000e+01 4.376556e+00
2.000000e+04 7.296000e+03 4.172000e+01 4.656110e+00
2.250000e+04 7.531000e+03 3.791000e+01 4.985682e+00
2.500000e+04 7.728000e+03 3.478000e+01 5.315262e+00
2.750000e+04 7.895000e+03 3.215000e+01 5.634870e+00
3.000000e+04 8.034000e+03 2.992000e+01 5.944533e+00
3.250000e+04 8.150000e+03 2.800000e+01 6.254198e+00
3.500000e+04 8.248000e+03 2.634000e+01 6.553903e+00
3.750000e+04 8.333000e+03 2.487000e+01 6.853621e+00
4.000000e+04 8.405000e+03 2.356000e+01 7.153353e+00
4.500000e+04 8.513000e+03 2.136000e+01 7.743097e+00
5.000000e+04 8.588000e+03 1.955000e+01 8.322862e+00
