# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 1.128000e+02 1.887000e+03 8.401786e-03
1.100000e+01 1.183000e+02 1.948000e+03 8.919641e-03
1.200000e+01 1.236000e+02 2.005000e+03 9.343447e-03
1.300000e+01 1.286000e+02 2.057000e+03 9.767292e-03
1.400000e+01 1.335000e+02 2.105000e+03 1.017104e-02
1.500000e+01 1.382000e+02 2.150000e+03 1.059481e-02
1.600000e+01 1.427000e+02 2.192000e+03 1.092428e-02
1.700000e+01 1.471000e+02 2.232000e+03 1.132210e-02
1.800000e+01 1.514000e+02 2.269000e+03 1.172604e-02
2.000000e+01 1.595000e+02 2.337000e+03 1.247918e-02
2.250000e+01 1.692000e+02 2.413000e+03 1.330714e-02
2.500000e+01 1.784000e+02 2.480000e+03 1.424956e-02
2.750000e+01 1.871000e+02 2.539000e+03 1.505291e-02
3.000000e+01 1.954000e+02 2.593000e+03 1.590063e-02
3.250000e+01 2.034000e+02 2.641000e+03 1.672902e-02
3.500000e+01 2.110000e+02 2.685000e+03 1.757669e-02
3.750000e+01 2.184000e+02 2.725000e+03 1.828579e-02
4.000000e+01 2.256000e+02 2.762000e+03 1.911439e-02
4.500000e+01 2.393000e+02 2.827000e+03 2.057620e-02
5.000000e+01 2.522000e+02 2.882000e+03 2.213346e-02
5.500000e+01 2.646000e+02 2.930000e+03 2.357668e-02
6.000000e+01 2.763000e+02 2.972000e+03 2.503877e-02
6.500000e+01 2.876000e+02 3.008000e+03 2.636380e-02
7.000000e+01 2.985000e+02 3.040000e+03 2.780755e-02
8.000000e+01 3.191000e+02 3.093000e+03 3.059559e-02
9.000000e+01 3.384000e+02 3.133000e+03 3.329219e-02
1.000000e+02 3.566000e+02 3.166000e+03 3.596693e-02
1.100000e+02 3.740000e+02 3.190000e+03 3.856384e-02
1.200000e+02 3.906000e+02 3.210000e+03 4.121759e-02
1.300000e+02 4.066000e+02 3.224000e+03 4.379715e-02
1.400000e+02 4.223000e+02 3.235000e+03 4.637683e-02
1.500000e+02 4.369000e+02 3.243000e+03 4.886041e-02
1.600000e+02 4.512000e+02 3.248000e+03 5.141935e-02
