# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 7.956000e+01 1.644000e+03 8.553946e-03
1.100000e+01 8.343000e+01 1.686000e+03 9.069730e-03
1.200000e+01 8.717000e+01 1.725000e+03 9.615612e-03
1.300000e+01 9.071000e+01 1.761000e+03 1.003892e-02
1.400000e+01 9.414000e+01 1.793000e+03 1.055509e-02
1.500000e+01 9.744000e+01 1.823000e+03 1.097862e-02
1.600000e+01 1.006000e+02 1.850000e+03 1.152432e-02
1.700000e+01 1.037000e+02 1.876000e+03 1.194780e-02
1.800000e+01 1.068000e+02 1.899000e+03 1.237134e-02
2.000000e+01 1.125000e+02 1.942000e+03 1.321855e-02
2.250000e+01 1.193000e+02 1.987000e+03 1.437393e-02
2.500000e+01 1.258000e+02 2.026000e+03 1.540811e-02
2.750000e+01 1.320000e+02 2.060000e+03 1.637712e-02
3.000000e+01 1.378000e+02 2.089000e+03 1.741178e-02
3.250000e+01 1.434000e+02 2.114000e+03 1.847431e-02
3.500000e+01 1.488000e+02 2.136000e+03 1.941572e-02
3.750000e+01 1.541000e+02 2.156000e+03 2.035731e-02
4.000000e+01 1.591000e+02 2.173000e+03 2.139860e-02
4.500000e+01 1.688000e+02 2.202000e+03 2.328218e-02
5.000000e+01 1.779000e+02 2.225000e+03 2.516625e-02
5.500000e+01 1.866000e+02 2.242000e+03 2.705587e-02
6.000000e+01 1.949000e+02 2.255000e+03 2.894028e-02
6.500000e+01 2.028000e+02 2.266000e+03 3.080438e-02
7.000000e+01 2.105000e+02 2.273000e+03 3.257438e-02
8.000000e+01 2.250000e+02 2.282000e+03 3.625493e-02
9.000000e+01 2.387000e+02 2.284000e+03 3.989048e-02
1.000000e+02 2.516000e+02 2.282000e+03 4.354641e-02
1.100000e+02 2.639000e+02 2.276000e+03 4.718305e-02
1.200000e+02 2.756000e+02 2.267000e+03 5.082017e-02
1.300000e+02 2.869000e+02 2.257000e+03 5.443354e-02
1.400000e+02 2.977000e+02 2.245000e+03 5.807151e-02
1.500000e+02 3.082000e+02 2.232000e+03 6.170972e-02
1.600000e+02 3.183000e+02 2.218000e+03 6.532450e-02
1.700000e+02 3.281000e+02 2.203000e+03 6.896318e-02
1.800000e+02 3.444000e+02 2.188000e+03 7.260200e-02
2.000000e+02 4.066000e+02 2.157000e+03 7.995230e-02
2.250000e+02 4.539000e+02 2.117000e+03 8.895679e-02
2.500000e+02 4.824000e+02 2.077000e+03 9.804014e-02
2.750000e+02 5.022000e+02 2.037000e+03 1.071984e-01
3.000000e+02 5.178000e+02 1.999000e+03 1.164936e-01
3.250000e+02 5.324000e+02 1.961000e+03 1.258682e-01
3.500000e+02 5.474000e+02 1.925000e+03 1.352222e-01
3.750000e+02 5.634000e+02 1.890000e+03 1.447911e-01
4.000000e+02 5.807000e+02 1.856000e+03 1.543396e-01
4.500000e+02 6.181000e+02 1.792000e+03 1.738625e-01
5.000000e+02 6.592000e+02 1.733000e+03 1.934477e-01
5.500000e+02 7.028000e+02 1.678000e+03 2.132453e-01
6.000000e+02 7.476000e+02 1.627000e+03 2.331059e-01
6.500000e+02 7.929000e+02 1.579000e+03 2.530622e-01
7.000000e+02 8.377000e+02 1.534000e+03 2.730826e-01
8.000000e+02 9.251000e+02 1.453000e+03 3.130341e-01
9.000000e+02 1.008000e+03 1.381000e+03 3.530010e-01
1.000000e+03 1.086000e+03 1.317000e+03 3.927307e-01
1.100000e+03 1.159000e+03 1.260000e+03 4.323027e-01
1.200000e+03 1.228000e+03 1.209000e+03 4.716360e-01
1.300000e+03 1.293000e+03 1.162000e+03 5.108328e-01
1.400000e+03 1.354000e+03 1.119000e+03 5.496651e-01
1.500000e+03 1.413000e+03 1.080000e+03 5.882931e-01
1.600000e+03 1.468000e+03 1.044000e+03 6.266857e-01
1.700000e+03 1.522000e+03 1.010000e+03 6.647458e-01
1.800000e+03 1.574000e+03 9.792000e+02 7.025716e-01
2.000000e+03 1.675000e+03 9.238000e+02 7.773860e-01
2.250000e+03 1.796000e+03 8.636000e+02 8.692035e-01
2.500000e+03 1.914000e+03 8.119000e+02 9.590038e-01
2.750000e+03 2.031000e+03 7.670000e+02 1.048472e+00
3.000000e+03 2.148000e+03 7.276000e+02 1.129157e+00
3.250000e+03 2.266000e+03 6.922000e+02 1.219555e+00
3.500000e+03 2.384000e+03 6.609000e+02 1.300024e+00
3.750000e+03 2.503000e+03 6.327000e+02 1.370537e+00
4.000000e+03 2.624000e+03 6.069000e+02 1.450842e+00
4.500000e+03 2.866000e+03 5.623000e+02 1.601405e+00
5.000000e+03 3.110000e+03 5.243000e+02 1.731968e+00
5.500000e+03 3.353000e+03 4.920000e+02 1.872211e+00
6.000000e+03 3.594000e+03 4.637000e+02 1.992502e+00
6.500000e+03 3.835000e+03 4.389000e+02 2.112665e+00
7.000000e+03 4.070000e+03 4.168000e+02 2.222806e+00
8.000000e+03 4.525000e+03 3.798000e+02 2.432995e+00
9.000000e+03 4.957000e+03 3.492000e+02 2.623092e+00
1.000000e+04 5.365000e+03 3.237000e+02 2.803049e+00
1.100000e+04 5.749000e+03 3.020000e+02 2.972949e+00
1.200000e+04 6.103000e+03 2.834000e+02 3.132808e+00
1.300000e+04 6.436000e+03 2.672000e+02 3.282665e+00
1.400000e+04 6.745000e+03 2.529000e+02 3.422519e+00
1.500000e+04 7.034000e+03 2.402000e+02 3.562326e+00
1.600000e+04 7.303000e+03 2.288000e+02 3.702095e+00
1.700000e+04 7.555000e+03 2.186000e+02 3.831900e+00
1.800000e+04 7.789000e+03 2.093000e+02 3.951743e+00
2.000000e+04 8.214000e+03 1.932000e+02 4.191431e+00
2.250000e+04 8.677000e+03 1.765000e+02 4.481050e+00
2.500000e+04 9.081000e+03 1.627000e+02 4.760654e+00
2.750000e+04 9.442000e+03 1.510000e+02 5.020311e+00
3.000000e+04 9.768000e+03 1.411000e+02 5.279939e+00
3.250000e+04 1.006000e+04 1.325000e+02 5.529599e+00
3.500000e+04 1.034000e+04 1.249000e+02 5.769270e+00
3.750000e+04 1.060000e+04 1.183000e+02 5.998978e+00
4.000000e+04 1.084000e+04 1.124000e+02 6.228679e+00
4.500000e+04 1.128000e+04 1.023000e+02 6.678258e+00
5.000000e+04 1.169000e+04 9.397000e+01 7.107876e+00
5.500000e+04 1.206000e+04 8.700000e+01 7.527499e+00
6.000000e+04 1.240000e+04 8.109000e+01 7.927166e+00
6.500000e+04 1.272000e+04 7.595000e+01 8.326829e+00
7.000000e+04 1.302000e+04 7.150000e+01 8.706533e+00
8.000000e+04 1.355000e+04 6.409000e+01 9.456258e+00
9.000000e+04 1.401000e+04 5.814000e+01 1.017600e+01
1.000000e+05 1.441000e+04 5.331000e+01 1.087574e+01
