# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 8.683000e+01 1.387000e+03 9.029396e-03
1.100000e+01 9.105000e+01 1.416000e+03 9.575490e-03
1.200000e+01 9.510000e+01 1.442000e+03 1.017988e-02
1.300000e+01 9.901000e+01 1.464000e+03 1.075081e-02
1.400000e+01 1.027000e+02 1.484000e+03 1.126455e-02
1.500000e+01 1.063000e+02 1.502000e+03 1.181059e-02
1.600000e+01 1.098000e+02 1.519000e+03 1.232477e-02
1.700000e+01 1.132000e+02 1.534000e+03 1.287090e-02
1.800000e+01 1.165000e+02 1.548000e+03 1.340970e-02
2.000000e+01 1.228000e+02 1.571000e+03 1.447031e-02
2.250000e+01 1.303000e+02 1.596000e+03 1.577023e-02
2.500000e+01 1.373000e+02 1.615000e+03 1.701558e-02
2.750000e+01 1.440000e+02 1.631000e+03 1.822334e-02
3.000000e+01 1.504000e+02 1.644000e+03 1.946946e-02
3.250000e+01 1.565000e+02 1.654000e+03 2.064679e-02
3.500000e+01 1.624000e+02 1.662000e+03 2.189383e-02
3.750000e+01 1.681000e+02 1.668000e+03 2.310108e-02
4.000000e+01 1.736000e+02 1.673000e+03 2.434851e-02
4.500000e+01 1.842000e+02 1.679000e+03 2.668108e-02
5.000000e+01 1.941000e+02 1.682000e+03 2.910704e-02
5.500000e+01 2.036000e+02 1.681000e+03 3.141815e-02
6.000000e+01 2.127000e+02 1.678000e+03 3.384494e-02
6.500000e+01 2.214000e+02 1.674000e+03 3.620691e-02
7.000000e+01 2.297000e+02 1.668000e+03 3.858419e-02
8.000000e+01 2.456000e+02 1.654000e+03 4.332436e-02
9.000000e+01 2.605000e+02 1.636000e+03 4.806516e-02
1.000000e+02 2.746000e+02 1.618000e+03 5.287967e-02
1.100000e+02 2.880000e+02 1.598000e+03 5.768865e-02
1.200000e+02 3.008000e+02 1.578000e+03 6.252511e-02
1.300000e+02 3.159000e+02 1.557000e+03 6.731523e-02
1.400000e+02 3.385000e+02 1.537000e+03 7.224680e-02
1.500000e+02 3.577000e+02 1.517000e+03 7.713274e-02
1.600000e+02 3.740000e+02 1.497000e+03 8.203908e-02
1.700000e+02 3.886000e+02 1.477000e+03 8.692635e-02
1.800000e+02 4.015000e+02 1.458000e+03 9.181421e-02
2.000000e+02 4.257000e+02 1.420000e+03 1.018002e-01
2.250000e+02 4.532000e+02 1.376000e+03 1.142677e-01
2.500000e+02 4.797000e+02 1.334000e+03 1.270227e-01
2.750000e+02 5.059000e+02 1.295000e+03 1.397558e-01
3.000000e+02 5.321000e+02 1.259000e+03 1.526819e-01
3.250000e+02 5.583000e+02 1.224000e+03 1.656822e-01
3.500000e+02 5.844000e+02 1.192000e+03 1.787079e-01
3.750000e+02 6.099000e+02 1.162000e+03 1.918807e-01
4.000000e+02 6.354000e+02 1.133000e+03 2.049825e-01
4.500000e+02 6.858000e+02 1.080000e+03 2.314163e-01
5.000000e+02 7.340000e+02 1.034000e+03 2.579264e-01
5.500000e+02 7.810000e+02 9.911000e+02 2.844792e-01
6.000000e+02 8.265000e+02 9.523000e+02 3.109042e-01
6.500000e+02 8.707000e+02 9.170000e+02 3.372941e-01
7.000000e+02 9.136000e+02 8.850000e+02 3.635564e-01
8.000000e+02 9.958000e+02 8.279000e+02 4.158083e-01
9.000000e+02 1.074000e+03 7.786000e+02 4.672575e-01
1.000000e+03 1.151000e+03 7.361000e+02 5.181152e-01
1.100000e+03 1.224000e+03 6.983000e+02 5.679962e-01
1.200000e+03 1.296000e+03 6.650000e+02 6.170779e-01
1.300000e+03 1.367000e+03 6.351000e+02 6.652819e-01
1.400000e+03 1.436000e+03 6.082000e+02 7.125431e-01
1.500000e+03 1.505000e+03 5.841000e+02 7.588608e-01
1.600000e+03 1.574000e+03 5.620000e+02 8.042196e-01
1.700000e+03 1.642000e+03 5.416000e+02 8.486346e-01
1.800000e+03 1.709000e+03 5.229000e+02 8.922039e-01
2.000000e+03 1.843000e+03 4.896000e+02 9.765688e-01
