# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 7.327000e+01 1.666000e+03 8.553946e-03
1.100000e+01 7.684000e+01 1.710000e+03 9.069730e-03
1.200000e+01 8.024000e+01 1.751000e+03 9.523130e-03
1.300000e+01 8.354000e+01 1.787000e+03 1.003892e-02
1.400000e+01 8.666000e+01 1.821000e+03 1.046231e-02
1.500000e+01 8.972000e+01 1.851000e+03 1.097862e-02
1.600000e+01 9.265000e+01 1.879000e+03 1.140219e-02
1.700000e+01 9.550000e+01 1.906000e+03 1.182582e-02
1.800000e+01 9.829000e+01 1.930000e+03 1.227844e-02
2.000000e+01 1.036000e+02 1.974000e+03 1.319621e-02
2.250000e+01 1.099000e+02 2.021000e+03 1.423025e-02
2.500000e+01 1.158000e+02 2.062000e+03 1.531470e-02
2.750000e+01 1.215000e+02 2.097000e+03 1.625577e-02
3.000000e+01 1.269000e+02 2.127000e+03 1.731820e-02
3.250000e+01 1.321000e+02 2.154000e+03 1.823787e-02
3.500000e+01 1.370000e+02 2.178000e+03 1.927330e-02
3.750000e+01 1.418000e+02 2.198000e+03 2.024204e-02
4.000000e+01 1.465000e+02 2.217000e+03 2.118372e-02
4.500000e+01 1.554000e+02 2.247000e+03 2.306751e-02
5.000000e+01 1.638000e+02 2.271000e+03 2.495696e-02
5.500000e+01 1.718000e+02 2.291000e+03 2.684120e-02
6.000000e+01 1.794000e+02 2.305000e+03 2.861066e-02
6.500000e+01 1.868000e+02 2.317000e+03 3.047491e-02
7.000000e+01 1.938000e+02 2.326000e+03 3.229087e-02
8.000000e+01 2.072000e+02 2.336000e+03 3.592562e-02
9.000000e+01 2.198000e+02 2.340000e+03 3.946657e-02
1.000000e+02 2.316000e+02 2.339000e+03 4.302767e-02
1.100000e+02 2.430000e+02 2.335000e+03 4.663968e-02
1.200000e+02 2.538000e+02 2.328000e+03 5.018187e-02
1.300000e+02 2.641000e+02 2.318000e+03 5.372430e-02
1.400000e+02 2.741000e+02 2.307000e+03 5.736210e-02
1.500000e+02 2.837000e+02 2.294000e+03 6.088103e-02
1.600000e+02 2.930000e+02 2.281000e+03 6.451938e-02
1.700000e+02 3.020000e+02 2.267000e+03 6.813435e-02
1.800000e+02 3.115000e+02 2.252000e+03 7.167768e-02
2.000000e+02 3.784000e+02 2.221000e+03 7.889081e-02
2.250000e+02 4.263000e+02 2.182000e+03 8.782266e-02
2.500000e+02 4.532000e+02 2.143000e+03 9.678750e-02
2.750000e+02 4.699000e+02 2.104000e+03 1.057762e-01
3.000000e+02 4.828000e+02 2.065000e+03 1.149356e-01
3.250000e+02 4.943000e+02 2.028000e+03 1.241181e-01
3.500000e+02 5.066000e+02 1.992000e+03 1.334719e-01
3.750000e+02 5.202000e+02 1.956000e+03 1.429614e-01
4.000000e+02 5.351000e+02 1.922000e+03 1.524133e-01
4.500000e+02 5.698000e+02 1.858000e+03 1.717261e-01
5.000000e+02 6.089000e+02 1.798000e+03 1.912347e-01
5.500000e+02 6.511000e+02 1.741000e+03 2.108382e-01
6.000000e+02 6.946000e+02 1.689000e+03 2.306977e-01
6.500000e+02 7.388000e+02 1.640000e+03 2.505758e-01
7.000000e+02 7.830000e+02 1.595000e+03 2.704013e-01
8.000000e+02 8.683000e+02 1.512000e+03 3.103692e-01
9.000000e+02 9.486000e+02 1.438000e+03 3.502701e-01
1.000000e+03 1.023000e+03 1.373000e+03 3.900299e-01
1.100000e+03 1.092000e+03 1.314000e+03 4.297460e-01
1.200000e+03 1.155000e+03 1.261000e+03 4.694018e-01
1.300000e+03 1.214000e+03 1.213000e+03 5.088210e-01
1.400000e+03 1.269000e+03 1.169000e+03 5.481989e-01
1.500000e+03 1.321000e+03 1.128000e+03 5.874550e-01
1.600000e+03 1.370000e+03 1.091000e+03 6.264754e-01
1.700000e+03 1.417000e+03 1.056000e+03 6.654859e-01
1.800000e+03 1.463000e+03 1.024000e+03 7.041493e-01
2.000000e+03 1.549000e+03 9.666000e+02 7.811542e-01
2.250000e+03 1.654000e+03 9.040000e+02 8.762786e-01
2.500000e+03 1.757000e+03 8.507000e+02 9.698743e-01
2.750000e+03 1.860000e+03 8.037000e+02 1.059333e+00
3.000000e+03 1.964000e+03 7.626000e+02 1.150014e+00
3.250000e+03 2.071000e+03 7.259000e+02 1.240601e+00
3.500000e+03 2.180000e+03 6.932000e+02 1.321231e+00
3.750000e+03 2.291000e+03 6.637000e+02 1.411608e+00
4.000000e+03 2.404000e+03 6.371000e+02 1.492047e+00
4.500000e+03 2.635000e+03 5.902000e+02 1.642903e+00
5.000000e+03 2.871000e+03 5.508000e+02 1.793441e+00
5.500000e+03 3.110000e+03 5.168000e+02 1.933871e+00
6.000000e+03 3.348000e+03 4.872000e+02 2.064228e+00
6.500000e+03 3.583000e+03 4.614000e+02 2.184526e+00
7.000000e+03 3.818000e+03 4.382000e+02 2.304682e+00
8.000000e+03 4.270000e+03 3.995000e+02 2.524991e+00
9.000000e+03 4.699000e+03 3.675000e+02 2.725129e+00
1.000000e+04 5.096000e+03 3.407000e+02 2.915122e+00
1.100000e+04 5.470000e+03 3.181000e+02 3.095024e+00
1.200000e+04 5.814000e+03 2.985000e+02 3.254960e+00
1.300000e+04 6.130000e+03 2.814000e+02 3.414807e+00
1.400000e+04 6.422000e+03 2.664000e+02 3.564639e+00
1.500000e+04 6.694000e+03 2.531000e+02 3.714427e+00
1.600000e+04 6.943000e+03 2.412000e+02 3.854242e+00
1.700000e+04 7.174000e+03 2.304000e+02 3.984084e+00
1.800000e+04 7.388000e+03 2.207000e+02 4.113892e+00
2.000000e+04 7.776000e+03 2.037000e+02 4.373526e+00
2.250000e+04 8.190000e+03 1.861000e+02 4.673153e+00
2.500000e+04 8.551000e+03 1.716000e+02 4.962763e+00
2.750000e+04 8.870000e+03 1.593000e+02 5.242373e+00
3.000000e+04 9.163000e+03 1.488000e+02 5.521953e+00
3.250000e+04 9.428000e+03 1.398000e+02 5.781604e+00
3.500000e+04 9.680000e+03 1.318000e+02 6.041246e+00
3.750000e+04 9.918000e+03 1.248000e+02 6.290912e+00
4.000000e+04 1.015000e+04 1.186000e+02 6.530601e+00
4.500000e+04 1.057000e+04 1.080000e+02 7.010145e+00
5.000000e+04 1.098000e+04 9.921000e+01 7.469722e+00
5.500000e+04 1.136000e+04 9.187000e+01 7.909329e+00
6.000000e+04 1.171000e+04 8.564000e+01 8.338953e+00
6.500000e+04 1.205000e+04 8.024000e+01 8.758590e+00
