# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+02 1.617000e+02 1.579000e+03 6.670540e-02
1.100000e+02 1.695000e+02 1.585000e+03 7.194032e-02
1.200000e+02 1.771000e+02 1.588000e+03 7.706082e-02
1.300000e+02 1.843000e+02 1.589000e+03 8.225090e-02
1.400000e+02 1.913000e+02 1.589000e+03 8.739256e-02
1.500000e+02 1.980000e+02 1.587000e+03 9.248919e-02
1.600000e+02 2.045000e+02 1.584000e+03 9.768117e-02
1.700000e+02 2.108000e+02 1.581000e+03 1.028036e-01
1.800000e+02 2.169000e+02 1.576000e+03 1.078820e-01
2.000000e+02 2.286000e+02 1.566000e+03 1.181742e-01
2.250000e+02 2.466000e+02 1.550000e+03 1.310242e-01
2.500000e+02 2.606000e+02 1.533000e+03 1.438954e-01
2.750000e+02 2.689000e+02 1.515000e+03 1.567493e-01
3.000000e+02 2.753000e+02 1.497000e+03 1.697956e-01
3.250000e+02 2.815000e+02 1.478000e+03 1.829387e-01
3.500000e+02 2.881000e+02 1.459000e+03 1.961788e-01
3.750000e+02 2.953000e+02 1.440000e+03 2.096114e-01
4.000000e+02 3.032000e+02 1.422000e+03 2.230226e-01
4.500000e+02 3.210000e+02 1.386000e+03 2.502768e-01
5.000000e+02 3.407000e+02 1.351000e+03 2.778179e-01
5.500000e+02 3.614000e+02 1.317000e+03 3.056115e-01
6.000000e+02 3.826000e+02 1.285000e+03 3.336010e-01
6.500000e+02 4.037000e+02 1.255000e+03 3.618782e-01
7.000000e+02 4.243000e+02 1.226000e+03 3.903133e-01
8.000000e+02 4.631000e+02 1.173000e+03 4.476158e-01
9.000000e+02 4.982000e+02 1.125000e+03 5.056392e-01
1.000000e+03 5.295000e+02 1.081000e+03 5.640803e-01
1.100000e+03 5.572000e+02 1.040000e+03 6.232050e-01
1.200000e+03 5.818000e+02 1.003000e+03 6.827689e-01
1.300000e+03 6.038000e+02 9.696000e+02 7.429015e-01
1.400000e+03 6.236000e+02 9.382000e+02 8.035724e-01
1.500000e+03 6.417000e+02 9.092000e+02 8.647376e-01
1.600000e+03 6.584000e+02 8.822000e+02 9.264425e-01
1.700000e+03 6.740000e+02 8.571000e+02 9.885245e-01
1.800000e+03 6.886000e+02 8.336000e+02 2.405059e+03
2.000000e+03 7.161000e+02 7.909000e+02 2.640710e+03
2.250000e+03 7.481000e+02 7.442000e+02 2.931429e+03
2.500000e+03 7.789000e+02 7.035000e+02 3.214982e+03
2.750000e+03 8.097000e+02 6.677000e+02 3.492145e+03
3.000000e+03 8.413000e+02 6.360000e+02 3.762947e+03
3.250000e+03 8.744000e+02 6.076000e+02 4.026732e+03
3.500000e+03 9.096000e+02 5.819000e+02 4.282104e+03
3.750000e+03 9.475000e+02 5.587000e+02 4.529801e+03
4.000000e+03 9.883000e+02 5.375000e+02 4.769116e+03
4.500000e+03 1.079000e+03 5.003000e+02 5.229790e+03
5.000000e+03 1.182000e+03 4.686000e+02 5.651300e+03
5.500000e+03 1.295000e+03 4.412000e+02 6.035129e+03
6.000000e+03 1.418000e+03 4.172000e+02 6.381937e+03
6.500000e+03 1.550000e+03 3.960000e+02 6.695288e+03
7.000000e+03 1.688000e+03 3.771000e+02 6.976462e+03
8.000000e+03 1.978000e+03 3.449000e+02 7.471049e+03
9.000000e+03 2.280000e+03 3.184000e+02 7.872215e+03
1.000000e+04 2.586000e+03 2.961000e+02 8.203558e+03
1.100000e+04 2.891000e+03 2.770000e+02 8.479103e+03
1.200000e+04 3.191000e+03 2.606000e+02 8.712826e+03
1.300000e+04 3.482000e+03 2.461000e+02 8.911665e+03
1.400000e+04 3.763000e+03 2.334000e+02 9.084870e+03
1.500000e+04 4.033000e+03 2.221000e+02 9.235840e+03
1.600000e+04 4.291000e+03 2.119000e+02 9.369783e+03
1.700000e+04 4.537000e+03 2.027000e+02 9.489212e+03
1.800000e+04 4.772000e+03 1.944000e+02 9.596411e+03
2.000000e+04 5.207000e+03 1.798000e+02 9.790305e+03
2.250000e+04 5.692000e+03 1.647000e+02 9.993407e+03
2.500000e+04 6.119000e+03 1.521000e+02 1.016195e+04
2.750000e+04 6.498000e+03 1.415000e+02 1.030589e+04
3.000000e+04 6.835000e+03 1.324000e+02 1.043036e+04
