# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+02 8.420000e+01 1.877000e+03 6.319343e-02
1.100000e+02 8.831000e+01 1.894000e+03 6.786825e-02
1.200000e+02 9.224000e+01 1.908000e+03 7.244846e-02
1.300000e+02 9.600000e+01 1.919000e+03 7.710032e-02
1.400000e+02 9.963000e+01 1.927000e+03 8.168121e-02
1.500000e+02 1.031000e+02 1.934000e+03 8.612439e-02
1.600000e+02 1.065000e+02 1.939000e+03 9.068241e-02
1.700000e+02 1.098000e+02 1.942000e+03 9.526395e-02
1.800000e+02 1.130000e+02 1.945000e+03 9.970822e-02
2.000000e+02 1.191000e+02 1.946000e+03 1.087120e-01
2.250000e+02 1.263000e+02 1.943000e+03 1.199894e-01
2.500000e+02 1.331000e+02 1.937000e+03 1.311681e-01
2.750000e+02 1.396000e+02 1.928000e+03 1.424254e-01
3.000000e+02 1.685000e+02 1.917000e+03 1.536838e-01
3.250000e+02 1.877000e+02 1.905000e+03 1.648075e-01
3.500000e+02 1.997000e+02 1.891000e+03 1.760676e-01
3.750000e+02 2.072000e+02 1.877000e+03 1.871932e-01
4.000000e+02 2.120000e+02 1.863000e+03 1.985293e-01
4.500000e+02 2.181000e+02 1.832000e+03 2.212654e-01
5.000000e+02 2.233000e+02 1.802000e+03 2.443309e-01
5.500000e+02 2.296000e+02 1.771000e+03 2.676503e-01
6.000000e+02 2.376000e+02 1.740000e+03 2.913746e-01
6.500000e+02 2.473000e+02 1.710000e+03 3.154108e-01
7.000000e+02 2.586000e+02 1.681000e+03 3.396220e-01
8.000000e+02 2.848000e+02 1.625000e+03 3.887659e-01
9.000000e+02 3.145000e+02 1.573000e+03 4.387636e-01
1.000000e+03 3.461000e+02 1.524000e+03 4.892324e-01
1.100000e+03 3.787000e+02 1.478000e+03 5.402694e-01
1.200000e+03 4.116000e+02 1.435000e+03 5.915655e-01
1.300000e+03 4.441000e+02 1.395000e+03 6.432370e-01
1.400000e+03 4.760000e+02 1.357000e+03 6.951047e-01
1.500000e+03 5.071000e+02 1.322000e+03 7.472178e-01
1.600000e+03 5.373000e+02 1.289000e+03 7.994003e-01
1.700000e+03 5.664000e+02 1.257000e+03 8.517621e-01
1.800000e+03 5.945000e+02 1.227000e+03 9.041938e-01
2.000000e+03 6.477000e+02 1.173000e+03 1.009411e+00
2.250000e+03 7.088000e+02 1.112000e+03 1.137358e+00
2.500000e+03 7.646000e+02 1.058000e+03 1.269363e+00
2.750000e+03 8.157000e+02 1.010000e+03 1.401239e+00
3.000000e+03 8.627000e+02 9.672000e+02 1.533000e+00
3.250000e+03 9.065000e+02 9.282000e+02 1.664650e+00
3.500000e+03 9.475000e+02 8.927000e+02 1.796177e+00
3.750000e+03 9.865000e+02 8.603000e+02 1.927639e+00
4.000000e+03 1.024000e+03 8.305000e+02 2.059009e+00
4.500000e+03 1.097000e+03 7.776000e+02 2.321654e+00
5.000000e+03 1.171000e+03 7.320000e+02 2.574133e+00
5.500000e+03 1.248000e+03 6.922000e+02 2.826273e+00
6.000000e+03 1.330000e+03 6.572000e+02 3.078122e+00
6.500000e+03 1.416000e+03 6.260000e+02 3.319806e+00
7.000000e+03 1.507000e+03 5.980000e+02 3.551364e+00
8.000000e+03 1.700000e+03 5.499000e+02 4.004024e+00
9.000000e+03 1.907000e+03 5.099000e+02 4.416176e+00
1.000000e+04 2.123000e+03 4.760000e+02 4.807722e+00
1.100000e+04 2.344000e+03 4.469000e+02 5.168911e+00
1.200000e+04 2.566000e+03 4.216000e+02 5.509739e+00
1.300000e+04 2.788000e+03 3.993000e+02 5.830325e+00
1.400000e+04 3.007000e+03 3.795000e+02 6.130725e+00
1.500000e+04 3.222000e+03 3.619000e+02 6.411019e+00
1.600000e+04 3.432000e+03 3.460000e+02 6.681143e+00
1.700000e+04 3.635000e+03 3.316000e+02 6.931253e+00
1.800000e+04 3.832000e+03 3.184000e+02 7.181185e+00
2.000000e+04 4.204000e+03 2.954000e+02 7.631187e+00
2.250000e+04 4.630000e+03 2.714000e+02 8.160919e+00
2.500000e+04 5.015000e+03 2.513000e+02 8.640552e+00
2.750000e+04 5.362000e+03 2.343000e+02 9.099994e+00
3.000000e+04 5.675000e+03 2.197000e+02 9.529409e+00
