# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+02 9.973000e+01 1.624000e+03 6.766964e-02
1.100000e+02 1.046000e+02 1.632000e+03 7.290528e-02
1.200000e+02 1.093000e+02 1.637000e+03 7.812100e-02
1.300000e+02 1.137000e+02 1.639000e+03 8.333727e-02
1.400000e+02 1.180000e+02 1.641000e+03 8.854891e-02
1.500000e+02 1.222000e+02 1.640000e+03 9.376599e-02
1.600000e+02 1.262000e+02 1.639000e+03 9.895868e-02
1.700000e+02 1.300000e+02 1.636000e+03 1.041519e-01
1.800000e+02 1.338000e+02 1.633000e+03 1.093700e-01
2.000000e+02 1.410000e+02 1.624000e+03 1.198341e-01
2.250000e+02 1.496000e+02 1.611000e+03 1.329191e-01
2.500000e+02 1.696000e+02 1.596000e+03 1.460057e-01
2.750000e+02 1.823000e+02 1.579000e+03 1.591654e-01
3.000000e+02 1.902000e+02 1.562000e+03 1.723265e-01
3.250000e+02 1.958000e+02 1.544000e+03 1.856616e-01
3.500000e+02 2.007000e+02 1.526000e+03 1.991166e-01
3.750000e+02 2.055000e+02 1.508000e+03 2.126636e-01
4.000000e+02 2.106000e+02 1.490000e+03 2.262896e-01
4.500000e+02 2.225000e+02 1.454000e+03 2.539460e-01
5.000000e+02 2.365000e+02 1.420000e+03 2.820120e-01
5.500000e+02 2.524000e+02 1.387000e+03 3.104607e-01
6.000000e+02 2.697000e+02 1.355000e+03 3.391839e-01
6.500000e+02 2.880000e+02 1.325000e+03 3.681944e-01
7.000000e+02 3.068000e+02 1.296000e+03 3.974966e-01
8.000000e+02 3.452000e+02 1.242000e+03 4.565701e-01
9.000000e+02 3.833000e+02 1.192000e+03 5.162876e-01
1.000000e+03 4.201000e+02 1.147000e+03 5.764533e-01
1.100000e+03 4.554000e+02 1.106000e+03 6.369396e-01
1.200000e+03 4.889000e+02 1.068000e+03 6.976899e-01
1.300000e+03 5.208000e+02 1.033000e+03 7.586633e-01
1.400000e+03 5.511000e+02 1.001000e+03 8.198203e-01
1.500000e+03 5.800000e+02 9.707000e+02 8.811086e-01
1.600000e+03 6.076000e+02 9.426000e+02 9.424658e-01
1.700000e+03 6.340000e+02 9.164000e+02 1.003959e+00
1.800000e+03 6.595000e+02 8.919000e+02 2.462247e+03
2.000000e+03 7.078000e+02 8.472000e+02 2.693507e+03
2.250000e+03 7.643000e+02 7.983000e+02 2.973401e+03
2.500000e+03 8.174000e+02 7.555000e+02 3.241952e+03
2.750000e+03 8.680000e+02 7.178000e+02 3.500664e+03
3.000000e+03 9.168000e+02 6.843000e+02 3.748135e+03
3.250000e+03 9.647000e+02 6.542000e+02 3.986519e+03
3.500000e+03 1.012000e+03 6.271000e+02 4.215821e+03
3.750000e+03 1.060000e+03 6.024000e+02 4.436051e+03
4.000000e+03 1.109000e+03 5.800000e+02 4.645816e+03
4.500000e+03 1.211000e+03 5.403000e+02 5.048753e+03
5.000000e+03 1.320000e+03 5.065000e+02 5.416749e+03
5.500000e+03 1.437000e+03 4.772000e+02 5.750504e+03
6.000000e+03 1.559000e+03 4.516000e+02 6.054944e+03
6.500000e+03 1.686000e+03 4.289000e+02 6.330748e+03
7.000000e+03 1.818000e+03 4.087000e+02 6.581353e+03
8.000000e+03 2.089000e+03 3.741000e+02 7.027430e+03
9.000000e+03 2.364000e+03 3.456000e+02 7.396863e+03
1.000000e+04 2.638000e+03 3.216000e+02 7.708553e+03
1.100000e+04 2.905000e+03 3.011000e+02 7.972172e+03
1.200000e+04 3.164000e+03 2.833000e+02 8.199762e+03
1.300000e+04 3.411000e+03 2.678000e+02 8.397428e+03
1.400000e+04 3.648000e+03 2.540000e+02 8.571733e+03
1.500000e+04 3.872000e+03 2.418000e+02 8.726742e+03
1.600000e+04 4.084000e+03 2.308000e+02 8.865996e+03
1.700000e+04 4.285000e+03 2.209000e+02 8.991639e+03
1.800000e+04 4.475000e+03 2.118000e+02 9.105829e+03
2.000000e+04 4.825000e+03 1.960000e+02 9.315764e+03
2.250000e+04 5.212000e+03 1.796000e+02 9.541930e+03
2.500000e+04 5.553000e+03 1.660000e+02 9.733693e+03
2.750000e+04 5.856000e+03 1.545000e+02 9.898825e+03
3.000000e+04 6.128000e+03 1.446000e+02 1.004448e+04
