# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+02 9.414000e+01 1.845000e+03 6.335716e-02
1.100000e+02 9.874000e+01 1.860000e+03 6.803146e-02
1.200000e+02 1.031000e+02 1.873000e+03 7.272592e-02
1.300000e+02 1.073000e+02 1.882000e+03 7.740110e-02
1.400000e+02 1.114000e+02 1.890000e+03 8.198152e-02
1.500000e+02 1.153000e+02 1.895000e+03 8.661443e-02
1.600000e+02 1.191000e+02 1.899000e+03 9.119550e-02
1.700000e+02 1.227000e+02 1.902000e+03 9.575328e-02
1.800000e+02 1.263000e+02 1.903000e+03 1.003347e-01
2.000000e+02 1.331000e+02 1.902000e+03 1.094328e-01
2.250000e+02 1.412000e+02 1.898000e+03 1.208233e-01
2.500000e+02 1.489000e+02 1.890000e+03 1.321966e-01
2.750000e+02 1.598000e+02 1.880000e+03 1.435892e-01
3.000000e+02 1.733000e+02 1.867000e+03 1.550383e-01
3.250000e+02 1.833000e+02 1.854000e+03 1.665105e-01
3.500000e+02 1.914000e+02 1.840000e+03 1.779616e-01
3.750000e+02 1.982000e+02 1.825000e+03 1.895096e-01
4.000000e+02 2.044000e+02 1.809000e+03 2.010584e-01
4.500000e+02 2.159000e+02 1.778000e+03 2.244293e-01
5.000000e+02 2.272000e+02 1.746000e+03 2.481089e-01
5.500000e+02 2.390000e+02 1.715000e+03 2.720798e-01
6.000000e+02 2.514000e+02 1.684000e+03 2.963421e-01
6.500000e+02 2.644000e+02 1.653000e+03 3.207993e-01
7.000000e+02 2.778000e+02 1.624000e+03 3.455115e-01
8.000000e+02 3.057000e+02 1.568000e+03 3.956104e-01
9.000000e+02 3.342000e+02 1.515000e+03 4.464337e-01
1.000000e+03 3.631000e+02 1.467000e+03 4.980536e-01
1.100000e+03 3.920000e+02 1.421000e+03 5.501411e-01
1.200000e+03 4.206000e+02 1.379000e+03 6.027818e-01
1.300000e+03 4.490000e+02 1.339000e+03 6.557945e-01
1.400000e+03 4.770000e+02 1.302000e+03 7.091859e-01
1.500000e+03 5.046000e+02 1.267000e+03 7.629351e-01
1.600000e+03 5.319000e+02 1.234000e+03 8.167661e-01
1.700000e+03 5.587000e+02 1.204000e+03 8.708790e-01
1.800000e+03 5.852000e+02 1.175000e+03 9.251565e-01
2.000000e+03 6.367000e+02 1.121000e+03 1.036001e+00
2.250000e+03 6.986000e+02 1.062000e+03 1.168370e+00
2.500000e+03 7.577000e+02 1.010000e+03 1.310334e+00
2.750000e+03 8.139000e+02 9.633000e+02 1.442384e+00
3.000000e+03 8.673000e+02 9.216000e+02 1.574272e+00
3.250000e+03 9.180000e+02 8.839000e+02 1.706030e+00
3.500000e+03 9.663000e+02 8.496000e+02 1.847443e+00
3.750000e+03 1.013000e+03 8.183000e+02 1.978943e+00
4.000000e+03 1.058000e+03 7.897000e+02 2.110349e+00
4.500000e+03 1.145000e+03 7.388000e+02 2.363138e+00
5.000000e+03 1.233000e+03 6.950000e+02 2.625322e+00
5.500000e+03 1.322000e+03 6.568000e+02 2.867468e+00
6.000000e+03 1.413000e+03 6.232000e+02 3.109253e+00
6.500000e+03 1.508000e+03 5.934000e+02 3.350729e+00
7.000000e+03 1.606000e+03 5.666000e+02 3.572187e+00
8.000000e+03 1.809000e+03 5.207000e+02 4.004629e+00
9.000000e+03 2.020000e+03 4.825000e+02 4.416339e+00
1.000000e+04 2.236000e+03 4.502000e+02 4.787750e+00
1.100000e+04 2.452000e+03 4.225000e+02 5.138740e+00
1.200000e+04 2.668000e+03 3.984000e+02 5.469423e+00
1.300000e+04 2.882000e+03 3.772000e+02 5.779897e+00
1.400000e+04 3.091000e+03 3.584000e+02 6.080136e+00
1.500000e+04 3.297000e+03 3.416000e+02 6.350399e+00
1.600000e+04 3.496000e+03 3.265000e+02 6.620419e+00
1.700000e+04 3.690000e+03 3.128000e+02 6.870438e+00
1.800000e+04 3.879000e+03 3.004000e+02 7.110376e+00
2.000000e+04 4.236000e+03 2.786000e+02 7.560275e+00
2.250000e+04 4.650000e+03 2.558000e+02 8.089915e+00
2.500000e+04 5.028000e+03 2.368000e+02 8.569487e+00
2.750000e+04 5.373000e+03 2.207000e+02 9.028898e+00
3.000000e+04 5.690000e+03 2.069000e+02 9.458289e+00
