# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+02 1.117000e+02 9.642000e+02 9.179303e-02
1.100000e+02 1.172000e+02 9.549000e+02 1.000458e-01
1.200000e+02 1.224000e+02 9.451000e+02 1.083929e-01
1.300000e+02 1.274000e+02 9.350000e+02 1.168343e-01
1.400000e+02 1.352000e+02 9.247000e+02 1.252769e-01
1.500000e+02 1.505000e+02 9.143000e+02 1.337203e-01
1.600000e+02 1.613000e+02 9.039000e+02 1.422296e-01
1.700000e+02 1.689000e+02 8.936000e+02 1.506746e-01
1.800000e+02 1.743000e+02 8.834000e+02 1.591857e-01
2.000000e+02 1.817000e+02 8.633000e+02 1.763773e-01
2.250000e+02 1.885000e+02 8.392000e+02 1.982662e-01
2.500000e+02 1.954000e+02 8.163000e+02 2.205834e-01
2.750000e+02 2.033000e+02 7.946000e+02 2.432542e-01
3.000000e+02 2.126000e+02 7.740000e+02 2.663066e-01
3.250000e+02 2.231000e+02 7.545000e+02 2.895518e-01
3.500000e+02 2.347000e+02 7.361000e+02 3.130585e-01
3.750000e+02 2.471000e+02 7.187000e+02 3.367776e-01
4.000000e+02 2.602000e+02 7.022000e+02 3.605692e-01
4.500000e+02 2.876000e+02 6.717000e+02 4.085355e-01
5.000000e+02 3.158000e+02 6.441000e+02 4.567000e-01
5.500000e+02 3.440000e+02 6.190000e+02 5.046659e-01
6.000000e+02 3.719000e+02 5.962000e+02 5.526680e-01
6.500000e+02 3.992000e+02 5.752000e+02 6.004021e-01
7.000000e+02 4.257000e+02 5.559000e+02 6.478688e-01
8.000000e+02 4.759000e+02 5.215000e+02 7.420245e-01
9.000000e+02 5.228000e+02 4.918000e+02 8.348908e-01
1.000000e+03 5.665000e+02 4.659000e+02 9.263795e-01
1.100000e+03 6.075000e+02 4.429000e+02 1.016533e+00
1.200000e+03 6.462000e+02 4.225000e+02 1.108117e+00
1.300000e+03 6.828000e+02 4.041000e+02 1.189870e+00
1.400000e+03 7.175000e+02 3.875000e+02 1.281081e+00
1.500000e+03 7.508000e+02 3.725000e+02 1.362483e+00
1.600000e+03 7.826000e+02 3.587000e+02 1.443730e+00
1.700000e+03 8.134000e+02 3.461000e+02 1.534552e+00
1.800000e+03 8.432000e+02 3.344000e+02 1.615559e+00
2.000000e+03 9.010000e+02 3.137000e+02 1.767577e+00
2.250000e+03 9.718000e+02 2.916000e+02 1.959512e+00
2.500000e+03 1.044000e+03 2.728000e+02 2.150911e+00
2.750000e+03 1.118000e+03 2.565000e+02 2.332131e+00
3.000000e+03 1.196000e+03 2.424000e+02 2.503153e+00
3.250000e+03 1.278000e+03 2.299000e+02 2.664051e+00
3.500000e+03 1.364000e+03 2.188000e+02 2.814823e+00
3.750000e+03 1.452000e+03 2.088000e+02 2.965314e+00
4.000000e+03 1.543000e+03 1.999000e+02 3.105743e+00
4.500000e+03 1.730000e+03 1.843000e+02 3.376261e+00
5.000000e+03 1.921000e+03 1.712000e+02 3.616604e+00
5.500000e+03 2.113000e+03 1.601000e+02 3.846582e+00
6.000000e+03 2.302000e+03 1.505000e+02 4.046618e+00
6.500000e+03 2.488000e+03 1.421000e+02 4.236461e+00
7.000000e+03 2.668000e+03 1.346000e+02 4.426086e+00
8.000000e+03 3.009000e+03 1.221000e+02 4.755565e+00
9.000000e+03 3.321000e+03 1.119000e+02 5.054908e+00
1.000000e+04 3.604000e+03 1.035000e+02 5.324222e+00
1.100000e+04 3.859000e+03 9.632000e+01 5.583448e+00
1.200000e+04 4.090000e+03 9.018000e+01 5.822703e+00
1.300000e+04 4.298000e+03 8.485000e+01 6.061875e+00
1.400000e+04 4.487000e+03 8.017000e+01 6.281148e+00
1.500000e+04 4.658000e+03 7.602000e+01 6.490453e+00
1.600000e+04 4.815000e+03 7.232000e+01 6.699722e+00
1.700000e+04 4.957000e+03 6.900000e+01 6.899035e+00
1.800000e+04 5.088000e+03 6.599000e+01 7.088410e+00
2.000000e+04 5.320000e+03 6.077000e+01 7.467228e+00
2.250000e+04 5.565000e+03 5.539000e+01 7.915921e+00
2.500000e+04 5.771000e+03 5.095000e+01 8.354672e+00
2.750000e+04 5.946000e+03 4.722000e+01 8.773540e+00
3.000000e+04 6.096000e+03 4.405000e+01 9.182471e+00
