# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+02 1.688000e+02 1.784000e+03 6.274353e-02
1.100000e+02 1.771000e+02 1.797000e+03 6.741765e-02
1.200000e+02 1.849000e+02 1.807000e+03 7.209237e-02
1.300000e+02 1.925000e+02 1.815000e+03 7.667249e-02
1.400000e+02 1.998000e+02 1.820000e+03 8.122894e-02
1.500000e+02 2.068000e+02 1.824000e+03 8.580967e-02
1.600000e+02 2.136000e+02 1.826000e+03 9.036697e-02
1.700000e+02 2.201000e+02 1.827000e+03 9.481034e-02
1.800000e+02 2.265000e+02 1.827000e+03 9.936846e-02
2.000000e+02 2.388000e+02 1.824000e+03 1.083944e-01
2.250000e+02 2.533000e+02 1.817000e+03 1.195522e-01
2.500000e+02 2.670000e+02 1.806000e+03 1.308300e-01
2.750000e+02 2.910000e+02 1.794000e+03 1.419908e-01
3.000000e+02 3.060000e+02 1.780000e+03 1.531304e-01
3.250000e+02 3.149000e+02 1.765000e+03 1.643891e-01
3.500000e+02 3.208000e+02 1.749000e+03 1.756091e-01
3.750000e+02 3.255000e+02 1.733000e+03 1.869480e-01
4.000000e+02 3.300000e+02 1.717000e+03 1.983797e-01
4.500000e+02 3.403000e+02 1.684000e+03 2.214247e-01
5.000000e+02 3.532000e+02 1.651000e+03 2.447787e-01
5.500000e+02 3.688000e+02 1.619000e+03 2.683869e-01
6.000000e+02 3.865000e+02 1.587000e+03 2.921110e-01
6.500000e+02 4.057000e+02 1.557000e+03 3.161106e-01
7.000000e+02 4.260000e+02 1.527000e+03 3.403021e-01
8.000000e+02 4.678000e+02 1.471000e+03 3.888883e-01
9.000000e+02 5.096000e+02 1.420000e+03 4.379071e-01
1.000000e+03 5.498000e+02 1.372000e+03 4.873014e-01
1.100000e+03 5.877000e+02 1.327000e+03 5.368585e-01
1.200000e+03 6.229000e+02 1.286000e+03 5.866423e-01
1.300000e+03 6.553000e+02 1.247000e+03 6.366089e-01
1.400000e+03 6.852000e+02 1.211000e+03 6.868402e-01
1.500000e+03 7.125000e+02 1.178000e+03 7.372368e-01
1.600000e+03 7.375000e+02 1.146000e+03 7.879138e-01
1.700000e+03 7.605000e+02 1.117000e+03 8.387593e-01
1.800000e+03 7.817000e+02 1.089000e+03 8.898857e-01
2.000000e+03 8.191000e+02 1.038000e+03 9.928050e-01
2.250000e+03 8.585000e+02 9.817000e+02 1.125689e+00
2.500000e+03 8.917000e+02 9.321000e+02 1.257501e+00
2.750000e+03 9.202000e+02 8.881000e+02 1.389262e+00
3.000000e+03 9.454000e+02 8.487000e+02 1.520955e+00
3.250000e+03 9.684000e+02 8.133000e+02 1.652594e+00
3.500000e+03 9.902000e+02 7.811000e+02 1.794003e+00
3.750000e+03 1.012000e+03 7.518000e+02 1.925552e+00
4.000000e+03 1.033000e+03 7.249000e+02 2.066880e+00
4.500000e+03 1.080000e+03 6.774000e+02 2.339700e+00
5.000000e+03 1.134000e+03 6.366000e+02 2.622111e+00
5.500000e+03 1.196000e+03 6.010000e+02 2.894423e+00
6.000000e+03 1.266000e+03 5.698000e+02 3.156587e+00
6.500000e+03 1.344000e+03 5.421000e+02 3.418455e+00
7.000000e+03 1.428000e+03 5.174000e+02 3.670161e+00
8.000000e+03 1.615000e+03 4.749000e+02 4.163091e+00
9.000000e+03 1.821000e+03 4.397000e+02 4.605516e+00
1.000000e+04 2.041000e+03 4.099000e+02 5.027209e+00
1.100000e+04 2.270000e+03 3.844000e+02 5.408543e+00
1.200000e+04 2.505000e+03 3.622000e+02 5.759538e+00
1.300000e+04 2.741000e+03 3.428000e+02 6.090214e+00
1.400000e+04 2.977000e+03 3.256000e+02 6.400659e+00
1.500000e+04 3.211000e+03 3.102000e+02 6.690946e+00
1.600000e+04 3.442000e+03 2.963000e+02 6.961125e+00
1.700000e+04 3.668000e+03 2.838000e+02 7.221178e+00
1.800000e+04 3.888000e+03 2.725000e+02 7.461196e+00
2.000000e+04 4.310000e+03 2.525000e+02 7.911173e+00
2.250000e+04 4.801000e+03 2.317000e+02 8.430869e+00
2.500000e+04 5.252000e+03 2.144000e+02 8.900436e+00
2.750000e+04 5.665000e+03 1.998000e+02 9.339872e+00
3.000000e+04 6.042000e+03 1.872000e+02 9.749258e+00
