# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+02 1.574000e+02 1.184000e+03 7.938079e-02
1.100000e+02 1.650000e+02 1.179000e+03 8.607595e-02
1.200000e+02 1.724000e+02 1.173000e+03 9.272713e-02
1.300000e+02 1.794000e+02 1.166000e+03 9.951829e-02
1.400000e+02 1.862000e+02 1.158000e+03 1.062166e-01
1.500000e+02 1.927000e+02 1.150000e+03 1.129158e-01
1.600000e+02 1.991000e+02 1.142000e+03 1.197098e-01
1.700000e+02 2.017000e+02 1.133000e+03 1.265046e-01
1.800000e+02 1.916000e+02 1.124000e+03 1.333943e-01
2.000000e+02 1.757000e+02 1.106000e+03 1.474852e-01
2.250000e+02 1.663000e+02 1.083000e+03 1.656632e-01
2.500000e+02 1.658000e+02 1.060000e+03 1.842033e-01
2.750000e+02 1.706000e+02 1.038000e+03 2.031449e-01
3.000000e+02 1.785000e+02 1.017000e+03 2.222790e-01
3.250000e+02 1.883000e+02 9.960000e+02 2.417191e-01
3.500000e+02 1.990000e+02 9.761000e+02 2.613271e-01
3.750000e+02 2.102000e+02 9.571000e+02 2.810750e-01
4.000000e+02 2.217000e+02 9.388000e+02 3.009728e-01
4.500000e+02 2.448000e+02 9.043000e+02 3.411912e-01
5.000000e+02 2.674000e+02 8.726000e+02 3.817684e-01
5.500000e+02 2.893000e+02 8.433000e+02 4.227889e-01
6.000000e+02 3.103000e+02 8.161000e+02 4.639961e-01
6.500000e+02 3.304000e+02 7.909000e+02 5.055524e-01
7.000000e+02 3.497000e+02 7.675000e+02 5.472620e-01
8.000000e+02 3.866000e+02 7.252000e+02 6.313264e-01
9.000000e+02 4.218000e+02 6.880000e+02 7.158434e-01
1.000000e+03 4.560000e+02 6.551000e+02 8.005484e-01
1.100000e+03 4.896000e+02 6.256000e+02 8.851138e-01
1.200000e+03 5.228000e+02 5.992000e+02 9.694527e-01
1.300000e+03 5.557000e+02 5.752000e+02 2.658158e+03
1.400000e+03 5.883000e+02 5.534000e+02 2.826983e+03
1.500000e+03 6.206000e+02 5.335000e+02 2.990183e+03
1.600000e+03 6.525000e+02 5.151000e+02 3.148504e+03
1.700000e+03 6.839000e+02 4.982000e+02 3.301118e+03
1.800000e+03 7.148000e+02 4.826000e+02 3.448188e+03
2.000000e+03 7.746000e+02 4.545000e+02 3.731962e+03
2.250000e+03 8.459000e+02 4.243000e+02 4.061706e+03
2.500000e+03 9.139000e+02 3.984000e+02 4.366346e+03
2.750000e+03 9.796000e+02 3.759000e+02 4.647988e+03
3.000000e+03 1.044000e+03 3.561000e+02 4.908737e+03
3.250000e+03 1.109000e+03 3.386000e+02 5.150688e+03
3.500000e+03 1.174000e+03 3.230000e+02 5.375232e+03
3.750000e+03 1.240000e+03 3.089000e+02 5.584462e+03
4.000000e+03 1.307000e+03 2.962000e+02 5.779733e+03
4.500000e+03 1.443000e+03 2.740000e+02 6.135897e+03
5.000000e+03 1.583000e+03 2.553000e+02 6.445862e+03
5.500000e+03 1.726000e+03 2.393000e+02 6.717971e+03
6.000000e+03 1.869000e+03 2.254000e+02 6.956307e+03
6.500000e+03 2.013000e+03 2.132000e+02 7.167184e+03
7.000000e+03 2.157000e+03 2.024000e+02 7.354780e+03
8.000000e+03 2.443000e+03 1.841000e+02 7.682488e+03
9.000000e+03 2.723000e+03 1.692000e+02 7.949852e+03
1.000000e+04 2.995000e+03 1.567000e+02 8.171703e+03
1.100000e+04 3.258000e+03 1.462000e+02 8.359340e+03
1.200000e+04 3.512000e+03 1.371000e+02 8.519094e+03
1.300000e+04 3.756000e+03 1.291000e+02 8.658720e+03
1.400000e+04 3.990000e+03 1.222000e+02 8.780356e+03
1.500000e+04 4.213000e+03 1.160000e+02 8.888339e+03
1.600000e+04 4.427000e+03 1.105000e+02 8.984837e+03
1.700000e+04 4.630000e+03 1.055000e+02 9.071861e+03
1.800000e+04 4.824000e+03 1.010000e+02 9.150961e+03
2.000000e+04 5.183000e+03 9.315000e+01 9.296821e+03
2.250000e+04 5.583000e+03 8.504000e+01 9.454588e+03
2.500000e+04 5.933000e+03 7.834000e+01 9.586887e+03
2.750000e+04 6.239000e+03 7.270000e+01 9.701848e+03
3.000000e+04 6.507000e+03 6.789000e+01 9.802444e+03
