# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+02 1.077000e+02 1.366000e+03 7.410789e-02
1.100000e+02 1.129000e+02 1.365000e+03 8.030816e-02
1.200000e+02 1.180000e+02 1.363000e+03 8.639410e-02
1.300000e+02 1.228000e+02 1.359000e+03 9.247475e-02
1.400000e+02 1.274000e+02 1.354000e+03 9.865602e-02
1.500000e+02 1.319000e+02 1.348000e+03 1.047436e-01
1.600000e+02 1.362000e+02 1.342000e+03 1.108996e-01
1.700000e+02 1.404000e+02 1.335000e+03 1.170564e-01
1.800000e+02 1.445000e+02 1.328000e+03 1.233341e-01
2.000000e+02 1.578000e+02 1.312000e+03 1.357248e-01
2.250000e+02 1.696000e+02 1.292000e+03 1.512995e-01
2.500000e+02 1.770000e+02 1.271000e+03 1.671156e-01
2.750000e+02 1.830000e+02 1.249000e+03 1.831296e-01
3.000000e+02 1.890000e+02 1.229000e+03 1.992352e-01
3.250000e+02 1.954000e+02 1.208000e+03 2.156524e-01
3.500000e+02 2.025000e+02 1.188000e+03 2.321608e-01
3.750000e+02 2.103000e+02 1.168000e+03 2.488669e-01
4.000000e+02 2.188000e+02 1.149000e+03 2.657413e-01
4.500000e+02 2.376000e+02 1.113000e+03 2.999186e-01
5.000000e+02 2.581000e+02 1.079000e+03 3.345734e-01
5.500000e+02 2.797000e+02 1.047000e+03 3.694795e-01
6.000000e+02 3.020000e+02 1.017000e+03 4.047686e-01
6.500000e+02 3.246000e+02 9.890000e+02 4.402318e-01
7.000000e+02 3.472000e+02 9.627000e+02 4.758864e-01
8.000000e+02 3.918000e+02 9.146000e+02 5.475889e-01
9.000000e+02 4.349000e+02 8.718000e+02 6.194895e-01
1.000000e+03 4.760000e+02 8.334000e+02 6.913811e-01
1.100000e+03 5.152000e+02 7.988000e+02 7.632494e-01
1.200000e+03 5.523000e+02 7.674000e+02 8.348434e-01
1.300000e+03 5.876000e+02 7.389000e+02 9.063408e-01
1.400000e+03 6.212000e+02 7.127000e+02 9.774527e-01
1.500000e+03 6.531000e+02 6.886000e+02 1.051977e+00
1.600000e+03 6.835000e+02 6.663000e+02 1.123232e+00
1.700000e+03 7.125000e+02 6.457000e+02 1.184686e+00
1.800000e+03 7.401000e+02 6.266000e+02 1.255805e+00
2.000000e+03 7.918000e+02 5.920000e+02 1.397867e+00
2.250000e+03 8.507000e+02 5.546000e+02 1.570297e+00
2.500000e+03 9.045000e+02 5.223000e+02 1.742407e+00
2.750000e+03 9.549000e+02 4.941000e+02 1.904471e+00
3.000000e+03 1.004000e+03 4.692000e+02 2.066275e+00
3.250000e+03 1.052000e+03 4.470000e+02 2.227855e+00
3.500000e+03 1.101000e+03 4.272000e+02 2.389219e+00
3.750000e+03 1.151000e+03 4.092000e+02 2.550387e+00
4.000000e+03 1.202000e+03 3.930000e+02 2.701584e+00
4.500000e+03 1.311000e+03 3.645000e+02 2.993722e+00
5.000000e+03 1.426000e+03 3.404000e+02 3.275387e+00
5.500000e+03 1.548000e+03 3.197000e+02 3.546638e+00
6.000000e+03 1.674000e+03 3.016000e+02 3.797693e+00
6.500000e+03 1.804000e+03 2.857000e+02 4.038494e+00
7.000000e+03 1.937000e+03 2.716000e+02 4.259179e+00
8.000000e+03 2.206000e+03 2.477000e+02 4.680109e+00
9.000000e+03 2.475000e+03 2.280000e+02 5.060570e+00
1.000000e+04 2.740000e+03 2.116000e+02 5.410688e+00
1.100000e+04 2.998000e+03 1.976000e+02 5.730644e+00
1.200000e+04 3.247000e+03 1.856000e+02 6.030413e+00
1.300000e+04 3.486000e+03 1.750000e+02 6.300199e+00
1.400000e+04 3.715000e+03 1.658000e+02 6.569761e+00
1.500000e+04 3.933000e+03 1.575000e+02 6.809424e+00
1.600000e+04 4.140000e+03 1.501000e+02 7.048952e+00
1.700000e+04 4.337000e+03 1.435000e+02 7.268545e+00
1.800000e+04 4.525000e+03 1.375000e+02 7.488062e+00
2.000000e+04 4.871000e+03 1.269000e+02 7.897216e+00
2.250000e+04 5.258000e+03 1.160000e+02 8.376189e+00
2.500000e+04 5.598000e+03 1.070000e+02 8.825160e+00
2.750000e+04 5.899000e+03 9.943000e+01 9.244194e+00
3.000000e+04 6.166000e+03 9.293000e+01 9.653206e+00
