# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+02 2.187000e+02 1.980000e+03 5.841455e-02
1.100000e+02 2.293000e+02 2.001000e+03 6.257156e-02
1.200000e+02 2.395000e+02 2.018000e+03 6.670540e-02
1.300000e+02 2.493000e+02 2.032000e+03 7.074440e-02
1.400000e+02 2.587000e+02 2.044000e+03 7.478375e-02
1.500000e+02 2.678000e+02 2.053000e+03 7.882341e-02
1.600000e+02 2.766000e+02 2.060000e+03 8.284467e-02
1.700000e+02 2.851000e+02 2.066000e+03 8.678923e-02
1.800000e+02 2.934000e+02 2.070000e+03 9.071543e-02
2.000000e+02 3.092000e+02 2.075000e+03 9.856455e-02
2.250000e+02 3.280000e+02 2.076000e+03 1.082603e-01
2.500000e+02 3.457000e+02 2.073000e+03 1.179611e-01
2.750000e+02 3.626000e+02 2.067000e+03 1.276412e-01
3.000000e+02 3.492000e+02 2.059000e+03 1.373224e-01
3.250000e+02 3.277000e+02 2.049000e+03 1.471007e-01
3.500000e+02 3.177000e+02 2.037000e+03 1.569760e-01
3.750000e+02 3.171000e+02 2.025000e+03 1.670276e-01
4.000000e+02 3.233000e+02 2.011000e+03 1.770215e-01
4.500000e+02 3.475000e+02 1.983000e+03 1.972590e-01
5.000000e+02 3.790000e+02 1.954000e+03 2.174822e-01
5.500000e+02 4.124000e+02 1.924000e+03 2.377074e-01
6.000000e+02 4.453000e+02 1.895000e+03 2.578948e-01
6.500000e+02 4.768000e+02 1.865000e+03 2.781036e-01
7.000000e+02 5.063000e+02 1.836000e+03 2.983718e-01
8.000000e+02 5.586000e+02 1.780000e+03 3.389161e-01
9.000000e+02 6.020000e+02 1.727000e+03 3.796061e-01
1.000000e+03 6.374000e+02 1.677000e+03 4.206526e-01
1.100000e+03 6.661000e+02 1.629000e+03 4.619804e-01
1.200000e+03 6.894000e+02 1.585000e+03 5.036988e-01
1.300000e+03 7.087000e+02 1.543000e+03 5.459728e-01
1.400000e+03 7.249000e+02 1.503000e+03 5.886236e-01
1.500000e+03 7.392000e+02 1.466000e+03 6.317830e-01
1.600000e+03 7.521000e+02 1.431000e+03 6.755288e-01
1.700000e+03 7.643000e+02 1.398000e+03 7.196375e-01
1.800000e+03 7.761000e+02 1.366000e+03 7.642525e-01
2.000000e+03 8.001000e+02 1.308000e+03 8.546832e-01
2.250000e+03 8.323000e+02 1.243000e+03 9.697271e-01
2.500000e+03 8.678000e+02 1.185000e+03 1.083188e+00
2.750000e+03 9.066000e+02 1.133000e+03 1.204714e+00
3.000000e+03 9.482000e+02 1.086000e+03 1.326201e+00
3.250000e+03 9.918000e+02 1.043000e+03 1.437799e+00
3.500000e+03 1.037000e+03 1.005000e+03 1.559146e+00
3.750000e+03 1.083000e+03 9.691000e+02 1.680426e+00
4.000000e+03 1.129000e+03 9.365000e+02 1.791791e+00
4.500000e+03 1.223000e+03 8.783000e+02 2.024230e+00
5.000000e+03 1.319000e+03 8.280000e+02 2.256349e+00
5.500000e+03 1.417000e+03 7.840000e+02 2.478315e+00
6.000000e+03 1.516000e+03 7.451000e+02 2.699984e+00
6.500000e+03 1.617000e+03 7.104000e+02 2.911512e+00
7.000000e+03 1.719000e+03 6.793000e+02 3.122801e+00
8.000000e+03 1.924000e+03 6.256000e+02 3.515289e+00
9.000000e+03 2.127000e+03 5.808000e+02 3.887188e+00
1.000000e+04 2.327000e+03 5.428000e+02 4.238658e+00
1.100000e+04 2.521000e+03 5.101000e+02 4.569815e+00
1.200000e+04 2.709000e+03 4.816000e+02 4.880744e+00
1.300000e+04 2.890000e+03 4.565000e+02 5.181418e+00
1.400000e+04 3.065000e+03 4.342000e+02 5.471911e+00
1.500000e+04 3.234000e+03 4.142000e+02 5.752248e+00
1.600000e+04 3.397000e+03 3.962000e+02 6.012564e+00
1.700000e+04 3.556000e+03 3.799000e+02 6.262799e+00
1.800000e+04 3.711000e+03 3.650000e+02 6.512887e+00
2.000000e+04 4.009000e+03 3.389000e+02 6.983131e+00
2.250000e+04 4.364000e+03 3.116000e+02 7.533223e+00
2.500000e+04 4.705000e+03 2.888000e+02 8.043149e+00
2.750000e+04 5.033000e+03 2.695000e+02 8.522933e+00
3.000000e+04 5.350000e+03 2.528000e+02 8.972641e+00
