# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+02 1.689000e+02 2.010000e+03 5.921925e-02
1.100000e+02 1.771000e+02 2.033000e+03 6.337649e-02
1.200000e+02 1.850000e+02 2.052000e+03 6.760606e-02
1.300000e+02 1.926000e+02 2.067000e+03 7.164538e-02
1.400000e+02 1.998000e+02 2.080000e+03 7.578054e-02
1.500000e+02 2.069000e+02 2.090000e+03 7.982049e-02
1.600000e+02 2.136000e+02 2.099000e+03 8.384211e-02
1.700000e+02 2.202000e+02 2.106000e+03 8.788254e-02
1.800000e+02 2.266000e+02 2.111000e+03 9.180904e-02
2.000000e+02 2.389000e+02 2.118000e+03 9.975455e-02
2.250000e+02 2.534000e+02 2.122000e+03 1.096647e-01
2.500000e+02 2.671000e+02 2.121000e+03 1.194798e-01
2.750000e+02 2.801000e+02 2.116000e+03 1.291604e-01
3.000000e+02 2.924000e+02 2.109000e+03 1.389382e-01
3.250000e+02 3.005000e+02 2.101000e+03 1.487168e-01
3.500000e+02 3.067000e+02 2.090000e+03 1.584962e-01
3.750000e+02 3.128000e+02 2.079000e+03 1.683348e-01
4.000000e+02 3.193000e+02 2.067000e+03 1.781156e-01
4.500000e+02 3.338000e+02 2.040000e+03 1.979308e-01
5.000000e+02 3.500000e+02 2.012000e+03 2.178449e-01
5.500000e+02 3.672000e+02 1.984000e+03 2.378576e-01
6.000000e+02 3.852000e+02 1.955000e+03 2.580652e-01
6.500000e+02 4.036000e+02 1.926000e+03 2.783356e-01
7.000000e+02 4.220000e+02 1.898000e+03 2.987207e-01
8.000000e+02 4.585000e+02 1.843000e+03 3.397696e-01
9.000000e+02 4.935000e+02 1.790000e+03 3.812712e-01
1.000000e+03 5.262000e+02 1.740000e+03 4.231660e-01
1.100000e+03 5.566000e+02 1.692000e+03 4.654205e-01
1.200000e+03 5.847000e+02 1.647000e+03 5.079682e-01
1.300000e+03 6.106000e+02 1.605000e+03 5.509887e-01
1.400000e+03 6.348000e+02 1.565000e+03 5.942731e-01
1.500000e+03 6.573000e+02 1.528000e+03 6.378368e-01
1.600000e+03 6.785000e+02 1.492000e+03 6.819063e-01
1.700000e+03 6.985000e+02 1.458000e+03 7.261434e-01
1.800000e+03 7.177000e+02 1.426000e+03 7.707885e-01
2.000000e+03 7.536000e+02 1.367000e+03 8.609386e-01
2.250000e+03 7.954000e+02 1.300000e+03 9.750982e-01
2.500000e+03 8.346000e+02 1.240000e+03 2.246879e+03
2.750000e+03 8.717000e+02 1.187000e+03 2.443883e+03
3.000000e+03 9.072000e+02 1.139000e+03 2.638632e+03
3.250000e+03 9.412000e+02 1.095000e+03 2.829139e+03
3.500000e+03 9.738000e+02 1.055000e+03 3.017499e+03
3.750000e+03 1.005000e+03 1.018000e+03 3.202365e+03
4.000000e+03 1.036000e+03 9.845000e+02 3.384418e+03
4.500000e+03 1.095000e+03 9.242000e+02 3.746622e+03
5.000000e+03 1.154000e+03 8.720000e+02 4.095454e+03
5.500000e+03 1.215000e+03 8.262000e+02 4.430963e+03
6.000000e+03 1.278000e+03 7.857000e+02 4.752493e+03
6.500000e+03 1.345000e+03 7.495000e+02 5.060786e+03
7.000000e+03 1.414000e+03 7.170000e+02 5.355143e+03
8.000000e+03 1.562000e+03 6.609000e+02 5.918047e+03
9.000000e+03 1.720000e+03 6.140000e+02 6.424300e+03
1.000000e+04 1.886000e+03 5.742000e+02 6.878114e+03
1.100000e+04 2.056000e+03 5.398000e+02 7.285787e+03
1.200000e+04 2.229000e+03 5.099000e+02 7.651416e+03
1.300000e+04 2.404000e+03 4.835000e+02 7.981349e+03
1.400000e+04 2.580000e+03 4.600000e+02 8.278963e+03
1.500000e+04 2.756000e+03 4.390000e+02 8.549196e+03
1.600000e+04 2.931000e+03 4.200000e+02 8.793324e+03
1.700000e+04 3.104000e+03 4.029000e+02 9.017702e+03
1.800000e+04 3.275000e+03 3.872000e+02 9.222945e+03
2.000000e+04 3.610000e+03 3.596000e+02 9.598186e+03
2.250000e+04 4.014000e+03 3.308000e+02 9.998580e+03
2.500000e+04 4.398000e+03 3.068000e+02 1.033368e+04
2.750000e+04 4.763000e+03 2.863000e+02 1.061967e+04
3.000000e+04 5.108000e+03 2.687000e+02 1.086635e+04
