# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+02 8.567000e+01 1.955000e+03 6.149772e-02
1.100000e+02 8.985000e+01 1.975000e+03 6.595840e-02
1.200000e+02 9.385000e+01 1.991000e+03 7.041967e-02
1.300000e+02 9.768000e+01 2.004000e+03 7.486214e-02
1.400000e+02 1.014000e+02 2.015000e+03 7.922910e-02
1.500000e+02 1.049000e+02 2.023000e+03 8.357721e-02
1.600000e+02 1.084000e+02 2.030000e+03 8.792571e-02
1.700000e+02 1.117000e+02 2.035000e+03 9.219789e-02
1.800000e+02 1.149000e+02 2.039000e+03 9.654683e-02
2.000000e+02 1.212000e+02 2.043000e+03 1.051271e-01
2.250000e+02 1.285000e+02 2.043000e+03 1.157857e-01
2.500000e+02 1.355000e+02 2.040000e+03 1.265452e-01
2.750000e+02 1.421000e+02 2.033000e+03 1.372834e-01
3.000000e+02 1.644000e+02 2.024000e+03 1.479049e-01
3.250000e+02 1.842000e+02 2.013000e+03 1.585491e-01
3.500000e+02 1.971000e+02 2.001000e+03 1.691722e-01
3.750000e+02 2.055000e+02 1.988000e+03 1.798748e-01
4.000000e+02 2.112000e+02 1.975000e+03 1.905955e-01
4.500000e+02 2.186000e+02 1.946000e+03 2.121178e-01
5.000000e+02 2.247000e+02 1.916000e+03 2.340106e-01
5.500000e+02 2.314000e+02 1.886000e+03 2.561155e-01
6.000000e+02 2.396000e+02 1.856000e+03 2.784153e-01
6.500000e+02 2.493000e+02 1.827000e+03 3.011031e-01
7.000000e+02 2.603000e+02 1.798000e+03 3.238892e-01
8.000000e+02 2.858000e+02 1.741000e+03 3.702592e-01
9.000000e+02 3.143000e+02 1.688000e+03 4.172733e-01
1.000000e+03 3.448000e+02 1.638000e+03 4.648898e-01
1.100000e+03 3.762000e+02 1.591000e+03 5.130739e-01
1.200000e+03 4.079000e+02 1.547000e+03 5.615320e-01
1.300000e+03 4.395000e+02 1.506000e+03 6.103493e-01
1.400000e+03 4.705000e+02 1.467000e+03 6.594446e-01
1.500000e+03 5.009000e+02 1.430000e+03 7.087207e-01
1.600000e+03 5.305000e+02 1.395000e+03 7.582750e-01
1.700000e+03 5.592000e+02 1.362000e+03 8.078810e-01
1.800000e+03 5.871000e+02 1.331000e+03 8.576835e-01
2.000000e+03 6.402000e+02 1.274000e+03 9.576432e-01
2.250000e+03 7.019000e+02 1.210000e+03 1.085976e+00
2.500000e+03 7.587000e+02 1.153000e+03 1.208021e+00
2.750000e+03 8.113000e+02 1.102000e+03 1.329956e+00
3.000000e+03 8.601000e+02 1.056000e+03 1.461552e+00
3.250000e+03 9.056000e+02 1.014000e+03 1.583267e+00
3.500000e+03 9.485000e+02 9.762000e+02 1.714676e+00
3.750000e+03 9.891000e+02 9.415000e+02 1.836207e+00
4.000000e+03 1.028000e+03 9.095000e+02 1.957652e+00
4.500000e+03 1.104000e+03 8.527000e+02 2.210275e+00
5.000000e+03 1.179000e+03 8.036000e+02 2.452728e+00
5.500000e+03 1.257000e+03 7.606000e+02 2.694900e+00
6.000000e+03 1.338000e+03 7.227000e+02 2.936763e+00
6.500000e+03 1.423000e+03 6.889000e+02 3.168516e+00
7.000000e+03 1.513000e+03 6.586000e+02 3.399992e+00
8.000000e+03 1.703000e+03 6.063000e+02 3.832835e+00
9.000000e+03 1.907000e+03 5.627000e+02 4.244972e+00
1.000000e+04 2.118000e+03 5.258000e+02 4.626661e+00
1.100000e+04 2.335000e+03 4.939000e+02 4.978007e+00
1.200000e+04 2.554000e+03 4.662000e+02 5.318904e+00
1.300000e+04 2.773000e+03 4.418000e+02 5.629655e+00
1.400000e+04 2.990000e+03 4.202000e+02 5.930122e+00
1.500000e+04 3.203000e+03 4.008000e+02 6.210473e+00
1.600000e+04 3.410000e+03 3.833000e+02 6.470758e+00
1.700000e+04 3.613000e+03 3.675000e+02 6.730835e+00
1.800000e+04 3.809000e+03 3.531000e+02 6.970903e+00
2.000000e+04 4.182000e+03 3.278000e+02 7.421012e+00
2.250000e+04 4.611000e+03 3.013000e+02 7.950847e+00
2.500000e+04 5.001000e+03 2.792000e+02 8.430554e+00
2.750000e+04 5.354000e+03 2.604000e+02 8.890059e+00
3.000000e+04 5.675000e+03 2.443000e+02 9.319538e+00
