# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+02 9.976000e+01 1.218000e+03 8.000362e-02
1.100000e+02 1.046000e+02 1.214000e+03 8.684060e-02
1.200000e+02 1.093000e+02 1.208000e+03 9.367849e-02
1.300000e+02 1.137000e+02 1.202000e+03 1.004961e-01
1.400000e+02 1.180000e+02 1.195000e+03 1.073354e-01
1.500000e+02 1.222000e+02 1.187000e+03 1.142692e-01
1.600000e+02 1.262000e+02 1.178000e+03 1.212501e-01
1.700000e+02 1.305000e+02 1.170000e+03 1.281851e-01
1.800000e+02 1.522000e+02 1.161000e+03 1.351944e-01
2.000000e+02 1.803000e+02 1.143000e+03 1.489933e-01
2.250000e+02 1.970000e+02 1.120000e+03 1.662397e-01
2.500000e+02 2.039000e+02 1.098000e+03 1.837527e-01
2.750000e+02 2.072000e+02 1.076000e+03 2.014518e-01
3.000000e+02 2.100000e+02 1.055000e+03 2.195389e-01
3.250000e+02 2.135000e+02 1.034000e+03 2.378375e-01
3.500000e+02 2.183000e+02 1.014000e+03 2.564292e-01
3.750000e+02 2.243000e+02 9.946000e+02 2.753026e-01
4.000000e+02 2.317000e+02 9.761000e+02 2.943687e-01
4.500000e+02 2.497000e+02 9.411000e+02 3.330259e-01
5.000000e+02 2.712000e+02 9.088000e+02 3.721197e-01
5.500000e+02 2.949000e+02 8.789000e+02 4.116928e-01
6.000000e+02 3.201000e+02 8.512000e+02 4.514406e-01
6.500000e+02 3.460000e+02 8.254000e+02 4.912222e-01
7.000000e+02 3.722000e+02 8.014000e+02 5.310835e-01
8.000000e+02 4.239000e+02 7.579000e+02 6.104820e-01
9.000000e+02 4.734000e+02 7.197000e+02 6.895255e-01
1.000000e+03 5.200000e+02 6.857000e+02 7.678111e-01
1.100000e+03 5.634000e+02 6.553000e+02 8.454623e-01
1.200000e+03 6.036000e+02 6.279000e+02 9.223842e-01
1.300000e+03 6.410000e+02 6.031000e+02 9.986946e-01
1.400000e+03 6.758000e+02 5.805000e+02 2.676633e+03
1.500000e+03 7.082000e+02 5.598000e+02 2.822969e+03
1.600000e+03 7.385000e+02 5.408000e+02 2.963669e+03
1.700000e+03 7.670000e+02 5.232000e+02 3.099479e+03
1.800000e+03 7.938000e+02 5.069000e+02 3.232546e+03
2.000000e+03 8.435000e+02 4.776000e+02 3.488939e+03
2.250000e+03 9.001000e+02 4.462000e+02 3.792111e+03
2.500000e+03 9.532000e+02 4.191000e+02 4.075683e+03
2.750000e+03 1.005000e+03 3.957000e+02 4.343244e+03
3.000000e+03 1.058000e+03 3.750000e+02 4.593377e+03
3.250000e+03 1.113000e+03 3.567000e+02 4.829593e+03
3.500000e+03 1.171000e+03 3.404000e+02 5.051173e+03
3.750000e+03 1.231000e+03 3.256000e+02 5.258826e+03
4.000000e+03 1.295000e+03 3.123000e+02 5.453937e+03
4.500000e+03 1.432000e+03 2.891000e+02 5.811905e+03
5.000000e+03 1.578000e+03 2.694000e+02 6.125776e+03
5.500000e+03 1.731000e+03 2.526000e+02 6.399004e+03
6.000000e+03 1.890000e+03 2.380000e+02 6.639278e+03
6.500000e+03 2.051000e+03 2.252000e+02 6.849287e+03
7.000000e+03 2.212000e+03 2.138000e+02 7.036030e+03
8.000000e+03 2.533000e+03 1.946000e+02 7.358507e+03
9.000000e+03 2.842000e+03 1.789000e+02 7.619363e+03
1.000000e+04 3.135000e+03 1.658000e+02 7.834732e+03
1.100000e+04 3.408000e+03 1.546000e+02 8.015773e+03
1.200000e+04 3.662000e+03 1.450000e+02 8.171114e+03
1.300000e+04 3.897000e+03 1.367000e+02 8.306331e+03
1.400000e+04 4.113000e+03 1.293000e+02 8.425745e+03
1.500000e+04 4.311000e+03 1.228000e+02 8.532290e+03
1.600000e+04 4.495000e+03 1.169000e+02 8.628605e+03
1.700000e+04 4.664000e+03 1.117000e+02 8.715605e+03
1.800000e+04 4.820000e+03 1.069000e+02 8.795305e+03
2.000000e+04 5.099000e+03 9.866000e+01 8.946758e+03
2.250000e+04 5.396000e+03 9.009000e+01 9.111973e+03
2.500000e+04 5.649000e+03 8.301000e+01 9.254867e+03
2.750000e+04 5.869000e+03 7.705000e+01 9.381828e+03
3.000000e+04 6.062000e+03 7.196000e+01 9.493636e+03
