# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+02 9.504000e+01 1.512000e+03 7.027048e-02
1.100000e+02 9.967000e+01 1.516000e+03 7.581293e-02
1.200000e+02 1.041000e+02 1.517000e+03 8.145041e-02
1.300000e+02 1.084000e+02 1.517000e+03 8.713518e-02
1.400000e+02 1.124000e+02 1.515000e+03 9.265349e-02
1.500000e+02 1.164000e+02 1.512000e+03 9.829273e-02
1.600000e+02 1.202000e+02 1.508000e+03 1.039324e-01
1.700000e+02 1.239000e+02 1.503000e+03 1.095725e-01
1.800000e+02 1.275000e+02 1.498000e+03 1.151931e-01
2.000000e+02 1.344000e+02 1.486000e+03 1.264500e-01
2.250000e+02 1.665000e+02 1.468000e+03 1.405922e-01
2.500000e+02 1.892000e+02 1.450000e+03 1.546415e-01
2.750000e+02 2.007000e+02 1.431000e+03 1.686680e-01
3.000000e+02 2.066000e+02 1.411000e+03 1.828864e-01
3.250000e+02 2.101000e+02 1.392000e+03 1.972783e-01
3.500000e+02 2.130000e+02 1.373000e+03 2.117859e-01
3.750000e+02 2.162000e+02 1.353000e+03 2.265091e-01
4.000000e+02 2.201000e+02 1.335000e+03 2.413830e-01
4.500000e+02 2.304000e+02 1.298000e+03 2.715768e-01
5.000000e+02 2.441000e+02 1.263000e+03 3.023721e-01
5.500000e+02 2.606000e+02 1.230000e+03 3.335100e-01
6.000000e+02 2.792000e+02 1.199000e+03 3.649793e-01
6.500000e+02 2.994000e+02 1.169000e+03 3.968140e-01
7.000000e+02 3.206000e+02 1.141000e+03 4.288013e-01
8.000000e+02 3.645000e+02 1.089000e+03 4.932887e-01
9.000000e+02 4.088000e+02 1.042000e+03 5.581057e-01
1.000000e+03 4.520000e+02 9.999000e+02 6.230079e-01
1.100000e+03 4.935000e+02 9.614000e+02 6.880381e-01
1.200000e+03 5.330000e+02 9.262000e+02 7.528876e-01
1.300000e+03 5.703000e+02 8.939000e+02 8.176546e-01
1.400000e+03 6.055000e+02 8.641000e+02 8.822816e-01
1.500000e+03 6.388000e+02 8.366000e+02 9.466184e-01
1.600000e+03 6.703000e+02 8.111000e+02 1.010910e+00
1.700000e+03 7.000000e+02 7.874000e+02 2.552741e+03
1.800000e+03 7.283000e+02 7.653000e+02 2.673172e+03
2.000000e+03 7.808000e+02 7.251000e+02 2.910600e+03
2.250000e+03 8.402000e+02 6.814000e+02 3.194593e+03
2.500000e+03 8.944000e+02 6.434000e+02 3.464493e+03
2.750000e+03 9.450000e+02 6.100000e+02 3.722516e+03
3.000000e+03 9.935000e+02 5.805000e+02 3.968658e+03
3.250000e+03 1.041000e+03 5.541000e+02 4.203638e+03
3.500000e+03 1.089000e+03 5.303000e+02 4.428849e+03
3.750000e+03 1.139000e+03 5.088000e+02 4.643616e+03
4.000000e+03 1.190000e+03 4.892000e+02 4.849342e+03
4.500000e+03 1.300000e+03 4.549000e+02 5.237824e+03
5.000000e+03 1.418000e+03 4.256000e+02 5.588565e+03
5.500000e+03 1.545000e+03 4.004000e+02 5.903677e+03
6.000000e+03 1.680000e+03 3.784000e+02 6.188043e+03
6.500000e+03 1.820000e+03 3.589000e+02 6.443048e+03
7.000000e+03 1.964000e+03 3.416000e+02 6.672781e+03
8.000000e+03 2.261000e+03 3.122000e+02 7.076233e+03
9.000000e+03 2.560000e+03 2.879000e+02 7.407150e+03
1.000000e+04 2.855000e+03 2.676000e+02 7.682996e+03
1.100000e+04 3.142000e+03 2.502000e+02 7.914937e+03
1.200000e+04 3.418000e+03 2.352000e+02 8.114153e+03
1.300000e+04 3.680000e+03 2.221000e+02 8.286317e+03
1.400000e+04 3.928000e+03 2.105000e+02 8.437133e+03
1.500000e+04 4.162000e+03 2.002000e+02 8.571426e+03
1.600000e+04 4.383000e+03 1.910000e+02 8.692107e+03
1.700000e+04 4.590000e+03 1.827000e+02 8.799926e+03
1.800000e+04 4.785000e+03 1.751000e+02 8.899086e+03
2.000000e+04 5.141000e+03 1.619000e+02 9.080280e+03
2.250000e+04 5.529000e+03 1.482000e+02 9.276260e+03
2.500000e+04 5.867000e+03 1.368000e+02 9.442017e+03
2.750000e+04 6.163000e+03 1.272000e+02 9.586110e+03
3.000000e+04 6.427000e+03 1.190000e+02 9.712895e+03
