# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+02 9.270000e+01 1.720000e+03 6.566727e-02
1.100000e+02 9.722000e+01 1.731000e+03 7.066888e-02
1.200000e+02 1.015000e+02 1.739000e+03 7.567106e-02
1.300000e+02 1.057000e+02 1.744000e+03 8.067373e-02
1.400000e+02 1.097000e+02 1.748000e+03 8.555729e-02
1.500000e+02 1.135000e+02 1.750000e+03 9.056075e-02
1.600000e+02 1.173000e+02 1.750000e+03 9.544993e-02
1.700000e+02 1.209000e+02 1.750000e+03 1.003347e-01
1.800000e+02 1.244000e+02 1.748000e+03 1.053196e-01
2.000000e+02 1.311000e+02 1.743000e+03 1.151667e-01
2.250000e+02 1.390000e+02 1.733000e+03 1.274059e-01
2.500000e+02 1.574000e+02 1.720000e+03 1.398560e-01
2.750000e+02 1.871000e+02 1.706000e+03 1.520747e-01
3.000000e+02 2.047000e+02 1.691000e+03 1.643901e-01
3.250000e+02 2.147000e+02 1.674000e+03 1.766840e-01
3.500000e+02 2.205000e+02 1.657000e+03 1.890015e-01
3.750000e+02 2.242000e+02 1.640000e+03 2.014712e-01
4.000000e+02 2.269000e+02 1.623000e+03 2.140780e-01
4.500000e+02 2.323000e+02 1.589000e+03 2.395422e-01
5.000000e+02 2.394000e+02 1.555000e+03 2.654330e-01
5.500000e+02 2.488000e+02 1.522000e+03 2.917686e-01
6.000000e+02 2.605000e+02 1.491000e+03 3.184133e-01
6.500000e+02 2.741000e+02 1.460000e+03 3.453704e-01
7.000000e+02 2.892000e+02 1.430000e+03 3.726945e-01
8.000000e+02 3.225000e+02 1.375000e+03 4.279453e-01
9.000000e+02 3.584000e+02 1.324000e+03 4.838398e-01
1.000000e+03 3.953000e+02 1.277000e+03 5.402988e-01
1.100000e+03 4.321000e+02 1.234000e+03 5.970164e-01
1.200000e+03 4.681000e+02 1.194000e+03 6.540745e-01
1.300000e+03 5.030000e+02 1.157000e+03 7.111987e-01
1.400000e+03 5.366000e+02 1.122000e+03 7.684680e-01
1.500000e+03 5.688000e+02 1.090000e+03 8.258865e-01
1.600000e+03 5.996000e+02 1.060000e+03 8.832782e-01
1.700000e+03 6.289000e+02 1.031000e+03 9.407203e-01
1.800000e+03 6.569000e+02 1.005000e+03 9.981511e-01
2.000000e+03 7.091000e+02 9.566000e+02 1.108827e+00
2.250000e+03 7.682000e+02 9.032000e+02 1.260929e+00
2.500000e+03 8.215000e+02 8.565000e+02 1.403079e+00
2.750000e+03 8.702000e+02 8.151000e+02 1.545072e+00
3.000000e+03 9.152000e+02 7.781000e+02 1.686896e+00
3.250000e+03 9.576000e+02 7.448000e+02 1.828599e+00
3.500000e+03 9.984000e+02 7.148000e+02 1.970169e+00
3.750000e+03 1.039000e+03 6.874000e+02 2.111636e+00
4.000000e+03 1.079000e+03 6.624000e+02 2.243167e+00
4.500000e+03 1.161000e+03 6.182000e+02 2.525674e+00
5.000000e+03 1.249000e+03 5.803000e+02 2.788068e+00
5.500000e+03 1.344000e+03 5.474000e+02 3.050030e+00
6.000000e+03 1.446000e+03 5.186000e+02 3.301735e+00
6.500000e+03 1.554000e+03 4.930000e+02 3.543228e+00
7.000000e+03 1.667000e+03 4.702000e+02 3.774494e+00
8.000000e+03 1.907000e+03 4.311000e+02 4.216553e+00
9.000000e+03 2.158000e+03 3.988000e+02 4.618026e+00
1.000000e+04 2.415000e+03 3.715000e+02 4.979120e+00
1.100000e+04 2.672000e+03 3.481000e+02 5.319765e+00
1.200000e+04 2.926000e+03 3.278000e+02 5.630207e+00
1.300000e+04 3.175000e+03 3.101000e+02 5.920437e+00
1.400000e+04 3.415000e+03 2.943000e+02 6.200459e+00
1.500000e+04 3.647000e+03 2.803000e+02 6.450501e+00
1.600000e+04 3.870000e+03 2.677000e+02 6.700348e+00
1.700000e+04 4.082000e+03 2.563000e+02 6.930201e+00
1.800000e+04 4.284000e+03 2.459000e+02 7.150008e+00
2.000000e+04 4.660000e+03 2.278000e+02 7.569585e+00
2.250000e+04 5.080000e+03 2.089000e+02 8.058952e+00
2.500000e+04 5.450000e+03 1.932000e+02 8.508268e+00
2.750000e+04 5.777000e+03 1.799000e+02 8.937505e+00
3.000000e+04 6.070000e+03 1.685000e+02 9.346709e+00
