# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+02 1.008000e+02 1.107000e+03 8.516449e-02
1.100000e+02 1.057000e+02 1.101000e+03 9.254566e-02
1.200000e+02 1.104000e+02 1.093000e+03 1.000213e-01
1.300000e+02 1.149000e+02 1.085000e+03 1.074978e-01
1.400000e+02 1.192000e+02 1.076000e+03 1.150411e-01
1.500000e+02 1.234000e+02 1.067000e+03 1.226130e-01
1.600000e+02 1.277000e+02 1.058000e+03 1.302794e-01
1.700000e+02 1.439000e+02 1.048000e+03 1.378988e-01
1.800000e+02 1.557000e+02 1.039000e+03 1.454725e-01
2.000000e+02 1.704000e+02 1.020000e+03 1.607558e-01
2.250000e+02 1.796000e+02 9.964000e+02 1.800789e-01
2.500000e+02 1.849000e+02 9.735000e+02 1.995944e-01
2.750000e+02 1.895000e+02 9.514000e+02 2.195863e-01
3.000000e+02 1.947000e+02 9.302000e+02 2.397964e-01
3.250000e+02 2.010000e+02 9.099000e+02 2.604074e-01
3.500000e+02 2.085000e+02 8.904000e+02 2.812807e-01
3.750000e+02 2.171000e+02 8.718000e+02 3.023282e-01
4.000000e+02 2.267000e+02 8.541000e+02 3.236304e-01
4.500000e+02 2.481000e+02 8.208000e+02 3.666496e-01
5.000000e+02 2.715000e+02 7.904000e+02 4.102014e-01
5.500000e+02 2.960000e+02 7.624000e+02 4.540370e-01
6.000000e+02 3.211000e+02 7.367000e+02 4.980073e-01
6.500000e+02 3.462000e+02 7.129000e+02 5.420126e-01
7.000000e+02 3.709000e+02 6.909000e+02 5.859809e-01
8.000000e+02 4.189000e+02 6.512000e+02 6.736978e-01
9.000000e+02 4.640000e+02 6.166000e+02 7.608326e-01
1.000000e+03 5.062000e+02 5.861000e+02 8.471929e-01
1.100000e+03 5.457000e+02 5.589000e+02 9.328484e-01
1.200000e+03 5.826000e+02 5.345000e+02 1.017700e+00
1.300000e+03 6.173000e+02 5.125000e+02 2.790084e+03
1.400000e+03 6.501000e+02 4.926000e+02 2.954015e+03
1.500000e+03 6.811000e+02 4.743000e+02 3.111582e+03
1.600000e+03 7.107000e+02 4.576000e+02 3.264280e+03
1.700000e+03 7.390000e+02 4.422000e+02 3.411366e+03
1.800000e+03 7.661000e+02 4.280000e+02 3.553578e+03
2.000000e+03 8.178000e+02 4.025000e+02 3.827684e+03
2.250000e+03 8.790000e+02 3.752000e+02 4.148592e+03
2.500000e+03 9.387000e+02 3.519000e+02 4.445063e+03
2.750000e+03 9.989000e+02 3.317000e+02 4.719941e+03
3.000000e+03 1.061000e+03 3.139000e+02 4.975310e+03
3.250000e+03 1.126000e+03 2.983000e+02 5.211160e+03
3.500000e+03 1.194000e+03 2.843000e+02 5.430287e+03
3.750000e+03 1.266000e+03 2.717000e+02 5.633357e+03
4.000000e+03 1.340000e+03 2.604000e+02 5.820385e+03
4.500000e+03 1.497000e+03 2.406000e+02 6.160656e+03
5.000000e+03 1.661000e+03 2.240000e+02 6.451150e+03
5.500000e+03 1.831000e+03 2.097000e+02 6.700867e+03
6.000000e+03 2.004000e+03 1.974000e+02 6.917526e+03
6.500000e+03 2.177000e+03 1.866000e+02 7.105203e+03
7.000000e+03 2.348000e+03 1.771000e+02 7.270983e+03
8.000000e+03 2.683000e+03 1.609000e+02 7.555474e+03
9.000000e+03 3.000000e+03 1.477000e+02 7.783769e+03
1.000000e+04 3.295000e+03 1.368000e+02 7.970715e+03
1.100000e+04 3.568000e+03 1.275000e+02 8.129027e+03
1.200000e+04 3.820000e+03 1.195000e+02 8.264266e+03
1.300000e+04 4.050000e+03 1.125000e+02 8.382292e+03
1.400000e+04 4.261000e+03 1.064000e+02 8.485891e+03
1.500000e+04 4.455000e+03 1.010000e+02 8.578627e+03
1.600000e+04 4.633000e+03 9.612000e+01 8.662046e+03
1.700000e+04 4.797000e+03 9.176000e+01 8.738163e+03
1.800000e+04 4.948000e+03 8.781000e+01 8.808371e+03
2.000000e+04 5.218000e+03 8.095000e+01 8.940331e+03
2.250000e+04 5.506000e+03 7.386000e+01 9.088053e+03
2.500000e+04 5.750000e+03 6.801000e+01 9.214841e+03
2.750000e+04 5.961000e+03 6.309000e+01 9.326473e+03
3.000000e+04 6.145000e+03 5.889000e+01 9.426538e+03
