# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+02 8.290000e+01 1.763000e+03 6.559642e-02
1.100000e+02 8.695000e+01 1.776000e+03 7.050461e-02
1.200000e+02 9.081000e+01 1.786000e+03 7.536903e-02
1.300000e+02 9.452000e+01 1.793000e+03 8.027789e-02
1.400000e+02 9.809000e+01 1.798000e+03 8.514347e-02
1.500000e+02 1.015000e+02 1.802000e+03 9.000967e-02
1.600000e+02 1.049000e+02 1.804000e+03 9.480026e-02
1.700000e+02 1.081000e+02 1.805000e+03 9.969077e-02
1.800000e+02 1.112000e+02 1.805000e+03 1.045580e-01
2.000000e+02 1.172000e+02 1.802000e+03 1.141750e-01
2.250000e+02 1.244000e+02 1.795000e+03 1.262027e-01
2.500000e+02 1.311000e+02 1.784000e+03 1.383272e-01
2.750000e+02 1.567000e+02 1.772000e+03 1.504119e-01
3.000000e+02 1.830000e+02 1.758000e+03 1.625159e-01
3.250000e+02 1.987000e+02 1.743000e+03 1.744849e-01
3.500000e+02 2.077000e+02 1.728000e+03 1.865509e-01
3.750000e+02 2.128000e+02 1.712000e+03 1.986180e-01
4.000000e+02 2.158000e+02 1.696000e+03 2.108035e-01
4.500000e+02 2.197000e+02 1.663000e+03 2.355008e-01
5.000000e+02 2.241000e+02 1.630000e+03 2.606247e-01
5.500000e+02 2.305000e+02 1.598000e+03 2.862327e-01
6.000000e+02 2.391000e+02 1.567000e+03 3.121324e-01
6.500000e+02 2.499000e+02 1.537000e+03 3.383240e-01
7.000000e+02 2.624000e+02 1.508000e+03 3.648237e-01
8.000000e+02 2.917000e+02 1.453000e+03 4.186822e-01
9.000000e+02 3.246000e+02 1.401000e+03 4.732371e-01
1.000000e+03 3.595000e+02 1.354000e+03 5.284214e-01
1.100000e+03 3.952000e+02 1.310000e+03 5.839618e-01
1.200000e+03 4.308000e+02 1.269000e+03 6.397774e-01
1.300000e+03 4.659000e+02 1.231000e+03 6.957407e-01
1.400000e+03 4.999000e+02 1.195000e+03 7.518679e-01
1.500000e+03 5.329000e+02 1.162000e+03 8.081443e-01
1.600000e+03 5.646000e+02 1.131000e+03 8.643913e-01
1.700000e+03 5.949000e+02 1.102000e+03 9.206263e-01
1.800000e+03 6.240000e+02 1.075000e+03 9.769146e-01
2.000000e+03 6.784000e+02 1.024000e+03 1.087364e+00
2.250000e+03 7.399000e+02 9.687000e+02 1.229564e+00
2.500000e+03 7.952000e+02 9.197000e+02 1.371607e+00
2.750000e+03 8.452000e+02 8.763000e+02 1.513467e+00
3.000000e+03 8.909000e+02 8.374000e+02 1.645421e+00
3.250000e+03 9.331000e+02 8.024000e+02 1.787020e+00
3.500000e+03 9.728000e+02 7.706000e+02 1.928518e+00
3.750000e+03 1.011000e+03 7.416000e+02 2.069917e+00
4.000000e+03 1.048000e+03 7.151000e+02 2.201417e+00
4.500000e+03 1.122000e+03 6.682000e+02 2.474051e+00
5.000000e+03 1.198000e+03 6.279000e+02 2.746305e+00
5.500000e+03 1.280000e+03 5.929000e+02 3.008367e+00
6.000000e+03 1.367000e+03 5.621000e+02 3.260228e+00
6.500000e+03 1.460000e+03 5.348000e+02 3.511734e+00
7.000000e+03 1.558000e+03 5.103000e+02 3.753077e+00
8.000000e+03 1.768000e+03 4.684000e+02 4.205520e+00
9.000000e+03 1.991000e+03 4.336000e+02 4.627268e+00
1.000000e+04 2.223000e+03 4.043000e+02 5.008623e+00
1.100000e+04 2.459000e+03 3.791000e+02 5.369498e+00
1.200000e+04 2.696000e+03 3.572000e+02 5.700138e+00
1.300000e+04 2.930000e+03 3.381000e+02 6.010535e+00
1.400000e+04 3.160000e+03 3.211000e+02 6.300784e+00
1.500000e+04 3.384000e+03 3.059000e+02 6.580821e+00
1.600000e+04 3.600000e+03 2.922000e+02 6.840834e+00
1.700000e+04 3.809000e+03 2.799000e+02 7.090733e+00
1.800000e+04 4.010000e+03 2.687000e+02 7.320656e+00
2.000000e+04 4.388000e+03 2.490000e+02 7.760413e+00
2.250000e+04 4.815000e+03 2.285000e+02 8.279910e+00
2.500000e+04 5.196000e+03 2.114000e+02 8.749352e+00
2.750000e+04 5.536000e+03 1.970000e+02 9.188729e+00
3.000000e+04 5.841000e+03 1.845000e+02 9.617981e+00
