# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+02 1.519000e+02 1.817000e+03 6.267456e-02
1.100000e+02 1.593000e+02 1.832000e+03 6.734931e-02
1.200000e+02 1.664000e+02 1.844000e+03 7.192948e-02
1.300000e+02 1.732000e+02 1.853000e+03 7.648608e-02
1.400000e+02 1.798000e+02 1.860000e+03 8.106689e-02
1.500000e+02 1.861000e+02 1.864000e+03 8.550994e-02
1.600000e+02 1.922000e+02 1.868000e+03 9.006786e-02
1.700000e+02 1.981000e+02 1.870000e+03 9.453074e-02
1.800000e+02 2.038000e+02 1.870000e+03 9.897500e-02
2.000000e+02 2.149000e+02 1.869000e+03 1.078832e-01
2.250000e+02 2.279000e+02 1.864000e+03 1.190648e-01
2.500000e+02 2.402000e+02 1.855000e+03 1.302028e-01
2.750000e+02 2.593000e+02 1.844000e+03 1.412507e-01
3.000000e+02 2.789000e+02 1.831000e+03 1.522956e-01
3.250000e+02 2.913000e+02 1.817000e+03 1.634196e-01
3.500000e+02 2.995000e+02 1.803000e+03 1.745448e-01
3.750000e+02 3.054000e+02 1.787000e+03 1.856709e-01
4.000000e+02 3.102000e+02 1.772000e+03 1.968940e-01
4.500000e+02 3.189000e+02 1.740000e+03 2.196311e-01
5.000000e+02 3.283000e+02 1.708000e+03 2.425636e-01
5.500000e+02 3.392000e+02 1.676000e+03 2.658637e-01
6.000000e+02 3.517000e+02 1.645000e+03 2.893798e-01
6.500000e+02 3.655000e+02 1.615000e+03 3.130711e-01
7.000000e+02 3.805000e+02 1.585000e+03 3.370545e-01
8.000000e+02 4.129000e+02 1.529000e+03 3.855463e-01
9.000000e+02 4.474000e+02 1.477000e+03 4.346834e-01
1.000000e+03 4.829000e+02 1.429000e+03 4.841611e-01
1.100000e+03 5.189000e+02 1.384000e+03 5.340298e-01
1.200000e+03 5.549000e+02 1.342000e+03 5.841435e-01
1.300000e+03 5.908000e+02 1.303000e+03 6.344362e-01
1.400000e+03 6.263000e+02 1.266000e+03 6.848959e-01
1.500000e+03 6.613000e+02 1.232000e+03 7.353109e-01
1.600000e+03 6.958000e+02 1.200000e+03 7.857937e-01
1.700000e+03 7.297000e+02 1.170000e+03 8.361525e-01
1.800000e+03 7.629000e+02 1.141000e+03 8.864823e-01
2.000000e+03 8.273000e+02 1.089000e+03 9.868819e-01
2.250000e+03 9.039000e+02 1.031000e+03 2.370457e+03
2.500000e+03 9.757000e+02 9.795000e+02 2.581252e+03
2.750000e+03 1.043000e+03 9.340000e+02 2.782881e+03
3.000000e+03 1.106000e+03 8.932000e+02 2.976765e+03
3.250000e+03 1.164000e+03 8.564000e+02 3.162916e+03
3.500000e+03 1.219000e+03 8.230000e+02 3.342069e+03
3.750000e+03 1.271000e+03 7.925000e+02 3.514229e+03
4.000000e+03 1.320000e+03 7.645000e+02 3.680117e+03
4.500000e+03 1.415000e+03 7.149000e+02 4.001570e+03
5.000000e+03 1.507000e+03 6.723000e+02 4.301344e+03
5.500000e+03 1.601000e+03 6.352000e+02 4.580862e+03
6.000000e+03 1.696000e+03 6.025000e+02 4.841525e+03
6.500000e+03 1.795000e+03 5.735000e+02 5.085453e+03
7.000000e+03 1.896000e+03 5.476000e+02 5.311924e+03
8.000000e+03 2.107000e+03 5.030000e+02 5.733798e+03
9.000000e+03 2.325000e+03 4.660000e+02 6.100278e+03
1.000000e+04 2.548000e+03 4.346000e+02 6.419760e+03
1.100000e+04 2.775000e+03 4.078000e+02 6.700615e+03
1.200000e+04 3.002000e+03 3.844000e+02 6.946944e+03
1.300000e+04 3.230000e+03 3.639000e+02 7.166504e+03
1.400000e+04 3.455000e+03 3.457000e+02 7.361320e+03
1.500000e+04 3.679000e+03 3.295000e+02 7.536344e+03
1.600000e+04 3.899000e+03 3.149000e+02 7.693600e+03
1.700000e+04 4.116000e+03 3.017000e+02 7.836000e+03
1.800000e+04 4.329000e+03 2.896000e+02 7.966211e+03
2.000000e+04 4.742000e+03 2.685000e+02 8.204123e+03
2.250000e+04 5.231000e+03 2.465000e+02 8.457675e+03
2.500000e+04 5.691000e+03 2.282000e+02 8.668431e+03
2.750000e+04 6.120000e+03 2.127000e+02 8.847600e+03
3.000000e+04 6.520000e+03 1.993000e+02 9.002485e+03
