# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+02 1.072000e+02 1.293000e+03 7.678248e-02
1.100000e+02 1.124000e+02 1.291000e+03 8.319675e-02
1.200000e+02 1.174000e+02 1.286000e+03 8.958449e-02
1.300000e+02 1.222000e+02 1.281000e+03 9.609422e-02
1.400000e+02 1.268000e+02 1.275000e+03 1.025105e-01
1.500000e+02 1.312000e+02 1.268000e+03 1.089946e-01
1.600000e+02 1.355000e+02 1.261000e+03 1.154855e-01
1.700000e+02 1.397000e+02 1.253000e+03 1.220651e-01
1.800000e+02 1.480000e+02 1.245000e+03 1.285309e-01
2.000000e+02 1.831000e+02 1.228000e+03 1.416248e-01
2.250000e+02 2.053000e+02 1.206000e+03 1.577908e-01
2.500000e+02 2.149000e+02 1.184000e+03 1.740483e-01
2.750000e+02 2.194000e+02 1.163000e+03 1.905983e-01
3.000000e+02 2.225000e+02 1.142000e+03 2.073155e-01
3.250000e+02 2.260000e+02 1.121000e+03 2.243450e-01
3.500000e+02 2.306000e+02 1.101000e+03 2.415667e-01
3.750000e+02 2.364000e+02 1.081000e+03 2.590948e-01
4.000000e+02 2.436000e+02 1.062000e+03 2.767014e-01
4.500000e+02 2.615000e+02 1.027000e+03 3.125291e-01
5.000000e+02 2.830000e+02 9.933000e+02 3.488170e-01
5.500000e+02 3.071000e+02 9.623000e+02 3.853519e-01
6.000000e+02 3.328000e+02 9.334000e+02 4.221800e-01
6.500000e+02 3.594000e+02 9.064000e+02 4.590597e-01
7.000000e+02 3.864000e+02 8.811000e+02 4.959053e-01
8.000000e+02 4.398000e+02 8.352000e+02 5.696592e-01
9.000000e+02 4.911000e+02 7.946000e+02 6.430176e-01
1.000000e+03 5.394000e+02 7.584000e+02 7.157714e-01
1.100000e+03 5.844000e+02 7.258000e+02 7.880818e-01
1.200000e+03 6.261000e+02 6.964000e+02 8.596783e-01
1.300000e+03 6.649000e+02 6.697000e+02 9.308749e-01
1.400000e+03 7.009000e+02 6.453000e+02 1.001495e+00
1.500000e+03 7.345000e+02 6.229000e+02 1.072412e+00
1.600000e+03 7.660000e+02 6.022000e+02 1.143515e+00
1.700000e+03 7.956000e+02 5.831000e+02 1.214533e+00
1.800000e+03 8.235000e+02 5.654000e+02 1.275779e+00
2.000000e+03 8.752000e+02 5.335000e+02 1.417550e+00
2.250000e+03 9.341000e+02 4.991000e+02 1.579879e+00
2.500000e+03 9.890000e+02 4.694000e+02 1.751625e+00
2.750000e+03 1.042000e+03 4.436000e+02 1.913339e+00
3.000000e+03 1.096000e+03 4.208000e+02 2.074794e+00
3.250000e+03 1.151000e+03 4.007000e+02 2.226219e+00
3.500000e+03 1.209000e+03 3.826000e+02 2.387241e+00
3.750000e+03 1.270000e+03 3.663000e+02 2.528437e+00
4.000000e+03 1.334000e+03 3.515000e+02 2.679244e+00
4.500000e+03 1.471000e+03 3.257000e+02 2.960809e+00
5.000000e+03 1.619000e+03 3.039000e+02 3.222024e+00
5.500000e+03 1.775000e+03 2.851000e+02 3.462984e+00
6.000000e+03 1.936000e+03 2.688000e+02 3.693622e+00
6.500000e+03 2.101000e+03 2.545000e+02 3.904138e+00
7.000000e+03 2.267000e+03 2.418000e+02 4.104451e+00
8.000000e+03 2.597000e+03 2.203000e+02 4.474838e+00
9.000000e+03 2.918000e+03 2.026000e+02 4.804906e+00
1.000000e+04 3.223000e+03 1.879000e+02 5.104765e+00
1.100000e+04 3.510000e+03 1.754000e+02 5.384442e+00
1.200000e+04 3.776000e+03 1.646000e+02 5.644054e+00
1.300000e+04 4.022000e+03 1.552000e+02 5.883654e+00
1.400000e+04 4.250000e+03 1.469000e+02 6.113185e+00
1.500000e+04 4.459000e+03 1.395000e+02 6.332697e+00
1.600000e+04 4.653000e+03 1.329000e+02 6.542202e+00
1.700000e+04 4.831000e+03 1.270000e+02 6.741723e+00
1.800000e+04 4.996000e+03 1.216000e+02 6.941193e+00
2.000000e+04 5.290000e+03 1.123000e+02 7.320275e+00
2.250000e+04 5.605000e+03 1.026000e+02 7.769202e+00
2.500000e+04 5.873000e+03 9.458000e+01 8.188198e+00
2.750000e+04 6.106000e+03 8.782000e+01 8.597204e+00
3.000000e+04 6.310000e+03 8.205000e+01 8.996224e+00
