# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+02 1.169000e+02 9.072000e+02 9.472444e-02
1.100000e+02 1.226000e+02 8.970000e+02 1.033970e-01
1.200000e+02 1.281000e+02 8.865000e+02 1.121942e-01
1.300000e+02 1.363000e+02 8.758000e+02 1.209926e-01
1.400000e+02 1.514000e+02 8.650000e+02 1.297407e-01
1.500000e+02 1.619000e+02 8.542000e+02 1.385118e-01
1.600000e+02 1.693000e+02 8.435000e+02 1.473771e-01
1.700000e+02 1.747000e+02 8.330000e+02 1.562143e-01
1.800000e+02 1.789000e+02 8.226000e+02 1.651749e-01
2.000000e+02 1.856000e+02 8.024000e+02 1.833581e-01
2.250000e+02 1.934000e+02 7.784000e+02 2.064451e-01
2.500000e+02 2.021000e+02 7.557000e+02 2.299126e-01
2.750000e+02 2.123000e+02 7.343000e+02 2.537812e-01
3.000000e+02 2.237000e+02 7.142000e+02 2.779095e-01
3.250000e+02 2.363000e+02 6.953000e+02 3.023252e-01
3.500000e+02 2.498000e+02 6.774000e+02 3.269074e-01
3.750000e+02 2.639000e+02 6.606000e+02 3.516077e-01
4.000000e+02 2.784000e+02 6.448000e+02 3.763351e-01
4.500000e+02 3.081000e+02 6.155000e+02 4.260986e-01
5.000000e+02 3.381000e+02 5.892000e+02 4.758457e-01
5.500000e+02 3.676000e+02 5.654000e+02 5.253760e-01
6.000000e+02 3.965000e+02 5.438000e+02 5.746335e-01
6.500000e+02 4.244000e+02 5.241000e+02 6.236239e-01
7.000000e+02 4.514000e+02 5.059000e+02 6.722834e-01
8.000000e+02 5.027000e+02 4.737000e+02 7.684738e-01
9.000000e+02 5.504000e+02 4.460000e+02 8.629719e-01
1.000000e+03 5.951000e+02 4.219000e+02 9.558077e-01
1.100000e+03 6.372000e+02 4.006000e+02 1.048314e+00
1.200000e+03 6.770000e+02 3.817000e+02 1.139884e+00
1.300000e+03 7.148000e+02 3.648000e+02 1.221590e+00
1.400000e+03 7.509000e+02 3.495000e+02 1.312769e+00
1.500000e+03 7.855000e+02 3.357000e+02 1.394128e+00
1.600000e+03 8.189000e+02 3.230000e+02 1.475297e+00
1.700000e+03 8.512000e+02 3.114000e+02 1.566039e+00
1.800000e+03 8.828000e+02 3.008000e+02 1.646955e+00
2.000000e+03 9.448000e+02 2.818000e+02 1.798784e+00
2.250000e+03 1.022000e+03 2.617000e+02 1.990474e+00
2.500000e+03 1.102000e+03 2.445000e+02 2.171849e+00
2.750000e+03 1.186000e+03 2.298000e+02 2.352763e+00
3.000000e+03 1.273000e+03 2.169000e+02 2.513722e+00
3.250000e+03 1.364000e+03 2.056000e+02 2.674303e+00
3.500000e+03 1.459000e+03 1.956000e+02 2.824787e+00
3.750000e+03 1.556000e+03 1.866000e+02 2.965200e+00
4.000000e+03 1.655000e+03 1.785000e+02 3.095545e+00
4.500000e+03 1.856000e+03 1.644000e+02 3.355758e+00
5.000000e+03 2.059000e+03 1.527000e+02 3.585854e+00
5.500000e+03 2.259000e+03 1.426000e+02 3.795795e+00
6.000000e+03 2.455000e+03 1.340000e+02 3.985652e+00
6.500000e+03 2.644000e+03 1.264000e+02 4.175268e+00
7.000000e+03 2.827000e+03 1.198000e+02 4.344940e+00
8.000000e+03 3.166000e+03 1.086000e+02 4.654311e+00
9.000000e+03 3.473000e+03 9.945000e+01 4.943492e+00
1.000000e+04 3.748000e+03 9.188000e+01 5.212640e+00
1.100000e+04 3.994000e+03 8.549000e+01 5.461807e+00
1.200000e+04 4.215000e+03 8.000000e+01 5.691039e+00
1.300000e+04 4.413000e+03 7.524000e+01 5.920206e+00
1.400000e+04 4.592000e+03 7.107000e+01 6.139400e+00
1.500000e+04 4.754000e+03 6.737000e+01 6.348647e+00
1.600000e+04 4.901000e+03 6.407000e+01 6.547953e+00
1.700000e+04 5.035000e+03 6.111000e+01 6.747236e+00
1.800000e+04 5.158000e+03 5.844000e+01 6.936575e+00
2.000000e+04 5.375000e+03 5.379000e+01 7.305413e+00
2.250000e+04 5.603000e+03 4.900000e+01 7.754079e+00
2.500000e+04 5.794000e+03 4.506000e+01 8.192807e+00
2.750000e+04 5.954000e+03 4.175000e+01 8.611674e+00
3.000000e+04 6.090000e+03 3.893000e+01 9.020615e+00
