# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+02 9.865000e+01 1.326000e+03 7.571988e-02
1.100000e+02 1.035000e+02 1.324000e+03 8.204036e-02
1.200000e+02 1.081000e+02 1.321000e+03 8.833408e-02
1.300000e+02 1.125000e+02 1.316000e+03 9.470164e-02
1.400000e+02 1.167000e+02 1.310000e+03 1.010240e-01
1.500000e+02 1.208000e+02 1.304000e+03 1.074139e-01
1.600000e+02 1.248000e+02 1.297000e+03 1.137839e-01
1.700000e+02 1.286000e+02 1.289000e+03 1.201750e-01
1.800000e+02 1.328000e+02 1.282000e+03 1.266669e-01
2.000000e+02 1.699000e+02 1.265000e+03 1.394049e-01
2.250000e+02 1.930000e+02 1.244000e+03 1.553818e-01
2.500000e+02 2.023000e+02 1.222000e+03 1.713353e-01
2.750000e+02 2.058000e+02 1.201000e+03 1.875753e-01
3.000000e+02 2.078000e+02 1.180000e+03 2.039882e-01
3.250000e+02 2.101000e+02 1.159000e+03 2.207074e-01
3.500000e+02 2.135000e+02 1.139000e+03 2.377385e-01
3.750000e+02 2.183000e+02 1.119000e+03 2.549376e-01
4.000000e+02 2.245000e+02 1.100000e+03 2.722579e-01
4.500000e+02 2.407000e+02 1.064000e+03 3.075891e-01
5.000000e+02 2.609000e+02 1.030000e+03 3.433800e-01
5.500000e+02 2.838000e+02 9.989000e+02 3.795305e-01
6.000000e+02 3.085000e+02 9.695000e+02 4.159737e-01
6.500000e+02 3.341000e+02 9.420000e+02 4.524726e-01
7.000000e+02 3.602000e+02 9.162000e+02 4.891238e-01
8.000000e+02 4.118000e+02 8.693000e+02 5.623971e-01
9.000000e+02 4.610000e+02 8.277000e+02 6.354242e-01
1.000000e+03 5.070000e+02 7.905000e+02 7.081166e-01
1.100000e+03 5.493000e+02 7.570000e+02 7.803806e-01
1.200000e+03 5.881000e+02 7.267000e+02 8.523549e-01
1.300000e+03 6.237000e+02 6.992000e+02 9.240210e-01
1.400000e+03 6.563000e+02 6.740000e+02 9.953031e-01
1.500000e+03 6.865000e+02 6.508000e+02 2.625083e+03
1.600000e+03 7.144000e+02 6.295000e+02 2.760947e+03
1.700000e+03 7.404000e+02 6.097000e+02 2.894719e+03
1.800000e+03 7.648000e+02 5.914000e+02 3.024910e+03
2.000000e+03 8.096000e+02 5.583000e+02 3.278556e+03
2.250000e+03 8.605000e+02 5.225000e+02 3.582319e+03
2.500000e+03 9.082000e+02 4.917000e+02 3.869978e+03
2.750000e+03 9.549000e+02 4.649000e+02 4.142989e+03
3.000000e+03 1.003000e+03 4.412000e+02 4.402060e+03
3.250000e+03 1.053000e+03 4.202000e+02 4.648583e+03
3.500000e+03 1.106000e+03 4.014000e+02 4.881869e+03
3.750000e+03 1.162000e+03 3.844000e+02 5.101914e+03
4.000000e+03 1.222000e+03 3.689000e+02 5.309411e+03
4.500000e+03 1.351000e+03 3.420000e+02 5.695802e+03
5.000000e+03 1.492000e+03 3.192000e+02 6.035327e+03
5.500000e+03 1.642000e+03 2.996000e+02 6.334290e+03
6.000000e+03 1.799000e+03 2.826000e+02 6.597510e+03
6.500000e+03 1.959000e+03 2.676000e+02 6.829169e+03
7.000000e+03 2.121000e+03 2.543000e+02 7.034787e+03
8.000000e+03 2.445000e+03 2.318000e+02 7.391072e+03
9.000000e+03 2.758000e+03 2.133000e+02 7.678040e+03
1.000000e+04 3.056000e+03 1.978000e+02 7.914617e+03
1.100000e+04 3.333000e+03 1.847000e+02 8.114885e+03
1.200000e+04 3.590000e+03 1.733000e+02 8.285153e+03
1.300000e+04 3.826000e+03 1.635000e+02 8.434067e+03
1.400000e+04 4.042000e+03 1.548000e+02 8.565670e+03
1.500000e+04 4.240000e+03 1.470000e+02 8.682875e+03
1.600000e+04 4.420000e+03 1.401000e+02 8.788614e+03
1.700000e+04 4.586000e+03 1.339000e+02 8.884275e+03
1.800000e+04 4.737000e+03 1.282000e+02 8.972655e+03
2.000000e+04 5.006000e+03 1.184000e+02 9.138723e+03
2.250000e+04 5.289000e+03 1.082000e+02 9.321397e+03
2.500000e+04 5.529000e+03 9.976000e+01 9.479580e+03
2.750000e+04 5.736000e+03 9.266000e+01 9.619657e+03
3.000000e+04 5.920000e+03 8.658000e+01 9.744592e+03
