# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 1.533000e+02 2.062000e+03 7.244998e-03
1.100000e+01 1.608000e+02 2.123000e+03 7.574959e-03
1.200000e+01 1.679000e+02 2.178000e+03 7.998750e-03
1.300000e+01 1.748000e+02 2.229000e+03 8.422589e-03
1.400000e+01 1.814000e+02 2.276000e+03 8.731552e-03
1.500000e+01 1.877000e+02 2.319000e+03 9.155326e-03
1.600000e+01 1.939000e+02 2.359000e+03 9.458330e-03
1.700000e+01 1.999000e+02 2.397000e+03 9.767292e-03
1.800000e+01 2.056000e+02 2.432000e+03 1.019117e-02
2.000000e+01 2.168000e+02 2.495000e+03 1.080370e-02
2.250000e+01 2.299000e+02 2.565000e+03 1.165161e-02
2.500000e+01 2.424000e+02 2.626000e+03 1.247918e-02
2.750000e+01 2.542000e+02 2.679000e+03 1.323254e-02
3.000000e+01 2.655000e+02 2.727000e+03 1.403496e-02
3.250000e+01 2.763000e+02 2.769000e+03 1.478817e-02
3.500000e+01 2.868000e+02 2.807000e+03 1.552128e-02
3.750000e+01 2.968000e+02 2.841000e+03 1.622960e-02
4.000000e+01 3.066000e+02 2.871000e+03 1.696290e-02
4.500000e+01 3.252000e+02 2.924000e+03 1.842444e-02
5.000000e+01 3.427000e+02 2.968000e+03 1.986681e-02
5.500000e+01 3.595000e+02 3.005000e+03 2.120967e-02
6.000000e+01 3.755000e+02 3.036000e+03 2.255726e-02
6.500000e+01 3.908000e+02 3.061000e+03 2.390502e-02
7.000000e+01 4.055000e+02 3.083000e+03 2.527172e-02
8.000000e+01 4.335000e+02 3.116000e+03 2.784888e-02
9.000000e+01 4.598000e+02 3.139000e+03 3.042663e-02
1.000000e+02 4.847000e+02 3.154000e+03 3.302317e-02
1.100000e+02 5.084000e+02 3.162000e+03 3.560154e-02
1.200000e+02 5.310000e+02 3.167000e+03 3.808438e-02
1.300000e+02 5.527000e+02 3.167000e+03 4.066325e-02
1.400000e+02 5.735000e+02 3.164000e+03 4.312470e-02
1.500000e+02 5.937000e+02 3.159000e+03 4.560800e-02
1.600000e+02 6.131000e+02 3.151000e+03 4.807380e-02
1.700000e+02 6.320000e+02 3.142000e+03 5.063220e-02
1.800000e+02 6.503000e+02 3.132000e+03 5.311582e-02
2.000000e+02 6.855000e+02 3.108000e+03 5.804507e-02
2.250000e+02 7.130000e+02 3.074000e+03 6.422352e-02
2.500000e+02 7.290000e+02 3.038000e+03 7.048213e-02
2.750000e+02 7.510000e+02 2.999000e+03 7.674151e-02
3.000000e+02 7.766000e+02 2.960000e+03 8.309813e-02
3.250000e+02 8.044000e+02 2.920000e+03 8.945535e-02
3.500000e+02 8.334000e+02 2.881000e+03 9.579358e-02
3.750000e+02 8.628000e+02 2.842000e+03 1.021359e-01
4.000000e+02 8.922000e+02 2.803000e+03 1.085723e-01
4.500000e+02 9.491000e+02 2.729000e+03 1.214656e-01
5.000000e+02 1.002000e+03 2.657000e+03 1.344419e-01
5.500000e+02 1.051000e+03 2.589000e+03 1.475136e-01
6.000000e+02 1.095000e+03 2.524000e+03 1.605716e-01
6.500000e+02 1.135000e+03 2.463000e+03 1.738254e-01
7.000000e+02 1.172000e+03 2.405000e+03 1.871602e-01
8.000000e+02 1.234000e+03 2.297000e+03 2.141578e-01
9.000000e+02 1.286000e+03 2.200000e+03 2.414205e-01
1.000000e+03 1.329000e+03 2.111000e+03 2.691750e-01
1.100000e+03 1.366000e+03 2.031000e+03 2.973051e-01
1.200000e+03 1.399000e+03 1.958000e+03 3.258322e-01
1.300000e+03 1.428000e+03 1.890000e+03 3.547380e-01
1.400000e+03 1.455000e+03 1.828000e+03 3.839389e-01
1.500000e+03 1.480000e+03 1.770000e+03 4.134233e-01
1.600000e+03 1.505000e+03 1.717000e+03 4.433011e-01
1.700000e+03 1.528000e+03 1.667000e+03 4.734775e-01
1.800000e+03 1.552000e+03 1.621000e+03 5.038367e-01
2.000000e+03 1.598000e+03 1.537000e+03 5.652794e-01
2.250000e+03 1.659000e+03 1.445000e+03 6.430659e-01
2.500000e+03 1.724000e+03 1.365000e+03 7.214853e-01
2.750000e+03 1.793000e+03 1.294000e+03 8.001717e-01
3.000000e+03 1.866000e+03 1.232000e+03 8.788055e-01
3.250000e+03 1.945000e+03 1.176000e+03 9.570798e-01
3.500000e+03 2.029000e+03 1.126000e+03 1.034822e+00
3.750000e+03 2.117000e+03 1.081000e+03 1.115375e+00
4.000000e+03 2.210000e+03 1.040000e+03 1.185991e+00
4.500000e+03 2.406000e+03 9.670000e+02 1.337006e+00
5.000000e+03 2.615000e+03 9.052000e+02 1.477906e+00
5.500000e+03 2.835000e+03 8.518000e+02 1.608717e+00
6.000000e+03 3.063000e+03 8.051000e+02 1.739333e+00
6.500000e+03 3.297000e+03 7.639000e+02 1.869785e+00
7.000000e+03 3.536000e+03 7.273000e+02 1.980292e+00
8.000000e+03 4.022000e+03 6.648000e+02 2.201036e+00
9.000000e+03 4.512000e+03 6.134000e+02 2.401534e+00
1.000000e+04 4.999000e+03 5.702000e+02 2.591816e+00
1.100000e+04 5.479000e+03 5.333000e+02 2.762021e+00
1.200000e+04 5.948000e+03 5.014000e+02 2.912198e+00
1.300000e+04 6.404000e+03 4.735000e+02 3.062224e+00
1.400000e+04 6.846000e+03 4.489000e+02 3.202219e+00
1.500000e+04 7.272000e+03 4.270000e+02 3.332196e+00
1.600000e+04 7.683000e+03 4.074000e+02 3.462100e+00
1.700000e+04 8.078000e+03 3.897000e+02 3.582014e+00
1.800000e+04 8.458000e+03 3.736000e+02 3.691949e+00
2.000000e+04 9.171000e+03 3.454000e+02 3.911759e+00
2.250000e+04 9.981000e+03 3.163000e+02 4.161534e+00
2.500000e+04 1.071000e+04 2.920000e+02 4.391290e+00
2.750000e+04 1.137000e+04 2.716000e+02 4.611010e+00
3.000000e+04 1.196000e+04 2.541000e+02 4.820718e+00
3.250000e+04 1.250000e+04 2.389000e+02 5.020436e+00
3.500000e+04 1.300000e+04 2.256000e+02 5.210158e+00
3.750000e+04 1.345000e+04 2.138000e+02 5.399860e+00
4.000000e+04 1.387000e+04 2.033000e+02 5.579592e+00
4.500000e+04 1.462000e+04 1.853000e+02 5.919198e+00
5.000000e+04 1.528000e+04 1.705000e+02 6.248796e+00
5.500000e+04 1.587000e+04 1.581000e+02 6.568409e+00
6.000000e+04 1.639000e+04 1.475000e+02 6.878029e+00
6.500000e+04 1.686000e+04 1.383000e+02 7.167707e+00
7.000000e+04 1.729000e+04 1.303000e+02 7.457377e+00
8.000000e+04 1.805000e+04 1.170000e+02 8.016968e+00
9.000000e+04 1.869000e+04 1.063000e+02 8.556575e+00
