# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 1.068000e+02 6.881000e+02 1.252078e-02
1.100000e+01 1.120000e+02 6.886000e+02 1.348221e-02
1.200000e+01 1.170000e+02 6.881000e+02 1.451172e-02
1.300000e+01 1.217000e+02 6.869000e+02 1.550226e-02
1.400000e+01 1.263000e+02 6.851000e+02 1.659156e-02
1.500000e+01 1.308000e+02 6.829000e+02 1.762101e-02
1.600000e+01 1.351000e+02 6.802000e+02 1.858440e-02
1.700000e+01 1.392000e+02 6.773000e+02 1.958647e-02
1.800000e+01 1.432000e+02 6.741000e+02 2.066616e-02
2.000000e+01 1.510000e+02 6.673000e+02 2.265988e-02
2.250000e+01 1.602000e+02 6.580000e+02 2.528834e-02
2.500000e+01 1.688000e+02 6.484000e+02 2.779155e-02
2.750000e+01 1.771000e+02 6.386000e+02 3.042137e-02
3.000000e+01 1.849000e+02 6.289000e+02 3.298985e-02
3.250000e+01 1.925000e+02 6.192000e+02 3.562078e-02
3.500000e+01 1.998000e+02 6.096000e+02 3.821623e-02
3.750000e+01 2.068000e+02 6.003000e+02 4.090244e-02
4.000000e+01 2.135000e+02 5.912000e+02 4.349908e-02
4.500000e+01 2.265000e+02 5.736000e+02 4.890910e-02
5.000000e+01 2.388000e+02 5.571000e+02 5.426187e-02
5.500000e+01 2.505000e+02 5.415000e+02 5.973157e-02
6.000000e+01 2.627000e+02 5.268000e+02 6.526078e-02
6.500000e+01 2.748000e+02 5.130000e+02 7.070990e-02
7.000000e+01 2.865000e+02 5.000000e+02 7.633433e-02
8.000000e+01 3.086000e+02 4.761000e+02 8.749617e-02
9.000000e+01 3.292000e+02 4.547000e+02 9.870066e-02
1.000000e+02 3.484000e+02 4.354000e+02 1.099946e-01
1.100000e+02 3.665000e+02 4.180000e+02 1.213335e-01
1.200000e+02 3.836000e+02 4.021000e+02 1.326480e-01
1.300000e+02 3.999000e+02 3.877000e+02 1.439673e-01
1.400000e+02 4.155000e+02 3.743000e+02 1.553553e-01
1.500000e+02 4.306000e+02 3.621000e+02 1.666041e-01
1.600000e+02 4.453000e+02 3.507000e+02 1.779507e-01
1.700000e+02 4.597000e+02 3.402000e+02 1.892738e-01
1.800000e+02 4.738000e+02 3.304000e+02 2.004801e-01
2.000000e+02 5.014000e+02 3.126000e+02 2.228556e-01
2.250000e+02 5.353000e+02 2.933000e+02 2.505954e-01
2.500000e+02 5.686000e+02 2.766000e+02 2.778812e-01
2.750000e+02 6.016000e+02 2.620000e+02 3.046914e-01
3.000000e+02 6.344000e+02 2.491000e+02 3.310262e-01
3.250000e+02 6.670000e+02 2.375000e+02 3.568109e-01
3.500000e+02 6.995000e+02 2.272000e+02 3.820277e-01
3.750000e+02 7.317000e+02 2.178000e+02 4.067901e-01
4.000000e+02 7.637000e+02 2.093000e+02 4.309085e-01
4.500000e+02 8.271000e+02 1.944000e+02 4.777311e-01
5.000000e+02 8.895000e+02 1.817000e+02 5.225314e-01
5.500000e+02 9.507000e+02 1.708000e+02 5.654035e-01
6.000000e+02 1.011000e+03 1.613000e+02 6.064981e-01
6.500000e+02 1.070000e+03 1.529000e+02 6.459890e-01
7.000000e+02 1.128000e+03 1.455000e+02 6.839627e-01
8.000000e+02 1.240000e+03 1.328000e+02 7.559401e-01
9.000000e+02 1.347000e+03 1.224000e+02 8.231968e-01
1.000000e+03 1.451000e+03 1.137000e+02 8.864073e-01
1.100000e+03 1.551000e+03 1.062000e+02 9.461777e-01
1.200000e+03 1.647000e+03 9.982000e+01 1.002890e+00
1.300000e+03 1.740000e+03 9.422000e+01 1.061160e+00
1.400000e+03 1.831000e+03 8.927000e+01 1.111133e+00
1.500000e+03 1.918000e+03 8.487000e+01 1.161047e+00
1.600000e+03 2.003000e+03 8.093000e+01 1.201094e+00
1.700000e+03 2.086000e+03 7.737000e+01 1.250903e+00
1.800000e+03 2.167000e+03 7.415000e+01 1.290848e+00
2.000000e+03 2.322000e+03 6.852000e+01 1.380530e+00
2.250000e+03 2.507000e+03 6.269000e+01 1.480226e+00
2.500000e+03 2.681000e+03 5.785000e+01 1.569955e+00
2.750000e+03 2.846000e+03 5.377000e+01 1.659611e+00
3.000000e+03 3.003000e+03 5.028000e+01 1.739333e+00
3.250000e+03 3.151000e+03 4.725000e+01 1.819035e+00
3.500000e+03 3.292000e+03 4.460000e+01 1.898711e+00
3.750000e+03 3.425000e+03 4.225000e+01 1.968462e+00
4.000000e+03 3.551000e+03 4.016000e+01 2.038197e+00
4.500000e+03 3.783000e+03 3.659000e+01 2.167775e+00
5.000000e+03 3.990000e+03 3.365000e+01 2.297315e+00
5.500000e+03 4.172000e+03 3.118000e+01 2.416924e+00
6.000000e+03 4.334000e+03 2.908000e+01 2.536510e+00
6.500000e+03 4.477000e+03 2.726000e+01 2.646174e+00
7.000000e+03 4.603000e+03 2.568000e+01 2.755837e+00
8.000000e+03 4.811000e+03 2.304000e+01 2.965307e+00
