# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 1.729000e+02 1.029000e+03 9.579666e-03
1.100000e+01 1.813000e+02 1.039000e+03 1.024158e-02
1.200000e+01 1.894000e+02 1.047000e+03 1.099363e-02
1.300000e+01 1.971000e+02 1.053000e+03 1.162970e-02
1.400000e+01 2.045000e+02 1.058000e+03 1.229187e-02
1.500000e+01 2.117000e+02 1.062000e+03 1.292826e-02
1.600000e+01 2.187000e+02 1.065000e+03 1.368101e-02
1.700000e+01 2.254000e+02 1.067000e+03 1.431782e-02
1.800000e+01 2.319000e+02 1.068000e+03 1.497999e-02
2.000000e+01 2.445000e+02 1.069000e+03 1.627913e-02
2.250000e+01 2.593000e+02 1.068000e+03 1.788463e-02
2.500000e+01 2.733000e+02 1.065000e+03 1.960638e-02
2.750000e+01 2.867000e+02 1.061000e+03 2.121273e-02
3.000000e+01 2.994000e+02 1.055000e+03 2.281118e-02
3.250000e+01 3.116000e+02 1.049000e+03 2.441803e-02
3.500000e+01 3.234000e+02 1.042000e+03 2.599346e-02
3.750000e+01 3.347000e+02 1.034000e+03 2.762426e-02
4.000000e+01 3.457000e+02 1.026000e+03 2.920034e-02
4.500000e+01 3.667000e+02 1.010000e+03 3.238472e-02
5.000000e+01 3.865000e+02 9.937000e+02 3.568501e-02
5.500000e+01 4.054000e+02 9.771000e+02 3.884044e-02
6.000000e+01 4.234000e+02 9.607000e+02 4.208978e-02
6.500000e+01 4.407000e+02 9.446000e+02 4.524721e-02
7.000000e+01 4.574000e+02 9.289000e+02 4.852762e-02
8.000000e+01 4.890000e+02 8.987000e+02 5.500309e-02
9.000000e+01 5.283000e+02 8.703000e+02 6.150984e-02
1.000000e+02 5.617000e+02 8.436000e+02 6.789654e-02
1.100000e+02 5.902000e+02 8.187000e+02 7.435146e-02
1.200000e+02 6.149000e+02 7.953000e+02 8.078818e-02
1.300000e+02 6.367000e+02 7.734000e+02 8.724706e-02
1.400000e+02 6.563000e+02 7.528000e+02 9.375575e-02
1.500000e+02 6.741000e+02 7.335000e+02 1.001977e-01
1.600000e+02 6.905000e+02 7.152000e+02 1.067296e-01
1.700000e+02 7.057000e+02 6.981000e+02 1.133382e-01
1.800000e+02 7.200000e+02 6.818000e+02 1.198288e-01
2.000000e+02 7.465000e+02 6.518000e+02 1.330100e-01
2.250000e+02 7.771000e+02 6.185000e+02 1.495737e-01
2.500000e+02 8.060000e+02 5.889000e+02 1.662171e-01
2.750000e+02 8.341000e+02 5.625000e+02 1.829219e-01
3.000000e+02 8.616000e+02 5.387000e+02 1.995370e-01
3.250000e+02 8.890000e+02 5.172000e+02 2.162100e-01
3.500000e+02 9.164000e+02 4.977000e+02 2.328497e-01
3.750000e+02 9.438000e+02 4.798000e+02 2.493778e-01
4.000000e+02 9.712000e+02 4.633000e+02 2.658734e-01
4.500000e+02 1.026000e+03 4.341000e+02 2.983760e-01
5.000000e+02 1.081000e+03 4.088000e+02 3.304764e-01
5.500000e+02 1.135000e+03 3.868000e+02 3.619385e-01
6.000000e+02 1.189000e+03 3.673000e+02 3.927628e-01
6.500000e+02 1.242000e+03 3.500000e+02 4.230445e-01
7.000000e+02 1.294000e+03 3.345000e+02 4.525576e-01
8.000000e+02 1.396000e+03 3.078000e+02 5.099598e-01
9.000000e+02 1.493000e+03 2.855000e+02 5.650296e-01
1.000000e+03 1.586000e+03 2.667000e+02 6.180085e-01
1.100000e+03 1.674000e+03 2.504000e+02 6.690369e-01
1.200000e+03 1.759000e+03 2.363000e+02 7.182935e-01
1.300000e+03 1.840000e+03 2.239000e+02 7.659885e-01
1.400000e+03 1.918000e+03 2.129000e+02 8.121485e-01
1.500000e+03 1.993000e+03 2.030000e+02 8.570797e-01
1.600000e+03 2.065000e+03 1.941000e+02 9.006958e-01
1.700000e+03 2.135000e+03 1.861000e+02 9.431790e-01
1.800000e+03 2.203000e+03 1.787000e+02 9.845549e-01
2.000000e+03 2.334000e+03 1.659000e+02 1.065070e+00
2.250000e+03 2.489000e+03 1.524000e+02 1.155232e+00
2.500000e+03 2.638000e+03 1.412000e+02 1.245263e+00
2.750000e+03 2.783000e+03 1.317000e+02 1.335202e+00
3.000000e+03 2.923000e+03 1.235000e+02 1.415194e+00
3.250000e+03 3.061000e+03 1.164000e+02 1.495129e+00
3.500000e+03 3.196000e+03 1.101000e+02 1.575011e+00
3.750000e+03 3.330000e+03 1.045000e+02 1.644970e+00
4.000000e+03 3.461000e+03 9.955000e+01 1.714879e+00
4.500000e+03 3.719000e+03 9.102000e+01 1.854691e+00
5.000000e+03 3.968000e+03 8.395000e+01 1.974568e+00
5.500000e+03 4.210000e+03 7.800000e+01 2.094386e+00
6.000000e+03 4.442000e+03 7.290000e+01 2.204230e+00
6.500000e+03 4.664000e+03 6.849000e+01 2.314036e+00
7.000000e+03 4.876000e+03 6.462000e+01 2.413871e+00
8.000000e+03 5.267000e+03 5.816000e+01 2.613562e+00
9.000000e+03 5.617000e+03 5.297000e+01 2.793302e+00
1.000000e+04 5.926000e+03 4.869000e+01 2.963044e+00
1.100000e+04 6.197000e+03 4.511000e+01 3.122800e+00
1.200000e+04 6.435000e+03 4.205000e+01 3.282542e+00
1.300000e+04 6.644000e+03 3.941000e+01 3.432325e+00
1.400000e+04 6.826000e+03 3.711000e+01 3.582090e+00
1.500000e+04 6.985000e+03 3.508000e+01 3.721896e+00
1.600000e+04 7.124000e+03 3.328000e+01 3.861703e+00
1.700000e+04 7.246000e+03 3.167000e+01 4.001503e+00
1.800000e+04 7.351000e+03 3.022000e+01 4.141314e+00
2.000000e+04 7.523000e+03 2.771000e+01 4.401068e+00
2.250000e+04 7.678000e+03 2.514000e+01 4.730804e+00
2.500000e+04 7.781000e+03 2.303000e+01 5.050571e+00
2.750000e+04 7.847000e+03 2.127000e+01 5.370342e+00
3.000000e+04 7.884000e+03 1.978000e+01 5.690125e+00
3.250000e+04 7.899000e+03 1.850000e+01 5.999939e+00
3.500000e+04 7.898000e+03 1.738000e+01 6.319751e+00
3.750000e+04 7.884000e+03 1.640000e+01 6.629594e+00
4.000000e+04 7.861000e+03 1.553000e+01 6.949430e+00
4.500000e+04 7.793000e+03 1.406000e+01 7.589412e+00
5.000000e+04 7.708000e+03 1.286000e+01 8.229398e+00
5.500000e+04 7.612000e+03 1.186000e+01 8.879385e+00
6.000000e+04 7.510000e+03 1.101000e+01 9.539372e+00
6.500000e+04 7.407000e+03 1.028000e+01 1.020937e+01
7.000000e+04 7.302000e+03 9.647000e+00 1.088936e+01
8.000000e+04 7.098000e+03 8.603000e+00 1.228015e+01
9.000000e+04 6.954000e+03 7.773000e+00 1.370084e+01
1.000000e+05 6.750000e+03 7.097000e+00 1.516143e+01
