# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 1.001000e+02 1.709000e+03 7.707788e-03
1.100000e+01 1.049000e+02 1.748000e+03 8.223138e-03
1.200000e+01 1.096000e+02 1.783000e+03 8.646387e-03
1.300000e+01 1.141000e+02 1.814000e+03 9.192388e-03
1.400000e+01 1.184000e+02 1.842000e+03 9.615612e-03
1.500000e+01 1.225000e+02 1.868000e+03 1.003892e-02
1.600000e+01 1.266000e+02 1.891000e+03 1.046231e-02
1.700000e+01 1.305000e+02 1.913000e+03 1.097862e-02
1.800000e+01 1.342000e+02 1.933000e+03 1.140219e-02
2.000000e+01 1.415000e+02 1.967000e+03 1.224949e-02
2.250000e+01 1.501000e+02 2.004000e+03 1.331165e-02
2.500000e+01 1.582000e+02 2.034000e+03 1.428076e-02
2.750000e+01 1.659000e+02 2.059000e+03 1.531470e-02
3.000000e+01 1.733000e+02 2.080000e+03 1.628373e-02
3.250000e+01 1.804000e+02 2.098000e+03 1.731820e-02
3.500000e+01 1.872000e+02 2.113000e+03 1.825952e-02
3.750000e+01 1.938000e+02 2.126000e+03 1.922836e-02
4.000000e+01 2.001000e+02 2.136000e+03 2.024204e-02
4.500000e+01 2.123000e+02 2.152000e+03 2.215243e-02
5.000000e+01 2.237000e+02 2.162000e+03 2.403601e-02
5.500000e+01 2.347000e+02 2.168000e+03 2.592547e-02
6.000000e+01 2.451000e+02 2.171000e+03 2.780953e-02
6.500000e+01 2.551000e+02 2.171000e+03 2.967322e-02
7.000000e+01 2.647000e+02 2.170000e+03 3.156327e-02
8.000000e+01 2.830000e+02 2.161000e+03 3.531246e-02
9.000000e+01 3.002000e+02 2.148000e+03 3.908772e-02
1.000000e+02 3.164000e+02 2.132000e+03 4.281834e-02
1.100000e+02 3.319000e+02 2.114000e+03 4.656930e-02
1.200000e+02 3.466000e+02 2.094000e+03 5.032584e-02
1.300000e+02 3.608000e+02 2.074000e+03 5.405821e-02
1.400000e+02 3.744000e+02 2.053000e+03 5.790518e-02
1.500000e+02 3.879000e+02 2.031000e+03 6.173362e-02
1.600000e+02 4.179000e+02 2.010000e+03 6.556257e-02
1.700000e+02 4.420000e+02 1.988000e+03 6.929654e-02
1.800000e+02 4.619000e+02 1.967000e+03 7.312619e-02
2.000000e+02 4.929000e+02 1.925000e+03 8.078131e-02
2.250000e+02 5.226000e+02 1.873000e+03 9.050133e-02
2.500000e+02 5.481000e+02 1.825000e+03 1.002959e-01
2.750000e+02 5.722000e+02 1.778000e+03 1.102054e-01
3.000000e+02 5.962000e+02 1.734000e+03 1.201947e-01
3.250000e+02 6.205000e+02 1.692000e+03 1.302596e-01
3.500000e+02 6.453000e+02 1.652000e+03 1.404608e-01
3.750000e+02 6.704000e+02 1.614000e+03 1.507209e-01
4.000000e+02 6.959000e+02 1.578000e+03 1.609823e-01
4.500000e+02 7.471000e+02 1.512000e+03 1.818143e-01
5.000000e+02 7.981000e+02 1.451000e+03 2.027098e-01
