# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 7.984000e+01 2.179000e+03 7.621680e-03
1.100000e+01 8.373000e+01 2.251000e+03 7.951101e-03
1.200000e+01 8.746000e+01 2.317000e+03 8.355238e-03
1.300000e+01 9.103000e+01 2.378000e+03 8.753285e-03
1.400000e+01 9.447000e+01 2.435000e+03 9.082401e-03
1.500000e+01 9.778000e+01 2.488000e+03 9.486833e-03
1.600000e+01 1.010000e+02 2.538000e+03 9.815804e-03
1.700000e+01 1.041000e+02 2.585000e+03 1.014495e-02
1.800000e+01 1.071000e+02 2.629000e+03 1.052426e-02
2.000000e+01 1.129000e+02 2.710000e+03 1.116288e-02
2.250000e+01 1.198000e+02 2.799000e+03 1.198582e-02
2.500000e+01 1.262000e+02 2.879000e+03 1.271928e-02
2.750000e+01 1.324000e+02 2.950000e+03 1.342870e-02
3.000000e+01 1.383000e+02 3.013000e+03 1.427620e-02
3.250000e+01 1.439000e+02 3.071000e+03 1.498599e-02
3.500000e+01 1.494000e+02 3.124000e+03 1.562402e-02
3.750000e+01 1.546000e+02 3.172000e+03 1.633401e-02
4.000000e+01 1.597000e+02 3.216000e+03 1.708596e-02
4.500000e+01 1.694000e+02 3.294000e+03 1.841087e-02
5.000000e+01 1.785000e+02 3.361000e+03 1.975905e-02
5.500000e+01 1.872000e+02 3.419000e+03 2.098904e-02
6.000000e+01 1.956000e+02 3.470000e+03 2.233741e-02
6.500000e+01 2.035000e+02 3.514000e+03 2.356777e-02
7.000000e+01 2.112000e+02 3.554000e+03 2.479839e-02
8.000000e+01 2.258000e+02 3.619000e+03 2.728168e-02
9.000000e+01 2.395000e+02 3.670000e+03 2.964760e-02
1.000000e+02 2.525000e+02 3.711000e+03 3.203498e-02
1.100000e+02 2.648000e+02 3.744000e+03 3.440131e-02
1.200000e+02 2.766000e+02 3.769000e+03 3.675065e-02
1.300000e+02 2.879000e+02 3.789000e+03 3.902115e-02
1.400000e+02 2.987000e+02 3.805000e+03 4.137113e-02
1.500000e+02 3.092000e+02 3.816000e+03 4.364184e-02
1.600000e+02 3.194000e+02 3.824000e+03 4.589575e-02
1.700000e+02 3.292000e+02 3.830000e+03 4.814987e-02
1.800000e+02 3.387000e+02 3.833000e+03 5.042073e-02
2.000000e+02 3.571000e+02 3.833000e+03 5.492950e-02
2.250000e+02 3.787000e+02 3.825000e+03 6.059051e-02
2.500000e+02 3.992000e+02 3.809000e+03 6.621624e-02
2.750000e+02 4.187000e+02 3.789000e+03 7.186167e-02
3.000000e+02 4.797000e+02 3.766000e+03 7.748845e-02
3.250000e+02 5.246000e+02 3.739000e+03 8.300301e-02
3.500000e+02 5.572000e+02 3.711000e+03 8.863069e-02
3.750000e+02 5.818000e+02 3.682000e+03 9.416162e-02
4.000000e+02 6.010000e+02 3.651000e+03 9.977445e-02
4.500000e+02 6.305000e+02 3.589000e+03 1.110316e-01
5.000000e+02 6.549000e+02 3.525000e+03 1.223538e-01
