# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 9.628000e+01 9.895000e+01 3.964782e-02
1.100000e+01 1.010000e+02 9.585000e+01 4.353918e-02
1.200000e+01 1.055000e+02 9.297000e+01 4.727198e-02
1.300000e+01 1.098000e+02 9.028000e+01 5.108082e-02
1.400000e+01 1.139000e+02 8.776000e+01 5.490264e-02
1.500000e+01 1.179000e+02 8.541000e+01 5.868424e-02
1.600000e+01 1.218000e+02 8.319000e+01 6.246839e-02
1.700000e+01 1.255000e+02 8.112000e+01 6.629857e-02
1.800000e+01 1.292000e+02 7.915000e+01 7.004648e-02
2.000000e+01 1.346000e+02 7.555000e+01 7.751684e-02
2.250000e+01 1.416000e+02 7.156000e+01 8.699103e-02
2.500000e+01 1.487000e+02 6.804000e+01 9.631350e-02
2.750000e+01 1.558000e+02 6.491000e+01 1.055787e-01
3.000000e+01 1.631000e+02 6.209000e+01 1.146990e-01
3.250000e+01 1.704000e+02 5.956000e+01 1.237270e-01
3.500000e+01 1.777000e+02 5.725000e+01 1.325523e-01
3.750000e+01 1.849000e+02 5.515000e+01 1.412927e-01
4.000000e+01 1.919000e+02 5.322000e+01 1.499814e-01
4.500000e+01 2.058000e+02 4.980000e+01 1.667391e-01
5.000000e+01 2.190000e+02 4.685000e+01 1.830102e-01
5.500000e+01 2.317000e+02 4.428000e+01 1.987931e-01
6.000000e+01 2.437000e+02 4.202000e+01 2.141814e-01
6.500000e+01 2.553000e+02 4.001000e+01 2.291083e-01
7.000000e+01 2.664000e+02 3.822000e+01 2.436956e-01
8.000000e+01 2.872000e+02 3.512000e+01 2.717898e-01
9.000000e+01 3.065000e+02 3.255000e+01 2.987519e-01
1.000000e+02 3.246000e+02 3.038000e+01 3.245086e-01
1.100000e+02 3.416000e+02 2.851000e+01 3.494804e-01
1.200000e+02 3.579000e+02 2.689000e+01 3.735473e-01
1.300000e+02 3.734000e+02 2.546000e+01 3.968003e-01
1.400000e+02 3.883000e+02 2.420000e+01 4.194238e-01
1.500000e+02 4.027000e+02 2.307000e+01 4.414882e-01
1.600000e+02 4.166000e+02 2.205000e+01 4.628447e-01
1.700000e+02 4.301000e+02 2.113000e+01 4.837781e-01
1.800000e+02 4.433000e+02 2.029000e+01 5.040747e-01
2.000000e+02 4.687000e+02 1.882000e+01 5.434869e-01
2.250000e+02 4.990000e+02 1.728000e+01 5.904153e-01
2.500000e+02 5.279000e+02 1.600000e+01 6.349919e-01
2.750000e+02 5.558000e+02 1.492000e+01 6.776676e-01
3.000000e+02 5.826000e+02 1.399000e+01 7.184906e-01
3.250000e+02 6.085000e+02 1.317000e+01 7.578335e-01
3.500000e+02 6.337000e+02 1.246000e+01 7.956394e-01
3.750000e+02 6.580000e+02 1.183000e+01 8.321627e-01
4.000000e+02 6.817000e+02 1.126000e+01 8.675931e-01
4.500000e+02 7.271000e+02 1.029000e+01 9.351608e-01
5.000000e+02 7.700000e+02 9.489000e+00 9.991196e-01
5.500000e+02 8.106000e+02 8.813000e+00 1.059021e+00
6.000000e+02 8.490000e+02 8.235000e+00 1.118670e+00
6.500000e+02 8.853000e+02 7.734000e+00 1.178318e+00
7.000000e+02 9.195000e+02 7.296000e+00 1.228092e+00
8.000000e+02 9.824000e+02 6.564000e+00 1.327636e+00
9.000000e+02 1.038000e+03 5.976000e+00 1.427135e+00
1.000000e+03 1.088000e+03 5.492000e+00 1.516727e+00
1.100000e+03 1.131000e+03 5.087000e+00 1.606324e+00
1.200000e+03 1.169000e+03 4.741000e+00 1.695913e+00
1.300000e+03 1.202000e+03 4.443000e+00 1.775589e+00
1.400000e+03 1.231000e+03 4.183000e+00 1.855270e+00
1.500000e+03 1.255000e+03 3.953000e+00 1.934965e+00
1.600000e+03 1.276000e+03 3.750000e+00 2.014667e+00
1.700000e+03 1.294000e+03 3.568000e+00 2.094370e+00
1.800000e+03 1.308000e+03 3.404000e+00 2.164155e+00
2.000000e+03 1.330000e+03 3.120000e+00 2.313723e+00
2.250000e+03 1.346000e+03 2.830000e+00 2.503236e+00
2.500000e+03 1.353000e+03 2.593000e+00 2.682840e+00
2.750000e+03 1.352000e+03 2.394000e+00 2.872433e+00
3.000000e+03 1.347000e+03 2.226000e+00 3.052104e+00
3.250000e+03 1.338000e+03 2.081000e+00 3.241763e+00
3.500000e+03 1.326000e+03 1.956000e+00 3.421499e+00
3.750000e+03 1.313000e+03 1.845000e+00 3.611223e+00
