# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 9.416000e+01 1.772000e+03 7.677239e-03
1.100000e+01 9.876000e+01 1.815000e+03 8.130806e-03
1.200000e+01 1.031000e+02 1.852000e+03 8.553946e-03
1.300000e+01 1.074000e+02 1.887000e+03 9.069730e-03
1.400000e+01 1.114000e+02 1.918000e+03 9.493155e-03
1.500000e+01 1.153000e+02 1.946000e+03 9.916653e-03
1.600000e+01 1.191000e+02 1.972000e+03 1.031746e-02
1.700000e+01 1.228000e+02 1.996000e+03 1.074104e-02
1.800000e+01 1.263000e+02 2.018000e+03 1.116468e-02
2.000000e+01 1.332000e+02 2.057000e+03 1.201208e-02
2.250000e+01 1.412000e+02 2.098000e+03 1.298114e-02
2.500000e+01 1.489000e+02 2.133000e+03 1.401535e-02
2.750000e+01 1.562000e+02 2.162000e+03 1.498433e-02
3.000000e+01 1.631000e+02 2.187000e+03 1.592545e-02
3.250000e+01 1.698000e+02 2.208000e+03 1.686683e-02
3.500000e+01 1.762000e+02 2.226000e+03 1.781404e-02
3.750000e+01 1.823000e+02 2.242000e+03 1.875553e-02
4.000000e+01 1.883000e+02 2.255000e+03 1.969721e-02
4.500000e+01 1.997000e+02 2.276000e+03 2.146579e-02
5.000000e+01 2.106000e+02 2.291000e+03 2.337627e-02
5.500000e+01 2.208000e+02 2.301000e+03 2.514538e-02
6.000000e+01 2.307000e+02 2.307000e+03 2.691487e-02
6.500000e+01 2.401000e+02 2.311000e+03 2.870505e-02
7.000000e+01 2.491000e+02 2.312000e+03 3.047491e-02
8.000000e+01 2.663000e+02 2.309000e+03 3.410997e-02
9.000000e+01 2.825000e+02 2.300000e+03 3.765116e-02
1.000000e+02 2.978000e+02 2.288000e+03 4.119284e-02
1.100000e+02 3.123000e+02 2.272000e+03 4.475422e-02
1.200000e+02 3.262000e+02 2.255000e+03 4.827204e-02
1.300000e+02 3.395000e+02 2.237000e+03 5.190973e-02
1.400000e+02 3.523000e+02 2.217000e+03 5.543365e-02
1.500000e+02 3.647000e+02 2.198000e+03 5.904820e-02
1.600000e+02 3.805000e+02 2.177000e+03 6.268684e-02
1.700000e+02 4.068000e+02 2.157000e+03 6.630219e-02
1.800000e+02 4.286000e+02 2.136000e+03 6.994119e-02
2.000000e+02 4.629000e+02 2.095000e+03 7.717338e-02
2.250000e+02 4.950000e+02 2.044000e+03 8.637482e-02
2.500000e+02 5.209000e+02 1.996000e+03 9.557264e-02
2.750000e+02 5.440000e+02 1.949000e+03 1.048498e-01
3.000000e+02 5.659000e+02 1.904000e+03 1.142985e-01
3.250000e+02 5.874000e+02 1.861000e+03 1.238836e-01
