# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 1.501000e+02 1.994000e+02 2.419277e-02
1.100000e+01 1.574000e+02 1.951000e+02 2.637518e-02
1.200000e+01 1.644000e+02 1.910000e+02 2.863110e-02
1.300000e+01 1.712000e+02 1.871000e+02 3.077190e-02
1.400000e+01 1.776000e+02 1.833000e+02 3.295664e-02
1.500000e+01 1.839000e+02 1.797000e+02 3.509943e-02
1.600000e+01 1.899000e+02 1.762000e+02 3.728726e-02
1.700000e+01 1.957000e+02 1.729000e+02 3.947670e-02
1.800000e+01 2.014000e+02 1.697000e+02 4.159098e-02
2.000000e+01 2.123000e+02 1.636000e+02 4.584856e-02
2.250000e+01 2.252000e+02 1.568000e+02 5.119736e-02
2.500000e+01 2.398000e+02 1.506000e+02 5.651265e-02
2.750000e+01 2.559000e+02 1.449000e+02 6.167803e-02
3.000000e+01 2.699000e+02 1.397000e+02 6.672286e-02
3.250000e+01 2.821000e+02 1.349000e+02 7.173597e-02
3.500000e+01 2.930000e+02 1.305000e+02 7.672516e-02
3.750000e+01 3.029000e+02 1.265000e+02 8.159430e-02
4.000000e+01 3.121000e+02 1.227000e+02 8.646728e-02
4.500000e+01 3.286000e+02 1.159000e+02 9.613459e-02
5.000000e+01 3.435000e+02 1.099000e+02 1.056646e-01
5.500000e+01 3.570000e+02 1.046000e+02 1.150517e-01
6.000000e+01 3.696000e+02 9.990000e+01 1.243927e-01
6.500000e+01 3.814000e+02 9.566000e+01 1.335965e-01
7.000000e+01 3.927000e+02 9.181000e+01 1.427174e-01
8.000000e+01 4.140000e+02 8.512000e+01 1.606085e-01
9.000000e+01 4.342000e+02 7.946000e+01 1.782644e-01
1.000000e+02 4.537000e+02 7.462000e+01 1.954209e-01
1.100000e+02 4.725000e+02 7.041000e+01 2.122450e-01
1.200000e+02 4.910000e+02 6.672000e+01 2.287345e-01
1.300000e+02 5.092000e+02 6.344000e+01 2.448892e-01
1.400000e+02 5.271000e+02 6.052000e+01 2.605902e-01
1.500000e+02 5.449000e+02 5.789000e+01 2.760711e-01
1.600000e+02 5.624000e+02 5.551000e+01 2.911416e-01
1.700000e+02 5.797000e+02 5.334000e+01 3.058737e-01
1.800000e+02 5.968000e+02 5.136000e+01 3.203842e-01
2.000000e+02 6.305000e+02 4.786000e+01 3.484916e-01
2.250000e+02 6.717000e+02 4.417000e+01 3.820967e-01
2.500000e+02 7.118000e+02 4.108000e+01 4.141282e-01
2.750000e+02 7.509000e+02 3.844000e+01 4.447143e-01
3.000000e+02 7.888000e+02 3.615000e+01 4.741416e-01
3.250000e+02 8.257000e+02 3.415000e+01 5.023633e-01
3.500000e+02 8.616000e+02 3.238000e+01 5.295694e-01
3.750000e+02 8.965000e+02 3.081000e+01 5.558525e-01
4.000000e+02 9.304000e+02 2.940000e+01 5.812296e-01
4.500000e+02 9.953000e+02 2.697000e+01 6.297543e-01
5.000000e+02 1.057000e+03 2.495000e+01 6.756522e-01
5.500000e+02 1.115000e+03 2.323000e+01 7.192225e-01
6.000000e+02 1.170000e+03 2.176000e+01 7.608940e-01
6.500000e+02 1.222000e+03 2.049000e+01 8.008718e-01
7.000000e+02 1.271000e+03 1.936000e+01 8.393197e-01
8.000000e+02 1.362000e+03 1.748000e+01 9.124833e-01
9.000000e+02 1.444000e+03 1.596000e+01 9.814262e-01
1.000000e+03 1.519000e+03 1.470000e+01 1.043221e+00
1.100000e+03 1.587000e+03 1.365000e+01 1.112892e+00
1.200000e+03 1.648000e+03 1.275000e+01 1.172675e+00
1.300000e+03 1.704000e+03 1.196000e+01 1.232439e+00
1.400000e+03 1.755000e+03 1.128000e+01 1.282304e+00
1.500000e+03 1.801000e+03 1.068000e+01 1.342064e+00
1.600000e+03 1.843000e+03 1.014000e+01 1.391897e+00
1.700000e+03 1.881000e+03 9.659000e+00 1.451671e+00
1.800000e+03 1.916000e+03 9.225000e+00 1.501509e+00
2.000000e+03 1.976000e+03 8.473000e+00 1.601220e+00
2.250000e+03 2.036000e+03 7.701000e+00 1.720923e+00
2.500000e+03 2.082000e+03 7.067000e+00 1.840629e+00
2.750000e+03 2.117000e+03 6.537000e+00 1.960343e+00
3.000000e+03 2.142000e+03 6.086000e+00 2.080073e+00
3.250000e+03 2.160000e+03 5.698000e+00 2.189863e+00
3.500000e+03 2.173000e+03 5.359000e+00 2.309622e+00
3.750000e+03 2.180000e+03 5.061000e+00 2.419435e+00
4.000000e+03 2.183000e+03 4.797000e+00 2.539225e+00
4.500000e+03 2.182000e+03 4.349000e+00 2.758999e+00
5.000000e+03 2.172000e+03 3.982000e+00 2.988766e+00
5.500000e+03 2.156000e+03 3.676000e+00 3.218563e+00
6.000000e+03 2.137000e+03 3.416000e+00 3.448388e+00
6.500000e+03 2.116000e+03 3.193000e+00 3.688212e+00
7.000000e+03 2.093000e+03 2.999000e+00 3.928066e+00
8.000000e+03 2.043000e+03 2.678000e+00 4.408080e+00
9.000000e+03 1.993000e+03 2.423000e+00 4.898107e+00
1.000000e+04 1.943000e+03 2.215000e+00 5.408130e+00
1.100000e+04 1.894000e+03 2.041000e+00 5.928166e+00
1.200000e+04 1.846000e+03 1.894000e+00 6.458216e+00
1.300000e+04 1.801000e+03 1.768000e+00 7.008268e+00
1.400000e+04 1.757000e+03 1.659000e+00 7.568326e+00
1.500000e+04 1.715000e+03 1.563000e+00 8.148388e+00
1.600000e+04 1.676000e+03 1.479000e+00 8.738458e+00
1.700000e+04 1.637000e+03 1.403000e+00 9.338545e+00
1.800000e+04 1.601000e+03 1.335000e+00 9.958624e+00
2.000000e+04 1.532000e+03 1.219000e+00 1.122953e+01
2.250000e+04 1.455000e+03 1.100000e+00 1.290099e+01
2.500000e+04 1.390000e+03 1.004000e+00 1.466229e+01
2.750000e+04 1.331000e+03 9.236000e-01 1.650347e+01
3.000000e+04 1.270000e+03 8.559000e-01 1.842457e+01
3.250000e+04 1.216000e+03 7.980000e-01 2.043561e+01
3.500000e+04 1.167000e+03 7.478000e-01 2.252662e+01
3.750000e+04 1.122000e+03 7.038000e-01 2.471757e+01
4.000000e+04 1.081000e+03 6.650000e-01 2.697851e+01
4.500000e+04 1.007000e+03 5.995000e-01 3.175406e+01
5.000000e+04 9.428000e+02 5.463000e-01 3.688430e+01
5.500000e+04 8.867000e+02 5.022000e-01 4.235457e+01
6.000000e+04 8.372000e+02 4.650000e-01 4.815487e+01
6.500000e+04 7.931000e+02 4.332000e-01 5.428519e+01
7.000000e+04 7.536000e+02 4.056000e-01 6.074553e+01
8.000000e+04 6.858000e+02 3.603000e-01 7.465627e+01
9.000000e+04 6.294000e+02 3.244000e-01 8.987000e+01
1.000000e+05 5.819000e+02 2.954000e-01 1.063800e+02
