# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 1.379000e+02 1.114000e+03 9.185859e-03
1.100000e+01 1.446000e+02 1.126000e+03 9.820896e-03
1.200000e+01 1.510000e+02 1.136000e+03 1.048284e-02
1.300000e+01 1.572000e+02 1.144000e+03 1.114495e-02
1.400000e+01 1.631000e+02 1.151000e+03 1.181567e-02
1.500000e+01 1.689000e+02 1.157000e+03 1.247758e-02
1.600000e+01 1.744000e+02 1.161000e+03 1.311335e-02
1.700000e+01 1.798000e+02 1.165000e+03 1.374082e-02
1.800000e+01 1.850000e+02 1.168000e+03 1.437707e-02
2.000000e+01 1.950000e+02 1.171000e+03 1.558525e-02
2.250000e+01 2.068000e+02 1.173000e+03 1.718982e-02
2.500000e+01 2.180000e+02 1.172000e+03 1.872912e-02
2.750000e+01 2.286000e+02 1.169000e+03 2.030123e-02
3.000000e+01 2.388000e+02 1.165000e+03 2.181605e-02
3.250000e+01 2.486000e+02 1.160000e+03 2.344653e-02
3.500000e+01 2.579000e+02 1.154000e+03 2.492890e-02
3.750000e+01 2.670000e+02 1.148000e+03 2.641174e-02
4.000000e+01 2.758000e+02 1.141000e+03 2.801874e-02
4.500000e+01 2.925000e+02 1.126000e+03 3.113294e-02
5.000000e+01 3.083000e+02 1.110000e+03 3.419284e-02
5.500000e+01 3.234000e+02 1.094000e+03 3.728498e-02
6.000000e+01 3.377000e+02 1.078000e+03 4.043921e-02
6.500000e+01 3.515000e+02 1.062000e+03 4.353240e-02
7.000000e+01 3.648000e+02 1.046000e+03 4.671038e-02
8.000000e+01 3.899000e+02 1.015000e+03 5.305365e-02
9.000000e+01 4.121000e+02 9.859000e+02 5.946226e-02
1.000000e+02 4.361000e+02 9.581000e+02 6.587298e-02
1.100000e+02 4.607000e+02 9.318000e+02 7.237880e-02
1.200000e+02 4.851000e+02 9.070000e+02 7.876427e-02
1.300000e+02 5.090000e+02 8.837000e+02 8.533891e-02
1.400000e+02 5.324000e+02 8.616000e+02 9.182124e-02
1.500000e+02 5.551000e+02 8.408000e+02 9.827767e-02
1.600000e+02 5.770000e+02 8.211000e+02 1.048363e-01
1.700000e+02 5.981000e+02 8.024000e+02 1.112953e-01
1.800000e+02 6.185000e+02 7.847000e+02 1.178237e-01
2.000000e+02 6.571000e+02 7.519000e+02 1.308908e-01
2.250000e+02 7.018000e+02 7.151000e+02 1.470298e-01
2.500000e+02 7.434000e+02 6.824000e+02 1.632212e-01
2.750000e+02 7.823000e+02 6.530000e+02 1.793954e-01
3.000000e+02 8.193000e+02 6.265000e+02 1.954378e-01
3.250000e+02 8.547000e+02 6.023000e+02 2.113486e-01
3.500000e+02 8.888000e+02 5.803000e+02 2.272422e-01
3.750000e+02 9.220000e+02 5.601000e+02 2.430045e-01
4.000000e+02 9.544000e+02 5.415000e+02 2.587285e-01
4.500000e+02 1.017000e+03 5.083000e+02 2.896749e-01
5.000000e+02 1.079000e+03 4.796000e+02 3.200559e-01
5.500000e+02 1.139000e+03 4.544000e+02 3.499535e-01
6.000000e+02 1.198000e+03 4.321000e+02 3.791932e-01
6.500000e+02 1.257000e+03 4.122000e+02 4.077937e-01
7.000000e+02 1.316000e+03 3.943000e+02 4.358499e-01
8.000000e+02 1.431000e+03 3.635000e+02 4.900768e-01
9.000000e+02 1.544000e+03 3.377000e+02 5.419836e-01
1.000000e+03 1.656000e+03 3.158000e+02 5.916836e-01
1.100000e+03 1.766000e+03 2.969000e+02 6.392063e-01
1.200000e+03 1.874000e+03 2.804000e+02 6.847605e-01
1.300000e+03 1.980000e+03 2.659000e+02 7.284575e-01
1.400000e+03 2.084000e+03 2.530000e+02 7.706187e-01
